return,steps,failure,wall_dt
410.0,410,0,0.5816199779510498
381.0,381,0,0.52469801902771
228.0,228,1,0.3156921863555908
343.0,343,1,0.46242833137512207
500.0,500,0,0.7059950828552246
375.0,375,0,0.5188415050506592
355.0,355,0,0.49963808059692383
357.0,357,0,0.5171349048614502
500.0,500,0,0.7123081684112549
320.0,320,1,0.4613683223724365
500.0,500,0,0.7093017101287842
282.0,282,1,0.3933906555175781
500.0,500,0,0.6998958587646484
354.0,354,0,0.48987483978271484
256.0,256,1,0.354856014251709
268.0,268,1,0.37624311447143555
262.0,262,1,0.36683082580566406
314.0,314,1,0.4247121810913086
244.0,244,1,0.3466925621032715
500.0,500,0,0.7090368270874023
212.0,212,1,0.28583550453186035
427.0,427,0,0.6036641597747803
291.0,291,1,0.405637264251709
323.0,323,1,0.4551880359649658
500.0,500,0,0.720200777053833
372.0,372,0,0.5342307090759277
381.0,381,0,0.5448620319366455
364.0,364,0,0.5249109268188477
370.0,370,0,0.5218105316162109
339.0,339,1,0.4835343360900879
274.0,274,1,0.38119053840637207
338.0,338,1,0.4898240566253662
328.0,328,1,0.4721410274505615
340.0,340,1,0.47619128227233887
500.0,500,0,0.696141242980957
473.0,473,0,0.6571686267852783
259.0,259,1,0.3621788024902344
274.0,274,1,0.38509154319763184
500.0,500,0,0.701225996017456
242.0,242,1,0.3372533321380615
334.0,334,1,0.4809246063232422
482.0,482,0,0.6649246215820312
320.0,320,1,0.456392765045166
358.0,358,0,0.5185580253601074
374.0,374,0,0.5410716533660889
453.0,453,0,0.6536803245544434
332.0,332,1,0.46846485137939453
308.0,308,1,0.455747127532959
352.0,352,0,0.5025835037231445
396.0,396,0,0.5641868114471436
391.0,391,0,0.5531630516052246
331.0,331,1,0.48367881774902344
500.0,500,0,0.7109167575836182
234.0,234,1,0.3303091526031494
346.0,346,1,0.4737999439239502
500.0,500,0,0.6820638179779053
345.0,345,1,0.4819791316986084
364.0,364,0,0.4919400215148926
500.0,500,0,0.6680543422698975
500.0,500,0,0.6985635757446289
266.0,266,1,0.3662292957305908
348.0,348,1,0.4886913299560547
298.0,298,1,0.4068319797515869
500.0,500,0,0.6874001026153564
318.0,318,1,0.42952823638916016
500.0,500,0,0.678502082824707
391.0,391,0,0.5413005352020264
441.0,441,0,0.596616268157959
264.0,264,1,0.3599231243133545
339.0,339,1,0.4723536968231201
381.0,381,0,0.52323317527771
500.0,500,0,0.6778688430786133
360.0,360,0,0.5000700950622559
489.0,489,0,0.6684942245483398
298.0,298,1,0.41008520126342773
460.0,460,0,0.6260700225830078
393.0,393,0,0.5459275245666504
317.0,317,1,0.44553637504577637
336.0,336,1,0.472747802734375
329.0,329,1,0.4607219696044922
330.0,330,1,0.45676183700561523
309.0,309,1,0.44142937660217285
500.0,500,0,0.7039644718170166
302.0,302,1,0.43553924560546875
344.0,344,1,0.4905204772949219
455.0,455,0,0.6421093940734863
381.0,381,0,0.5454602241516113
229.0,229,1,0.3317573070526123
256.0,256,1,0.3605489730834961
338.0,338,1,0.4745619297027588
382.0,382,0,0.5375709533691406
500.0,500,0,0.7009375095367432
384.0,384,0,0.5308055877685547
290.0,290,1,0.4092381000518799
328.0,328,1,0.4661741256713867
245.0,245,1,0.34687304496765137
309.0,309,1,0.43254518508911133
460.0,460,0,0.6509785652160645
299.0,299,1,0.425828218460083
367.0,367,0,0.5248837471008301
372.0,372,0,0.5202486515045166
346.0,346,1,0.4969758987426758
341.0,341,1,0.4907855987548828
350.0,350,0,0.4967961311340332
381.0,381,0,0.5374853610992432
358.0,358,0,0.5070574283599854
339.0,339,1,0.46905088424682617
226.0,226,1,0.315840482711792
335.0,335,1,0.46559929847717285
351.0,351,0,0.4843437671661377
232.0,232,1,0.32823705673217773
55.0,55,1,0.07277846336364746
261.0,261,1,0.36604785919189453
353.0,353,0,0.4982030391693115
278.0,278,1,0.38679027557373047
286.0,286,1,0.4082777500152588
366.0,366,0,0.5094184875488281
358.0,358,0,0.5094826221466064
282.0,282,1,0.39293646812438965
345.0,345,1,0.49013376235961914
398.0,398,0,0.5446240901947021
373.0,373,0,0.5283839702606201
403.0,403,0,0.5756971836090088
500.0,500,0,0.6833353042602539
338.0,338,1,0.4564046859741211
348.0,348,1,0.4911074638366699
500.0,500,0,0.7053186893463135
337.0,337,1,0.48279595375061035
377.0,377,0,0.5313584804534912
332.0,332,1,0.47227931022644043
500.0,500,0,0.6962008476257324
364.0,364,0,0.5222141742706299
414.0,414,0,0.5847642421722412
345.0,345,1,0.49310874938964844
283.0,283,1,0.3816099166870117
336.0,336,1,0.46894025802612305
352.0,352,0,0.49364447593688965
368.0,368,0,0.5225057601928711
251.0,251,1,0.3515462875366211
20.0,20,1,0.022036075592041016
276.0,276,1,0.3860805034637451
386.0,386,0,0.5269837379455566
290.0,290,1,0.40349841117858887
477.0,477,0,0.6647353172302246
284.0,284,1,0.389678955078125
276.0,276,1,0.3856699466705322
237.0,237,1,0.3289928436279297
500.0,500,0,0.7186765670776367
338.0,338,1,0.48236608505249023
333.0,333,1,0.4781031608581543
474.0,474,0,0.6850435733795166
500.0,500,0,0.7089335918426514
374.0,374,0,0.520808219909668
274.0,274,1,0.3907456398010254
500.0,500,0,0.706169605255127
281.0,281,1,0.39353299140930176
500.0,500,0,0.6873569488525391
360.0,360,0,0.5218374729156494
264.0,264,1,0.36475491523742676
307.0,307,1,0.43279504776000977
322.0,322,1,0.4502096176147461
297.0,297,1,0.4148135185241699
256.0,256,1,0.3716926574707031
262.0,262,1,0.37453436851501465
329.0,329,1,0.4522407054901123
268.0,268,1,0.38623952865600586
276.0,276,1,0.3818044662475586
500.0,500,0,0.6988060474395752
389.0,389,0,0.5553808212280273
289.0,289,1,0.39508938789367676
424.0,424,0,0.6114640235900879
307.0,307,1,0.4342472553253174
434.0,434,0,0.6036853790283203
407.0,407,0,0.5915353298187256
500.0,500,0,0.7182097434997559
412.0,412,0,0.5878679752349854
500.0,500,0,0.7217738628387451
303.0,303,1,0.4227304458618164
500.0,500,0,0.6983706951141357
327.0,327,1,0.47453856468200684
500.0,500,0,0.6864309310913086
263.0,263,1,0.37481093406677246
383.0,383,0,0.543999195098877
272.0,272,1,0.3720409870147705
325.0,325,1,0.4615612030029297
314.0,314,1,0.43749094009399414
390.0,390,0,0.5552253723144531
344.0,344,1,0.5016489028930664
259.0,259,1,0.35949254035949707
300.0,300,1,0.4161641597747803
312.0,312,1,0.4534170627593994
255.0,255,1,0.35135865211486816
328.0,328,1,0.47290635108947754
337.0,337,1,0.47651124000549316
306.0,306,1,0.43109917640686035
364.0,364,0,0.5093307495117188
259.0,259,1,0.3695104122161865
311.0,311,1,0.4403831958770752
300.0,300,1,0.42101478576660156
500.0,500,0,0.7112045288085938
500.0,500,0,0.7016036510467529
500.0,500,0,0.6998162269592285
388.0,388,0,0.5285933017730713
271.0,271,1,0.38138890266418457
500.0,500,0,0.7182891368865967
359.0,359,0,0.5017197132110596
500.0,500,0,0.7144591808319092
359.0,359,0,0.5165646076202393
141.0,141,1,0.19629168510437012
467.0,467,0,0.6582951545715332
410.0,410,0,0.5723445415496826
391.0,391,0,0.5622706413269043
296.0,296,1,0.4248330593109131
378.0,378,0,0.5290234088897705
500.0,500,0,0.6943213939666748
285.0,285,1,0.4089388847351074
232.0,232,1,0.3304741382598877
500.0,500,0,0.6983363628387451
357.0,357,0,0.49970054626464844
329.0,329,1,0.45041918754577637
233.0,233,1,0.33016276359558105
349.0,349,1,0.5023043155670166
341.0,341,1,0.48709893226623535
234.0,234,1,0.331148624420166
223.0,223,1,0.3060493469238281
333.0,333,1,0.4588053226470947
500.0,500,0,0.7104141712188721
500.0,500,0,0.7193682193756104
13.0,13,1,0.01584911346435547
237.0,237,1,0.3208174705505371
370.0,370,0,0.5235109329223633
500.0,500,0,0.7030363082885742
500.0,500,0,0.7248423099517822
362.0,362,0,0.5163958072662354
229.0,229,1,0.3372046947479248
268.0,268,1,0.3788938522338867
500.0,500,0,0.7200891971588135
276.0,276,1,0.39837050437927246
500.0,500,0,0.6996605396270752
272.0,272,1,0.37423014640808105
362.0,362,0,0.5240283012390137
339.0,339,1,0.49104976654052734
