return,steps,failure,wall_dt
377.0,377,0,0.5444650650024414
323.0,323,1,0.4633634090423584
256.0,256,1,0.35733938217163086
302.0,302,1,0.4292480945587158
427.0,427,0,0.5904755592346191
385.0,385,0,0.5247185230255127
396.0,396,0,0.559377908706665
300.0,300,1,0.4267864227294922
443.0,443,0,0.6202776432037354
500.0,500,0,0.7085182666778564
379.0,379,0,0.5398848056793213
304.0,304,1,0.43030691146850586
416.0,416,0,0.6040341854095459
290.0,290,1,0.4078054428100586
329.0,329,1,0.47653770446777344
428.0,428,0,0.6116337776184082
296.0,296,1,0.4128224849700928
367.0,367,0,0.5042698383331299
379.0,379,0,0.5411958694458008
478.0,478,0,0.670102596282959
373.0,373,0,0.536799430847168
500.0,500,0,0.6836957931518555
277.0,277,1,0.39158177375793457
371.0,371,0,0.5170183181762695
339.0,339,1,0.4848911762237549
322.0,322,1,0.44894862174987793
248.0,248,1,0.3399651050567627
500.0,500,0,0.6990940570831299
258.0,258,1,0.3688516616821289
332.0,332,1,0.4698352813720703
305.0,305,1,0.4167463779449463
339.0,339,1,0.4714958667755127
406.0,406,0,0.5780494213104248
323.0,323,1,0.4541456699371338
254.0,254,1,0.34489965438842773
481.0,481,0,0.6941161155700684
301.0,301,1,0.41833996772766113
274.0,274,1,0.38153719902038574
500.0,500,0,0.707409143447876
342.0,342,1,0.4884188175201416
375.0,375,0,0.5385444164276123
319.0,319,1,0.44672513008117676
500.0,500,0,0.7130012512207031
498.0,498,0,0.6918656826019287
339.0,339,1,0.47925806045532227
500.0,500,0,0.6901066303253174
500.0,500,0,0.7121641635894775
303.0,303,1,0.41005897521972656
279.0,279,1,0.39740681648254395
281.0,281,1,0.40120720863342285
395.0,395,0,0.5690517425537109
254.0,254,1,0.3498842716217041
338.0,338,1,0.4754493236541748
449.0,449,0,0.6290707588195801
450.0,450,0,0.6248114109039307
480.0,480,0,0.6699333190917969
328.0,328,1,0.46317005157470703
263.0,263,1,0.37044525146484375
363.0,363,0,0.49800705909729004
332.0,332,1,0.4847297668457031
356.0,356,0,0.5166122913360596
336.0,336,1,0.46183133125305176
418.0,418,0,0.567786693572998
500.0,500,0,0.69873046875
416.0,416,0,0.6167685985565186
338.0,338,1,0.47669172286987305
303.0,303,1,0.42285895347595215
405.0,405,0,0.5619766712188721
385.0,385,0,0.5332174301147461
285.0,285,1,0.39029860496520996
215.0,215,1,0.3023796081542969
327.0,327,1,0.4569532871246338
500.0,500,0,0.6991426944732666
444.0,444,0,0.6199338436126709
442.0,442,0,0.6229689121246338
196.0,196,1,0.2810516357421875
260.0,260,1,0.37370848655700684
220.0,220,1,0.30550551414489746
222.0,222,1,0.30800485610961914
417.0,417,0,0.590620756149292
290.0,290,1,0.42111921310424805
500.0,500,0,0.7121865749359131
346.0,346,1,0.48749423027038574
248.0,248,1,0.3302319049835205
260.0,260,1,0.35576415061950684
269.0,269,1,0.3819007873535156
285.0,285,1,0.40605974197387695
281.0,281,1,0.39938902854919434
378.0,378,0,0.5470852851867676
267.0,267,1,0.37250542640686035
368.0,368,0,0.5201489925384521
207.0,207,1,0.2948131561279297
355.0,355,0,0.5136184692382812
333.0,333,1,0.47806310653686523
500.0,500,0,0.7099928855895996
314.0,314,1,0.43387627601623535
310.0,310,1,0.4395008087158203
290.0,290,1,0.4056429862976074
279.0,279,1,0.39678192138671875
342.0,342,1,0.4986896514892578
294.0,294,1,0.41381216049194336
388.0,388,0,0.547612190246582
357.0,357,0,0.5035538673400879
341.0,341,1,0.48253703117370605
329.0,329,1,0.46251845359802246
422.0,422,0,0.5767991542816162
246.0,246,1,0.34528613090515137
496.0,496,0,0.684607744216919
500.0,500,0,0.7103252410888672
314.0,314,1,0.43712329864501953
358.0,358,0,0.5067884922027588
349.0,349,1,0.4865708351135254
287.0,287,1,0.4058189392089844
341.0,341,1,0.47199130058288574
270.0,270,1,0.36275386810302734
376.0,376,0,0.5305256843566895
255.0,255,1,0.3474924564361572
345.0,345,1,0.48375844955444336
402.0,402,0,0.5651609897613525
363.0,363,0,0.5192718505859375
297.0,297,1,0.4185926914215088
286.0,286,1,0.41598963737487793
336.0,336,1,0.4548499584197998
500.0,500,0,0.7142419815063477
341.0,341,1,0.47466540336608887
489.0,489,0,0.6919105052947998
331.0,331,1,0.4712238311767578
256.0,256,1,0.34639954566955566
244.0,244,1,0.3429582118988037
324.0,324,1,0.4741382598876953
357.0,357,0,0.4909698963165283
445.0,445,0,0.6307039260864258
271.0,271,1,0.37784624099731445
500.0,500,0,0.7048249244689941
237.0,237,1,0.33200573921203613
500.0,500,0,0.7176973819732666
334.0,334,1,0.4671640396118164
352.0,352,0,0.4964416027069092
230.0,230,1,0.308199405670166
500.0,500,0,0.7168457508087158
294.0,294,1,0.4093337059020996
281.0,281,1,0.4045138359069824
307.0,307,1,0.43224143981933594
284.0,284,1,0.40250515937805176
248.0,248,1,0.3490917682647705
225.0,225,1,0.3127021789550781
295.0,295,1,0.4184715747833252
310.0,310,1,0.4408698081970215
367.0,367,0,0.5250561237335205
378.0,378,0,0.5417652130126953
338.0,338,1,0.46847057342529297
395.0,395,0,0.578580379486084
326.0,326,1,0.4515080451965332
329.0,329,1,0.45931196212768555
500.0,500,0,0.6871488094329834
288.0,288,1,0.3944673538208008
500.0,500,0,0.7320230007171631
361.0,361,0,0.508448600769043
413.0,413,0,0.5824418067932129
297.0,297,1,0.4280686378479004
243.0,243,1,0.344257116317749
493.0,493,0,0.6893017292022705
231.0,231,1,0.32783961296081543
257.0,257,1,0.3373911380767822
448.0,448,0,0.6252865791320801
484.0,484,0,0.677208423614502
370.0,370,0,0.5198936462402344
243.0,243,1,0.322376012802124
324.0,324,1,0.45232486724853516
317.0,317,1,0.45203161239624023
403.0,403,0,0.549058198928833
302.0,302,1,0.4080362319946289
283.0,283,1,0.422684907913208
377.0,377,0,0.5202682018280029
360.0,360,0,0.5152003765106201
500.0,500,0,0.6909868717193604
294.0,294,1,0.40001440048217773
302.0,302,1,0.42018866539001465
500.0,500,0,0.7043497562408447
500.0,500,0,0.7018458843231201
321.0,321,1,0.4633207321166992
