return,steps,failure,wall_dt
500.0,500,0,0.7456483840942383
297.0,297,1,0.43406224250793457
288.0,288,1,0.43354225158691406
253.0,253,1,0.37882280349731445
271.0,271,1,0.41001105308532715
256.0,256,1,0.39514780044555664
205.0,205,1,0.2979891300201416
290.0,290,1,0.4321315288543701
301.0,301,1,0.45325756072998047
373.0,373,0,0.5596702098846436
362.0,362,0,0.5439131259918213
317.0,317,1,0.4827461242675781
368.0,368,0,0.5542082786560059
203.0,203,1,0.3043241500854492
421.0,421,0,0.6095836162567139
355.0,355,0,0.5316693782806396
307.0,307,1,0.4572432041168213
286.0,286,1,0.42443180084228516
397.0,397,0,0.5948061943054199
500.0,500,0,0.7499642372131348
357.0,357,0,0.5365698337554932
386.0,386,0,0.5673539638519287
269.0,269,1,0.40375280380249023
333.0,333,1,0.5009341239929199
374.0,374,0,0.5561275482177734
405.0,405,0,0.6022508144378662
334.0,334,1,0.49015045166015625
500.0,500,0,0.7457880973815918
327.0,327,1,0.49544811248779297
351.0,351,0,0.5251598358154297
500.0,500,0,0.749370813369751
315.0,315,1,0.47861599922180176
330.0,330,1,0.492520809173584
421.0,421,0,0.6257963180541992
272.0,272,1,0.40059590339660645
500.0,500,0,0.74479079246521
354.0,354,0,0.5172598361968994
500.0,500,0,0.744049072265625
352.0,352,0,0.513965368270874
371.0,371,0,0.5480306148529053
340.0,340,1,0.5119452476501465
229.0,229,1,0.3346235752105713
295.0,295,1,0.4459543228149414
339.0,339,1,0.5023205280303955
487.0,487,0,0.7333121299743652
320.0,320,1,0.46470189094543457
376.0,376,0,0.5690639019012451
396.0,396,0,0.5805168151855469
500.0,500,0,0.7497720718383789
289.0,289,1,0.4368305206298828
386.0,386,0,0.5733118057250977
380.0,380,0,0.5671000480651855
500.0,500,0,0.7347807884216309
335.0,335,1,0.5022537708282471
376.0,376,0,0.5425794124603271
482.0,482,0,0.7066960334777832
312.0,312,1,0.45195746421813965
288.0,288,1,0.4143404960632324
480.0,480,0,0.6889510154724121
282.0,282,1,0.4125335216522217
335.0,335,1,0.4885408878326416
370.0,370,0,0.5456843376159668
238.0,238,1,0.3575770854949951
363.0,363,0,0.5487847328186035
267.0,267,1,0.41275811195373535
392.0,392,0,0.5802922248840332
336.0,336,1,0.5030243396759033
240.0,240,1,0.3626415729522705
500.0,500,0,0.7680096626281738
263.0,263,1,0.39381885528564453
403.0,403,0,0.6125855445861816
426.0,426,0,0.6424257755279541
255.0,255,1,0.3887200355529785
291.0,291,1,0.4464430809020996
331.0,331,1,0.48693227767944336
238.0,238,1,0.36343812942504883
343.0,343,1,0.5227518081665039
288.0,288,1,0.4626636505126953
367.0,367,0,0.559197187423706
248.0,248,1,0.3673257827758789
370.0,370,0,0.5665955543518066
250.0,250,1,0.3710029125213623
314.0,314,1,0.47669410705566406
387.0,387,0,0.5916004180908203
349.0,349,1,0.5330123901367188
369.0,369,0,0.5537142753601074
500.0,500,0,0.7540624141693115
273.0,273,1,0.41903233528137207
372.0,372,0,0.5564310550689697
500.0,500,0,0.7527999877929688
353.0,353,0,0.5279436111450195
295.0,295,1,0.43602728843688965
276.0,276,1,0.4150722026824951
262.0,262,1,0.39296865463256836
295.0,295,1,0.4416179656982422
290.0,290,1,0.4401357173919678
385.0,385,0,0.5793688297271729
274.0,274,1,0.40344738960266113
282.0,282,1,0.43769311904907227
360.0,360,0,0.5459389686584473
302.0,302,1,0.4548492431640625
254.0,254,1,0.3732626438140869
452.0,452,0,0.6855831146240234
226.0,226,1,0.3445143699645996
323.0,323,1,0.48173975944519043
207.0,207,1,0.3086273670196533
500.0,500,0,0.7423968315124512
342.0,342,1,0.5169975757598877
388.0,388,0,0.5868337154388428
332.0,332,1,0.4897031784057617
500.0,500,0,0.7527520656585693
375.0,375,0,0.5575253963470459
297.0,297,1,0.4479813575744629
500.0,500,0,0.7389419078826904
268.0,268,1,0.4093625545501709
372.0,372,0,0.5547139644622803
500.0,500,0,0.7593932151794434
293.0,293,1,0.4340972900390625
257.0,257,1,0.3889808654785156
500.0,500,0,0.7499325275421143
306.0,306,1,0.45551300048828125
308.0,308,1,0.4613919258117676
380.0,380,0,0.5712020397186279
410.0,410,0,0.6076645851135254
341.0,341,1,0.5101299285888672
500.0,500,0,0.7483606338500977
223.0,223,1,0.33962106704711914
500.0,500,0,0.7408847808837891
259.0,259,1,0.38824939727783203
277.0,277,1,0.4087178707122803
371.0,371,0,0.5502655506134033
224.0,224,1,0.33917808532714844
326.0,326,1,0.47634077072143555
485.0,485,0,0.7225825786590576
317.0,317,1,0.4777035713195801
500.0,500,0,0.7445487976074219
373.0,373,0,0.5648901462554932
170.0,170,1,0.2578909397125244
500.0,500,0,0.7484910488128662
267.0,267,1,0.39966678619384766
344.0,344,1,0.5202345848083496
500.0,500,0,0.7332522869110107
334.0,334,1,0.4908876419067383
287.0,287,1,0.42038702964782715
485.0,485,0,0.7244999408721924
354.0,354,0,0.5318400859832764
500.0,500,0,0.7293720245361328
500.0,500,0,0.7369868755340576
420.0,420,0,0.622114896774292
251.0,251,1,0.37016916275024414
215.0,215,1,0.3169081211090088
281.0,281,1,0.42596960067749023
301.0,301,1,0.447507381439209
281.0,281,1,0.4206724166870117
354.0,354,0,0.5383436679840088
482.0,482,0,0.7118878364562988
338.0,338,1,0.5022904872894287
332.0,332,1,0.4939088821411133
500.0,500,0,0.7365868091583252
500.0,500,0,0.7381014823913574
285.0,285,1,0.431027889251709
236.0,236,1,0.3548390865325928
274.0,274,1,0.4208524227142334
202.0,202,1,0.305652379989624
197.0,197,1,0.29360270500183105
361.0,361,0,0.5527851581573486
341.0,341,1,0.5101516246795654
301.0,301,1,0.4448506832122803
258.0,258,1,0.3972456455230713
285.0,285,1,0.41963696479797363
266.0,266,1,0.3912229537963867
500.0,500,0,0.7466208934783936
351.0,351,0,0.5309629440307617
205.0,205,1,0.3023867607116699
340.0,340,1,0.49754977226257324
259.0,259,1,0.3937661647796631
432.0,432,0,0.6316995620727539
280.0,280,1,0.4267446994781494
239.0,239,1,0.3511059284210205
12.0,12,1,0.017852067947387695
390.0,390,0,0.5844378471374512
318.0,318,1,0.47969532012939453
361.0,361,0,0.5445053577423096
363.0,363,0,0.5479192733764648
289.0,289,1,0.43529272079467773
230.0,230,1,0.3379080295562744
336.0,336,1,0.49353957176208496
216.0,216,1,0.32665419578552246
259.0,259,1,0.38318371772766113
339.0,339,1,0.5111162662506104
290.0,290,1,0.43731117248535156
500.0,500,0,0.7481307983398438
376.0,376,0,0.5574095249176025
500.0,500,0,0.7431666851043701
318.0,318,1,0.4761507511138916
500.0,500,0,0.738309383392334
442.0,442,0,0.673008918762207
385.0,385,0,0.5633442401885986
253.0,253,1,0.3659069538116455
390.0,390,0,0.5721471309661865
354.0,354,0,0.5266098976135254
402.0,402,0,0.6080112457275391
379.0,379,0,0.5690920352935791
353.0,353,0,0.5305583477020264
210.0,210,1,0.3078756332397461
500.0,500,0,0.7512011528015137
362.0,362,0,0.5433220863342285
385.0,385,0,0.5771744251251221
295.0,295,1,0.4329071044921875
407.0,407,0,0.6168458461761475
234.0,234,1,0.3510468006134033
329.0,329,1,0.4895591735839844
404.0,404,0,0.6084733009338379
343.0,343,1,0.5185658931732178
273.0,273,1,0.39887475967407227
260.0,260,1,0.38688015937805176
259.0,259,1,0.3939995765686035
371.0,371,0,0.5618360042572021
392.0,392,0,0.6028006076812744
500.0,500,0,0.7548019886016846
402.0,402,0,0.5981807708740234
500.0,500,0,0.7395470142364502
243.0,243,1,0.3601071834564209
380.0,380,0,0.5614209175109863
331.0,331,1,0.49115467071533203
313.0,313,1,0.46239399909973145
285.0,285,1,0.4311347007751465
227.0,227,1,0.328350305557251
500.0,500,0,0.7575600147247314
391.0,391,0,0.5802493095397949
376.0,376,0,0.5636157989501953
384.0,384,0,0.5712406635284424
261.0,261,1,0.38463354110717773
271.0,271,1,0.40454649925231934
290.0,290,1,0.43621349334716797
500.0,500,0,0.7396330833435059
340.0,340,1,0.5025513172149658
207.0,207,1,0.30907416343688965
298.0,298,1,0.45349812507629395
214.0,214,1,0.31867313385009766
279.0,279,1,0.4158437252044678
352.0,352,0,0.5219998359680176
317.0,317,1,0.4752016067504883
288.0,288,1,0.43218255043029785
232.0,232,1,0.35055088996887207
276.0,276,1,0.41809558868408203
357.0,357,0,0.5317087173461914
256.0,256,1,0.38115787506103516
402.0,402,0,0.5968632698059082
293.0,293,1,0.4439694881439209
500.0,500,0,0.7633495330810547
282.0,282,1,0.42119812965393066
355.0,355,0,0.5330684185028076
500.0,500,0,0.7492587566375732
232.0,232,1,0.33889341354370117
258.0,258,1,0.3905825614929199
226.0,226,1,0.33564043045043945
454.0,454,0,0.6801738739013672
278.0,278,1,0.4200139045715332
354.0,354,0,0.5223009586334229
287.0,287,1,0.4418978691101074
331.0,331,1,0.48980236053466797
371.0,371,0,0.5462427139282227
379.0,379,0,0.5544631481170654
500.0,500,0,0.7497844696044922
500.0,500,0,0.7415022850036621
329.0,329,1,0.4805567264556885
342.0,342,1,0.5153810977935791
311.0,311,1,0.46445226669311523
373.0,373,0,0.5599372386932373
311.0,311,1,0.46780872344970703
282.0,282,1,0.4064795970916748
266.0,266,1,0.38983750343322754
423.0,423,0,0.6386206150054932
500.0,500,0,0.7442271709442139
381.0,381,0,0.5663888454437256
284.0,284,1,0.4194216728210449
360.0,360,0,0.5335967540740967
489.0,489,0,0.7300174236297607
370.0,370,0,0.5549831390380859
334.0,334,1,0.4926798343658447
429.0,429,0,0.6371822357177734
500.0,500,0,0.742509126663208
262.0,262,1,0.39148497581481934
418.0,418,0,0.6276662349700928
315.0,315,1,0.47042155265808105
500.0,500,0,0.7325310707092285
368.0,368,0,0.5647687911987305
299.0,299,1,0.440997838973999
294.0,294,1,0.4292149543762207
232.0,232,1,0.33884620666503906
500.0,500,0,0.7421455383300781
206.0,206,1,0.2975959777832031
318.0,318,1,0.4776151180267334
500.0,500,0,0.7512171268463135
500.0,500,0,0.7654192447662354
310.0,310,1,0.45939135551452637
384.0,384,0,0.5844213962554932
15.0,15,1,0.020540952682495117
204.0,204,1,0.30260753631591797
199.0,199,1,0.302762508392334
366.0,366,0,0.5461854934692383
375.0,375,0,0.5648961067199707
312.0,312,1,0.4749464988708496
373.0,373,0,0.5737555027008057
366.0,366,0,0.5433850288391113
242.0,242,1,0.3682544231414795
