return,steps,failure,wall_dt
435.5,435,0,0.6824824810028076
376.5,376,0,0.5885728597640991
384.0,384,0,0.599105954170227
398.0,398,0,0.6230303049087524
386.5,386,0,0.6181670427322388
431.5,431,0,0.6850476264953613
441.0,441,0,0.6937683820724487
380.5,380,0,0.5943703651428223
359.5,359,1,0.5612707138061523
363.0,363,1,0.5658046007156372
380.5,380,0,0.5929063558578491
437.5,437,0,0.6859496831893921
440.0,440,0,0.6861703395843506
368.5,368,0,0.5767451524734497
428.5,428,0,0.6831687688827515
445.5,445,0,0.6981823444366455
382.0,382,0,0.5944527387619019
388.5,388,0,0.6008362770080566
381.5,381,0,0.5934926271438599
356.0,356,0,0.5539125204086304
353.0,353,0,0.5488954782485962
354.0,354,0,0.5529071092605591
368.0,368,0,0.5725452899932861
373.0,373,0,0.5865024328231812
353.5,353,1,0.566752552986145
356.0,356,1,0.5663110017776489
374.0,374,0,0.5832182168960571
382.5,382,0,0.5963830947875977
396.0,396,0,0.6186901330947876
401.0,401,0,0.6248190402984619
386.0,386,0,0.6021243333816528
437.5,437,0,0.6812388896942139
500.0,500,0,0.778368353843689
404.5,404,1,0.6365976333618164
301.0,301,0,0.4811762571334839
289.5,289,0,0.460119366645813
284.0,284,0,0.44387614727020264
319.5,319,1,0.4999188184738159
428.5,428,0,0.6695151329040527
393.0,393,1,0.617324709892273
320.0,320,1,0.5004189014434814
427.0,427,0,0.6671148538589478
500.0,500,0,0.7816635370254517
500.0,500,0,0.785133957862854
409.0,409,1,0.6611428260803223
305.0,305,0,0.4897538423538208
396.0,396,1,0.6233478784561157
430.5,430,0,0.6783336400985718
354.5,354,1,0.5561580657958984
319.0,319,0,0.49917125701904297
395.0,395,1,0.6210241317749023
392.0,392,1,0.6132224798202515
306.5,306,0,0.4785524606704712
361.0,361,1,0.5643495321273804
376.0,376,0,0.5975704193115234
357.5,357,0,0.5748541355133057
425.5,425,0,0.666566014289856
414.0,414,1,0.6456853151321411
357.0,357,1,0.5582410097122192
375.5,375,0,0.5869894027709961
435.0,435,0,0.6798816919326782
500.0,500,0,0.7845374345779419
438.0,438,0,0.6784583330154419
368.5,368,0,0.5735645294189453
430.5,430,0,0.6883937120437622
415.0,415,1,0.6566652059555054
310.0,310,0,0.48299455642700195
395.0,395,1,0.6143085956573486
453.0,453,0,0.7089897394180298
389.0,389,0,0.6056157350540161
436.0,436,0,0.6811943054199219
442.5,442,0,0.6889935731887817
390.5,390,0,0.6130931377410889
394.0,394,0,0.6188086271286011
446.0,446,0,0.6999498605728149
500.0,500,0,0.7692461013793945
457.5,457,0,0.7098662853240967
400.0,400,0,0.6249145269393921
371.0,371,0,0.5801962614059448
324.5,324,1,0.5077258348464966
326.0,326,1,0.5099488496780396
368.0,368,0,0.5749258995056152
383.0,383,0,0.5995869636535645
384.5,384,0,0.6103594303131104
357.0,357,1,0.5713887214660645
325.5,325,0,0.5122413635253906
339.5,339,1,0.5315690040588379
351.0,351,1,0.5489627122879028
318.0,318,0,0.4977470636367798
337.0,337,1,0.5277880430221558
347.0,347,1,0.5426937341690063
338.0,338,1,0.5281854867935181
352.5,352,1,0.5505993366241455
359.5,359,1,0.5634632110595703
380.5,380,0,0.6073998212814331
386.5,386,0,0.6311888694763184
394.5,394,0,0.6218384504318237
347.0,347,1,0.5404781103134155
333.0,333,1,0.5193881988525391
383.0,383,0,0.5996862649917603
445.0,445,0,0.6951556205749512
420.5,420,1,0.6559513807296753
332.5,332,0,0.5200637578964233
361.0,361,1,0.5639469623565674
344.5,344,1,0.5423305034637451
327.5,327,1,0.524396538734436
382.0,382,0,0.6055930852890015
386.5,386,0,0.6031571626663208
436.5,436,0,0.6800282001495361
410.5,410,1,0.6386393308639526
366.5,366,1,0.5712103843688965
396.5,396,0,0.6204448938369751
368.5,368,0,0.5734765529632568
363.0,363,0,0.5679960250854492
367.5,367,0,0.5733532905578613
363.5,363,0,0.5814346075057983
333.0,333,1,0.531489372253418
344.5,344,1,0.5377352237701416
381.0,381,0,0.5941921472549438
362.0,362,1,0.5618784427642822
423.5,423,1,0.658950924873352
438.5,438,0,0.6819218397140503
377.0,377,0,0.5862643718719482
362.5,362,1,0.5637116432189941
357.5,357,1,0.5554841756820679
383.0,383,0,0.612209677696228
360.5,360,1,0.5755574703216553
343.0,343,1,0.535344123840332
432.0,432,0,0.6737178564071655
443.5,443,0,0.6913063526153564
375.0,375,0,0.574915885925293
330.5,330,1,0.5065070390701294
399.0,399,1,0.609522819519043
433.0,433,0,0.6607571840286255
373.5,373,0,0.568337082862854
372.5,372,0,0.577142596244812
432.0,432,0,0.6840208768844604
433.5,433,0,0.6683218479156494
330.5,330,1,0.5134453773498535
292.0,292,0,0.4538092613220215
331.0,331,1,0.5179401636123657
436.0,436,0,0.6804665327072144
422.0,422,1,0.6599389314651489
422.0,422,1,0.6585491895675659
409.5,409,1,0.640413761138916
409.5,409,1,0.652180552482605
500.0,500,0,0.7961591482162476
500.0,500,0,0.7806020975112915
421.0,421,1,0.6561411619186401
350.5,350,1,0.5481771230697632
429.5,429,0,0.6736104488372803
434.0,434,0,0.6784859895706177
365.0,365,0,0.5715203285217285
391.5,391,0,0.6123834848403931
460.5,460,0,0.7307745218276978
430.5,430,0,0.6907378435134888
380.5,380,0,0.5969151258468628
450.0,450,0,0.7029789686203003
415.5,415,1,0.6487963199615479
359.0,359,1,0.560233473777771
371.5,371,0,0.5785431861877441
347.0,347,1,0.5400408506393433
419.0,419,1,0.6542676687240601
435.5,435,0,0.6761668920516968
363.0,363,0,0.5736991167068481
343.5,343,1,0.5459120273590088
342.5,342,1,0.5353087186813354
372.0,372,0,0.5783995389938354
382.0,382,0,0.5937919616699219
371.0,371,0,0.5800737142562866
371.0,371,0,0.5798428058624268
436.5,436,0,0.6825968027114868
500.0,500,0,0.7815908193588257
424.0,424,1,0.6644096374511719
424.0,424,1,0.6776313781738281
448.0,448,0,0.7183027267456055
448.0,448,0,0.7022192478179932
446.5,446,0,0.6966209411621094
387.5,387,0,0.6038162708282471
441.0,441,0,0.6891151666641235
500.0,500,0,0.7780865430831909
391.5,391,1,0.6092953681945801
391.5,391,1,0.6097942590713501
434.5,434,0,0.6930925846099854
380.0,380,0,0.6057720184326172
361.5,361,1,0.5655092000961304
416.0,416,1,0.6494213342666626
436.5,436,0,0.6831367015838623
377.5,377,0,0.5914077758789062
333.0,333,1,0.5219231843948364
323.5,323,1,0.50095534324646
358.5,358,0,0.5471329689025879
358.5,358,0,0.5473610162734985
363.0,363,0,0.5659290552139282
366.0,366,0,0.5765343904495239
434.5,434,0,0.6699984073638916
425.0,425,0,0.6509391069412231
320.5,320,1,0.499397873878479
347.5,347,1,0.5451643466949463
452.0,452,0,0.7076758146286011
431.5,431,0,0.6776800155639648
359.0,359,0,0.5606033802032471
363.5,363,0,0.5691256523132324
374.0,374,0,0.5931746959686279
371.5,371,0,0.594882607460022
353.0,353,1,0.5554137229919434
419.5,419,1,0.6563643217086792
427.5,427,0,0.6712371110916138
323.5,323,1,0.5123178958892822
292.0,292,0,0.45966172218322754
396.0,396,1,0.6198792457580566
396.0,396,1,0.6190462112426758
330.5,330,1,0.5156716108322144
367.5,367,0,0.5712181329727173
433.0,433,0,0.6811598539352417
500.0,500,0,0.7865133285522461
437.5,437,0,0.681389570236206
437.5,437,0,0.681925892829895
426.0,426,0,0.6644158363342285
371.5,371,0,0.5792171955108643
445.5,445,0,0.6969527006149292
