return,steps,failure,wall_dt
500.0,500,0,0.7085216045379639
260.0,260,1,0.3602323532104492
363.0,363,0,0.5243158340454102
344.0,344,1,0.4943115711212158
329.0,329,1,0.47833681106567383
303.0,303,1,0.4237077236175537
277.0,277,1,0.387584924697876
361.0,361,0,0.5218594074249268
205.0,205,1,0.28606104850769043
298.0,298,1,0.42691993713378906
288.0,288,1,0.4060056209564209
435.0,435,0,0.6065528392791748
323.0,323,1,0.4434976577758789
364.0,364,0,0.5109808444976807
238.0,238,1,0.3366999626159668
392.0,392,0,0.5518531799316406
500.0,500,0,0.7267699241638184
389.0,389,0,0.561661958694458
388.0,388,0,0.5433461666107178
333.0,333,1,0.47618889808654785
271.0,271,1,0.37819433212280273
500.0,500,0,0.7132399082183838
490.0,490,0,0.7066171169281006
274.0,274,1,0.3793165683746338
500.0,500,0,0.7225990295410156
352.0,352,0,0.5022480487823486
377.0,377,0,0.5435888767242432
377.0,377,0,0.5215773582458496
341.0,341,1,0.49262022972106934
500.0,500,0,0.700037956237793
500.0,500,0,0.6944580078125
339.0,339,1,0.4794290065765381
243.0,243,1,0.34673118591308594
320.0,320,1,0.45165562629699707
440.0,440,0,0.6249992847442627
277.0,277,1,0.39547228813171387
350.0,350,0,0.48430943489074707
292.0,292,1,0.42075538635253906
500.0,500,0,0.701777458190918
316.0,316,1,0.4522087574005127
338.0,338,1,0.4877655506134033
404.0,404,0,0.5798904895782471
287.0,287,1,0.40984606742858887
500.0,500,0,0.7197070121765137
500.0,500,0,0.7070062160491943
215.0,215,1,0.303560733795166
306.0,306,1,0.4214487075805664
402.0,402,0,0.5627360343933105
362.0,362,0,0.528022050857544
239.0,239,1,0.33382511138916016
398.0,398,0,0.5658872127532959
311.0,311,1,0.4355483055114746
441.0,441,0,0.6294467449188232
361.0,361,0,0.5297958850860596
309.0,309,1,0.4295320510864258
284.0,284,1,0.41097116470336914
270.0,270,1,0.38686108589172363
326.0,326,1,0.44436097145080566
500.0,500,0,0.6944844722747803
394.0,394,0,0.5521738529205322
325.0,325,1,0.46779704093933105
351.0,351,0,0.5115847587585449
303.0,303,1,0.4337654113769531
365.0,365,0,0.5118646621704102
293.0,293,1,0.4102034568786621
314.0,314,1,0.46364521980285645
388.0,388,0,0.5442595481872559
360.0,360,0,0.5105841159820557
449.0,449,0,0.632068395614624
277.0,277,1,0.4055802822113037
270.0,270,1,0.3908534049987793
332.0,332,1,0.45538830757141113
396.0,396,0,0.5799651145935059
285.0,285,1,0.39130163192749023
297.0,297,1,0.4311807155609131
235.0,235,1,0.33370447158813477
297.0,297,1,0.41945886611938477
206.0,206,1,0.29073119163513184
463.0,463,0,0.6335783004760742
320.0,320,1,0.4481625556945801
312.0,312,1,0.4474060535430908
233.0,233,1,0.3408229351043701
500.0,500,0,0.7018482685089111
380.0,380,0,0.540837287902832
345.0,345,1,0.485781192779541
278.0,278,1,0.3953239917755127
500.0,500,0,0.7129826545715332
500.0,500,0,0.6941454410552979
284.0,284,1,0.4093809127807617
500.0,500,0,0.726834774017334
500.0,500,0,0.7157557010650635
401.0,401,0,0.5491631031036377
354.0,354,0,0.4973325729370117
339.0,339,1,0.4917435646057129
500.0,500,0,0.71429443359375
306.0,306,1,0.44249391555786133
453.0,453,0,0.6600539684295654
380.0,380,0,0.5449619293212891
310.0,310,1,0.44315218925476074
349.0,349,1,0.5065798759460449
288.0,288,1,0.3979377746582031
500.0,500,0,0.7061069011688232
477.0,477,0,0.6807715892791748
271.0,271,1,0.38832974433898926
251.0,251,1,0.3531308174133301
368.0,368,0,0.533301591873169
500.0,500,0,0.6884543895721436
500.0,500,0,0.6954202651977539
265.0,265,1,0.3812103271484375
378.0,378,0,0.5308172702789307
300.0,300,1,0.4338855743408203
338.0,338,1,0.4801194667816162
378.0,378,0,0.5325736999511719
189.0,189,1,0.26477742195129395
334.0,334,1,0.4678499698638916
500.0,500,0,0.6866791248321533
248.0,248,1,0.337566614151001
331.0,331,1,0.48099303245544434
366.0,366,0,0.5367498397827148
260.0,260,1,0.3858144283294678
367.0,367,0,0.5101771354675293
365.0,365,0,0.5272228717803955
353.0,353,0,0.5018584728240967
257.0,257,1,0.3564019203186035
218.0,218,1,0.30040478706359863
274.0,274,1,0.39092278480529785
360.0,360,0,0.5183906555175781
357.0,357,0,0.5147778987884521
256.0,256,1,0.3518252372741699
331.0,331,1,0.47177553176879883
500.0,500,0,0.6948416233062744
413.0,413,0,0.5961158275604248
387.0,387,0,0.5428879261016846
500.0,500,0,0.7185635566711426
325.0,325,1,0.45558595657348633
428.0,428,0,0.5941751003265381
347.0,347,1,0.49349522590637207
230.0,230,1,0.3214404582977295
407.0,407,0,0.5690522193908691
335.0,335,1,0.4780700206756592
276.0,276,1,0.381441593170166
188.0,188,1,0.26418089866638184
231.0,231,1,0.33422255516052246
245.0,245,1,0.3503861427307129
283.0,283,1,0.41298508644104004
385.0,385,0,0.5555212497711182
500.0,500,0,0.7139830589294434
500.0,500,0,0.7114520072937012
500.0,500,0,0.6950457096099854
267.0,267,1,0.3748502731323242
220.0,220,1,0.31067490577697754
381.0,381,0,0.541846752166748
