return,steps,failure,wall_dt
252.0,252,1,0.3602631092071533
363.0,363,0,0.5095818042755127
323.0,323,1,0.4641225337982178
255.0,255,1,0.36714673042297363
437.0,437,0,0.6150228977203369
283.0,283,1,0.4034230709075928
499.0,499,0,0.6877684593200684
371.0,371,0,0.5398900508880615
500.0,500,0,0.7021610736846924
229.0,229,1,0.31857895851135254
257.0,257,1,0.3514535427093506
358.0,358,0,0.48114538192749023
500.0,500,0,0.7028846740722656
500.0,500,0,0.6944930553436279
448.0,448,0,0.636199951171875
322.0,322,1,0.4581718444824219
364.0,364,0,0.5263395309448242
273.0,273,1,0.3866403102874756
413.0,413,0,0.5900688171386719
475.0,475,0,0.6659383773803711
382.0,382,0,0.556037425994873
471.0,471,0,0.6692142486572266
238.0,238,1,0.340686559677124
364.0,364,0,0.5084986686706543
375.0,375,0,0.5290958881378174
500.0,500,0,0.704547643661499
281.0,281,1,0.4094235897064209
263.0,263,1,0.3718280792236328
290.0,290,1,0.41739916801452637
182.0,182,1,0.24511003494262695
304.0,304,1,0.43570923805236816
347.0,347,1,0.4926760196685791
331.0,331,1,0.47119569778442383
500.0,500,0,0.7052309513092041
500.0,500,0,0.7212934494018555
300.0,300,1,0.4293985366821289
324.0,324,1,0.45562267303466797
262.0,262,1,0.3722817897796631
377.0,377,0,0.5242092609405518
379.0,379,0,0.5209865570068359
273.0,273,1,0.3968970775604248
320.0,320,1,0.45351219177246094
500.0,500,0,0.7462506294250488
500.0,500,0,0.7316288948059082
500.0,500,0,0.7226560115814209
500.0,500,0,0.7213208675384521
359.0,359,0,0.5088257789611816
372.0,372,0,0.5286953449249268
365.0,365,0,0.5145883560180664
217.0,217,1,0.2982814311981201
382.0,382,0,0.5452830791473389
266.0,266,1,0.38314390182495117
334.0,334,1,0.48503804206848145
364.0,364,0,0.5188469886779785
286.0,286,1,0.3994567394256592
500.0,500,0,0.718285083770752
286.0,286,1,0.4141268730163574
373.0,373,0,0.5296211242675781
213.0,213,1,0.29720401763916016
377.0,377,0,0.5340912342071533
264.0,264,1,0.3709137439727783
500.0,500,0,0.7136845588684082
500.0,500,0,0.7170810699462891
339.0,339,1,0.48021388053894043
256.0,256,1,0.3612849712371826
500.0,500,0,0.7173094749450684
254.0,254,1,0.3734769821166992
247.0,247,1,0.34024524688720703
500.0,500,0,0.7299702167510986
313.0,313,1,0.44791340827941895
270.0,270,1,0.38320350646972656
283.0,283,1,0.3996443748474121
500.0,500,0,0.7213637828826904
372.0,372,0,0.5146002769470215
302.0,302,1,0.43584275245666504
415.0,415,0,0.6007699966430664
234.0,234,1,0.3342244625091553
245.0,245,1,0.34699511528015137
340.0,340,1,0.4788835048675537
500.0,500,0,0.7127945423126221
270.0,270,1,0.36200451850891113
