return,steps,failure,wall_dt
328.0,328,1,0.4717435836791992
312.0,312,1,0.43605923652648926
215.0,215,1,0.3177931308746338
278.0,278,1,0.38798022270202637
500.0,500,0,0.7099130153656006
353.0,353,0,0.49454665184020996
500.0,500,0,0.7015058994293213
367.0,367,0,0.5238888263702393
472.0,472,0,0.662930965423584
404.0,404,0,0.5655920505523682
422.0,422,0,0.5853071212768555
387.0,387,0,0.5510201454162598
291.0,291,1,0.4061398506164551
468.0,468,0,0.6702227592468262
293.0,293,1,0.4121367931365967
315.0,315,1,0.4561958312988281
500.0,500,0,0.7000799179077148
279.0,279,1,0.401287317276001
404.0,404,0,0.5791850090026855
277.0,277,1,0.3899199962615967
226.0,226,1,0.32872438430786133
332.0,332,1,0.4639322757720947
249.0,249,1,0.35379934310913086
460.0,460,0,0.65486741065979
500.0,500,0,0.7212862968444824
301.0,301,1,0.42534804344177246
288.0,288,1,0.40450406074523926
500.0,500,0,0.7086114883422852
381.0,381,0,0.5313465595245361
346.0,346,1,0.5016553401947021
287.0,287,1,0.4024510383605957
341.0,341,1,0.478837251663208
500.0,500,0,0.7144975662231445
324.0,324,1,0.4705369472503662
322.0,322,1,0.4410574436187744
500.0,500,0,0.701643705368042
348.0,348,1,0.4968392848968506
302.0,302,1,0.43886661529541016
500.0,500,0,0.7194168567657471
285.0,285,1,0.41634440422058105
276.0,276,1,0.4002563953399658
486.0,486,0,0.69508957862854
323.0,323,1,0.46146512031555176
500.0,500,0,0.7088015079498291
331.0,331,1,0.4784204959869385
267.0,267,1,0.3851923942565918
302.0,302,1,0.43370938301086426
500.0,500,0,0.7137904167175293
315.0,315,1,0.44642138481140137
371.0,371,0,0.539466381072998
500.0,500,0,0.710411548614502
500.0,500,0,0.7120635509490967
500.0,500,0,0.7209498882293701
354.0,354,0,0.5129363536834717
282.0,282,1,0.4042484760284424
500.0,500,0,0.7212464809417725
435.0,435,0,0.6108458042144775
370.0,370,0,0.5231902599334717
366.0,366,0,0.5205361843109131
284.0,284,1,0.4127030372619629
360.0,360,0,0.516427755355835
345.0,345,1,0.4945669174194336
337.0,337,1,0.4778175354003906
352.0,352,0,0.5122084617614746
411.0,411,0,0.5936996936798096
409.0,409,0,0.5627427101135254
312.0,312,1,0.4321753978729248
375.0,375,0,0.5212223529815674
397.0,397,0,0.5663771629333496
407.0,407,0,0.5754704475402832
262.0,262,1,0.3643338680267334
286.0,286,1,0.3799738883972168
500.0,500,0,0.708003044128418
421.0,421,0,0.5854382514953613
309.0,309,1,0.4412820339202881
302.0,302,1,0.42766451835632324
304.0,304,1,0.4094417095184326
347.0,347,1,0.4792904853820801
500.0,500,0,0.6887383460998535
394.0,394,0,0.5670070648193359
328.0,328,1,0.45680832862854004
500.0,500,0,0.7066724300384521
404.0,404,0,0.5776524543762207
302.0,302,1,0.4289853572845459
242.0,242,1,0.34120941162109375
500.0,500,0,0.7159981727600098
398.0,398,0,0.5643713474273682
345.0,345,1,0.49669623374938965
288.0,288,1,0.39899349212646484
362.0,362,0,0.5106115341186523
314.0,314,1,0.4320051670074463
500.0,500,0,0.6961491107940674
285.0,285,1,0.4014098644256592
500.0,500,0,0.7223341464996338
439.0,439,0,0.6088793277740479
244.0,244,1,0.34233641624450684
500.0,500,0,0.7126662731170654
361.0,361,0,0.5138812065124512
500.0,500,0,0.721447229385376
353.0,353,0,0.4977693557739258
288.0,288,1,0.40595340728759766
311.0,311,1,0.4477076530456543
339.0,339,1,0.4747493267059326
500.0,500,0,0.7150969505310059
299.0,299,1,0.4336400032043457
355.0,355,0,0.5124433040618896
343.0,343,1,0.4710655212402344
500.0,500,0,0.728740930557251
445.0,445,0,0.6425738334655762
281.0,281,1,0.39937639236450195
352.0,352,0,0.4887363910675049
465.0,465,0,0.6653454303741455
500.0,500,0,0.7074575424194336
343.0,343,1,0.49874401092529297
368.0,368,0,0.5208604335784912
500.0,500,0,0.7054474353790283
297.0,297,1,0.43431901931762695
349.0,349,1,0.49593496322631836
232.0,232,1,0.3187825679779053
500.0,500,0,0.7051570415496826
309.0,309,1,0.4304373264312744
500.0,500,0,0.7065422534942627
310.0,310,1,0.435469388961792
310.0,310,1,0.4296839237213135
366.0,366,0,0.5153369903564453
366.0,366,0,0.5221960544586182
190.0,190,1,0.26122426986694336
358.0,358,0,0.5031449794769287
292.0,292,1,0.4052598476409912
328.0,328,1,0.47393250465393066
361.0,361,0,0.5057647228240967
244.0,244,1,0.32872915267944336
384.0,384,0,0.5489940643310547
286.0,286,1,0.3957555294036865
390.0,390,0,0.5699667930603027
500.0,500,0,0.70290207862854
354.0,354,0,0.48900389671325684
362.0,362,0,0.5129880905151367
321.0,321,1,0.43803882598876953
373.0,373,0,0.5244853496551514
500.0,500,0,0.6730639934539795
270.0,270,1,0.3682377338409424
334.0,334,1,0.46541476249694824
353.0,353,0,0.5029823780059814
327.0,327,1,0.47579455375671387
265.0,265,1,0.37561464309692383
311.0,311,1,0.43840503692626953
500.0,500,0,0.6979634761810303
500.0,500,0,0.7034549713134766
447.0,447,0,0.6185104846954346
270.0,270,1,0.36959147453308105
274.0,274,1,0.40235257148742676
410.0,410,0,0.604196310043335
358.0,358,0,0.5151214599609375
319.0,319,1,0.44539809226989746
286.0,286,1,0.41692018508911133
500.0,500,0,0.7179450988769531
500.0,500,0,0.70487380027771
232.0,232,1,0.3274040222167969
326.0,326,1,0.4795563220977783
287.0,287,1,0.413470983505249
363.0,363,0,0.5293712615966797
393.0,393,0,0.5596716403961182
278.0,278,1,0.39531421661376953
442.0,442,0,0.6166856288909912
500.0,500,0,0.6907594203948975
378.0,378,0,0.5375196933746338
500.0,500,0,0.7027297019958496
243.0,243,1,0.35032057762145996
274.0,274,1,0.3854856491088867
339.0,339,1,0.47196364402770996
376.0,376,0,0.5286781787872314
421.0,421,0,0.6027448177337646
500.0,500,0,0.7006306648254395
386.0,386,0,0.541527509689331
192.0,192,1,0.2592592239379883
500.0,500,0,0.7217562198638916
234.0,234,1,0.33161449432373047
500.0,500,0,0.6755194664001465
319.0,319,1,0.45876550674438477
218.0,218,1,0.31513309478759766
383.0,383,0,0.5573444366455078
400.0,400,0,0.5603053569793701
268.0,268,1,0.37921833992004395
432.0,432,0,0.5994412899017334
404.0,404,0,0.5810863971710205
500.0,500,0,0.7021830081939697
500.0,500,0,0.7096967697143555
286.0,286,1,0.4052767753601074
253.0,253,1,0.36189985275268555
295.0,295,1,0.41173768043518066
500.0,500,0,0.6836469173431396
500.0,500,0,0.6954634189605713
246.0,246,1,0.34493494033813477
370.0,370,0,0.5160243511199951
265.0,265,1,0.380340576171875
255.0,255,1,0.3520619869232178
382.0,382,0,0.5457179546356201
302.0,302,1,0.4314005374908447
303.0,303,1,0.4226953983306885
280.0,280,1,0.3940000534057617
448.0,448,0,0.6368937492370605
299.0,299,1,0.4144589900970459
185.0,185,1,0.25787830352783203
360.0,360,0,0.5600028038024902
248.0,248,1,0.3533599376678467
500.0,500,0,0.7080721855163574
281.0,281,1,0.4031257629394531
326.0,326,1,0.44725561141967773
351.0,351,0,0.49808359146118164
500.0,500,0,0.6990547180175781
210.0,210,1,0.28823089599609375
320.0,320,1,0.45812296867370605
363.0,363,0,0.5103881359100342
276.0,276,1,0.3850438594818115
284.0,284,1,0.38442087173461914
339.0,339,1,0.48312973976135254
276.0,276,1,0.3945598602294922
310.0,310,1,0.4445173740386963
500.0,500,0,0.7018387317657471
357.0,357,0,0.5101640224456787
335.0,335,1,0.4802370071411133
332.0,332,1,0.458859920501709
272.0,272,1,0.39350342750549316
421.0,421,0,0.6060187816619873
260.0,260,1,0.3582901954650879
427.0,427,0,0.6194167137145996
340.0,340,1,0.4853692054748535
381.0,381,0,0.555504322052002
437.0,437,0,0.6249823570251465
264.0,264,1,0.3656766414642334
236.0,236,1,0.3249666690826416
229.0,229,1,0.32347583770751953
260.0,260,1,0.37355947494506836
500.0,500,0,0.7162501811981201
303.0,303,1,0.4145538806915283
500.0,500,0,0.6991806030273438
500.0,500,0,0.72969651222229
315.0,315,1,0.4382660388946533
500.0,500,0,0.713794469833374
373.0,373,0,0.5212664604187012
259.0,259,1,0.37178564071655273
