framework,budget,F,FR,APFD,APFD_time,TTF_tests,TTF_seconds,total_seconds
AdaStop,1500,1,0.0006666666666666666,0.8363333333333333,,246.0,0.0,0.0
AlphaTest,1500,818,0.5453333333333333,0.5009364303178483,0.5009629200692458,3.0,1.4220101833343506,745.5807547569275
CUSUM-RL,1500,1,0.0006666666666666666,0.0003333333333333333,,1500.0,0.0,0.0
CureFuzz,1500,803,0.5353333333333333,0.5007102532171025,0.5006574532235735,2.0,1.0078284740447998,749.9820828437805
DLBT,1500,977,0.6513333333333333,0.5028498805868304,0.505726026662952,1.0,0.4221761226654053,754.3587114810944
F-Oracle,1500,1,0.0006666666666666666,0.967,,50.0,0.0,0.0
FS,1500,756,0.504,0.500763668430335,0.5039297169356077,2.0,1.1797106266021729,800.6381666660309
GMBT,1500,793,0.5286666666666666,0.4891008827238335,0.48864164427951723,1.0,0.4780778884887695,750.9026892185211
Indago,1500,818,0.5453333333333333,0.487118989405053,0.48531552119531113,2.0,1.0019350051879883,748.6039659976959
MDPFuzz,1500,1093,0.7286666666666667,0.4975044220799025,0.4990114035688107,1.0,0.4571952819824219,674.6134128570557
MDPMorph,1500,582,0.388,0.47795418098510883,0.47436213236894975,9.0,5.64581573009491,905.4937448501587
NR-RL,1500,822,0.548,0.49613706407137065,0.4975625220823826,2.0,1.068753957748413,743.8550839424133
QD-Testing,1500,809,0.5393333333333333,0.4857334157395962,0.4843841107447178,1.0,0.465545654296875,749.7984201908112
RLMutation,1500,397,0.26466666666666666,0.47758774139378674,0.47669840320817536,2.0,1.1219277381896973,906.978351354599
SBF,1500,811,0.5406666666666666,0.5008175092478422,0.5032675451681172,1.0,0.3602631092071533,751.670084476471
STARLA,1500,795,0.53,0.48412201257861637,0.4806054938265352,1.0,0.3281106948852539,755.9193441867828
pi-Fuzz,1500,830,0.5533333333333333,0.49072369477911654,0.48847354172889146,1.0,0.4717435836791992,749.2013158798218
μPRL,1500,637,0.4246666666666667,0.5034510727367869,0.5042722451902625,2.0,1.153318166732788,801.9361989498138
