idx,steps,failure
0,1,1
1,1,0
2,1,0
3,1,1
4,1,1
5,1,1
6,1,0
7,1,1
8,1,1
9,1,0
10,1,0
11,1,0
12,1,0
13,1,1
14,1,0
15,1,1
16,1,0
17,1,0
18,1,1
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,1
25,1,1
26,1,0
27,1,0
28,1,0
29,1,1
30,1,0
31,1,1
32,1,0
33,1,1
34,1,1
35,1,1
36,1,1
37,1,0
38,1,1
39,1,1
40,1,0
41,1,0
42,1,1
43,1,0
44,1,1
45,1,1
46,1,1
47,1,0
48,1,1
49,1,0
50,1,0
51,1,1
52,1,1
53,1,0
54,1,0
55,1,1
56,1,0
57,1,0
58,1,1
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,1
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,1
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,1
77,1,0
78,1,1
79,1,0
80,1,0
81,1,0
82,1,0
83,1,1
84,1,0
85,1,1
86,1,0
87,1,0
88,1,1
89,1,0
90,1,1
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,1
97,1,1
98,1,0
99,1,0
