idx,steps,failure
0,1,1
1,1,0
2,1,1
3,1,0
4,1,0
5,1,1
6,1,0
7,1,1
8,1,1
9,1,1
10,1,1
11,1,0
12,1,1
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,1
19,1,1
20,1,1
21,1,1
22,1,0
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,0
29,1,1
30,1,1
31,1,0
32,1,0
33,1,0
34,1,1
35,1,0
36,1,1
37,1,1
38,1,0
39,1,0
40,1,1
41,1,1
42,1,0
43,1,1
44,1,1
45,1,0
46,1,1
47,1,0
48,1,0
49,1,0
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,0
56,1,0
57,1,0
58,1,0
59,1,1
60,1,0
61,1,0
62,1,0
63,1,1
64,1,1
65,1,1
66,1,0
67,1,1
68,1,0
69,1,1
70,1,1
71,1,1
72,1,0
73,1,0
74,1,1
75,1,1
76,1,1
77,1,1
78,1,0
79,1,1
80,1,1
81,1,0
82,1,1
83,1,1
84,1,0
85,1,1
86,1,0
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,0
96,1,1
97,1,0
98,1,1
99,1,1
