idx,steps,failure,illegal,profile
0,1,0,0,MUT_AGENT/epsilon
1,1,0,0,MUT_AGENT/epsilon
2,1,0,0,MUT_AGENT/epsilon
3,1,1,1,MUT_AGENT/epsilon
4,1,0,0,MUT_AGENT/epsilon
5,1,0,0,MUT_AGENT/epsilon
6,1,0,0,MUT_AGENT/epsilon
7,1,0,0,MUT_AGENT/epsilon
8,1,1,1,MUT_AGENT/epsilon
9,1,0,0,MUT_AGENT/epsilon
10,1,0,0,MUT_AGENT/epsilon
11,1,0,0,MUT_AGENT/epsilon
12,1,0,0,MUT_AGENT/epsilon
13,1,1,0,MUT_AGENT/epsilon
14,1,1,0,MUT_AGENT/epsilon
15,1,1,0,MUT_AGENT/epsilon
16,1,0,0,MUT_AGENT/epsilon
17,1,0,0,MUT_AGENT/epsilon
18,1,0,0,MUT_AGENT/epsilon
19,1,0,0,MUT_AGENT/epsilon
20,1,0,0,MUT_AGENT/epsilon
21,1,0,0,MUT_AGENT/epsilon
22,1,0,0,MUT_AGENT/epsilon
23,1,1,0,MUT_AGENT/epsilon
24,1,1,1,MUT_AGENT/epsilon
25,1,0,0,MUT_AGENT/epsilon
26,1,1,0,MUT_AGENT/epsilon
27,1,0,0,MUT_AGENT/epsilon
28,1,0,0,MUT_AGENT/epsilon
29,1,0,0,MUT_AGENT/epsilon
30,1,0,0,MUT_AGENT/epsilon
31,1,1,0,MUT_AGENT/epsilon
32,1,0,0,MUT_AGENT/epsilon
