idx,steps,failure,illegal,profile
0,1,0,0,MUT_AGENT/logit
1,1,1,0,MUT_AGENT/logit
2,1,0,0,MUT_AGENT/logit
3,1,1,0,MUT_AGENT/logit
4,1,0,0,MUT_AGENT/logit
5,1,0,0,MUT_AGENT/logit
6,1,0,0,MUT_AGENT/logit
7,1,0,0,MUT_AGENT/logit
8,1,0,0,MUT_AGENT/logit
9,1,0,0,MUT_AGENT/logit
10,1,1,0,MUT_AGENT/logit
11,1,1,0,MUT_AGENT/logit
12,1,0,0,MUT_AGENT/logit
13,1,0,0,MUT_AGENT/logit
14,1,1,0,MUT_AGENT/logit
15,1,1,1,MUT_AGENT/logit
16,1,1,0,MUT_AGENT/logit
17,1,0,0,MUT_AGENT/logit
18,1,0,0,MUT_AGENT/logit
19,1,0,0,MUT_AGENT/logit
20,1,1,1,MUT_AGENT/logit
21,1,1,1,MUT_AGENT/logit
22,1,1,0,MUT_AGENT/logit
23,1,1,1,MUT_AGENT/logit
24,1,1,1,MUT_AGENT/logit
25,1,1,0,MUT_AGENT/logit
26,1,1,0,MUT_AGENT/logit
27,1,1,0,MUT_AGENT/logit
28,1,0,0,MUT_AGENT/logit
29,1,1,0,MUT_AGENT/logit
30,1,1,1,MUT_AGENT/logit
31,1,1,1,MUT_AGENT/logit
32,1,0,0,MUT_AGENT/logit
