idx,steps,failure,illegal,profile
0,1,1,1,MUT_AGENT/softmax
1,1,0,0,MUT_AGENT/softmax
2,1,0,0,MUT_AGENT/softmax
3,1,0,0,MUT_AGENT/softmax
4,1,0,0,MUT_AGENT/softmax
5,1,0,0,MUT_AGENT/softmax
6,1,1,1,MUT_AGENT/softmax
7,1,1,1,MUT_AGENT/softmax
8,1,0,0,MUT_AGENT/softmax
9,1,1,0,MUT_AGENT/softmax
10,1,1,1,MUT_AGENT/softmax
11,1,0,0,MUT_AGENT/softmax
12,1,1,0,MUT_AGENT/softmax
13,1,0,0,MUT_AGENT/softmax
14,1,0,0,MUT_AGENT/softmax
15,1,0,0,MUT_AGENT/softmax
16,1,1,0,MUT_AGENT/softmax
17,1,0,0,MUT_AGENT/softmax
18,1,1,1,MUT_AGENT/softmax
19,1,1,0,MUT_AGENT/softmax
20,1,0,0,MUT_AGENT/softmax
21,1,1,1,MUT_AGENT/softmax
22,1,0,0,MUT_AGENT/softmax
23,1,1,1,MUT_AGENT/softmax
24,1,1,1,MUT_AGENT/softmax
25,1,0,0,MUT_AGENT/softmax
26,1,1,1,MUT_AGENT/softmax
27,1,0,0,MUT_AGENT/softmax
28,1,1,0,MUT_AGENT/softmax
29,1,1,0,MUT_AGENT/softmax
30,1,0,0,MUT_AGENT/softmax
31,1,0,0,MUT_AGENT/softmax
32,1,1,0,MUT_AGENT/softmax
