idx,return,steps,failure,wall_dt
0,1.0,14,0,0.002194475000010243
1,1.0,16,0,0.004297324000020808
2,1.0,14,0,0.0055791050000095765
3,1.0,17,1,0.006928333000018938
4,1.0,14,0,0.008089863000009245
5,1.0,16,0,0.009626607000001286
6,1.0,14,0,0.01076775399999974
7,0.0,10,1,0.012103045000003476
8,0.0,7,1,0.013938119000016513
9,1.0,15,0,0.0154973570000152
10,1.0,16,0,0.016829596000007996
11,0.0,8,1,0.018257306999998946
12,1.0,15,0,0.01991910600000324
13,1.0,14,0,0.021936111000002256
14,1.0,14,0,0.023527450000017325
15,1.0,14,0,0.025101001000024326
16,1.0,15,0,0.02657924400000411
17,1.0,14,0,0.02781143000001407
18,1.0,14,0,0.028988746000010224
19,1.0,14,0,0.03021983900001146
20,1.0,14,0,0.03137355700002331
21,1.0,16,0,0.03261333500000774
22,0.0,7,1,0.03378150800000412
23,1.0,14,0,0.034922866000016484
24,1.0,14,0,0.03604064400002471
25,1.0,15,0,0.037279768000018976
26,1.0,16,0,0.03850688900001842
27,1.0,14,0,0.03962289500000793
28,1.0,14,0,0.04077739100000599
29,1.0,14,0,0.041893635999997514
30,1.0,14,0,0.04304201300001864
31,1.0,14,0,0.044241679000009526
32,1.0,15,0,0.04546557400001916
33,1.0,17,1,0.04671765500000902
34,1.0,16,0,0.047948645000019496
35,1.0,14,0,0.0490652109999985
36,1.0,14,0,0.050276500000023816
37,1.0,14,0,0.051385121000009804
38,1.0,14,0,0.05249175200000877
39,1.0,14,0,0.0535888400000033
40,1.0,16,0,0.054827956000025324
41,1.0,14,0,0.05594714900001918
42,1.0,16,0,0.057184196999997994
43,1.0,14,0,0.0582910980000122
44,1.0,16,0,0.05950856700002305
45,1.0,16,0,0.060740084000002525
46,1.0,15,0,0.06195001800000455
47,1.0,14,0,0.0630660740000053
48,1.0,14,0,0.06417791000001216
49,1.0,14,0,0.06527100700000688
50,1.0,16,0,0.06652871400001459
51,1.0,17,1,0.0678031180000005
52,1.0,14,0,0.06932133899999826
53,1.0,14,0,0.07050282600002333
54,1.0,14,0,0.07166434700002355
55,1.0,14,0,0.0729542310000113
56,1.0,14,0,0.07411347600000795
57,1.0,14,0,0.07523566900002265
58,1.0,14,0,0.0764069620000214
59,0.0,14,1,0.07760187000002361
60,1.0,14,0,0.07882928200001516
61,0.0,7,1,0.0799482940000189
62,1.0,14,0,0.08119353100002513
63,1.0,14,0,0.08231645600000093
64,1.0,16,0,0.08350919600002271
65,1.0,14,0,0.08461069700001644
66,1.0,16,0,0.08582192100001862
67,1.0,14,0,0.08695553100000097
68,1.0,16,0,0.08816802900000198
69,1.0,18,1,0.08940898800000241
70,1.0,16,0,0.09064379900001995
71,1.0,15,0,0.09190308000000869
72,1.0,14,0,0.09301021900000706
73,1.0,14,0,0.09411067199999934
74,1.0,14,0,0.09521485999999868
75,1.0,16,0,0.0964236220000032
76,1.0,14,0,0.09761476600002084
77,1.0,14,0,0.09880417900001248
78,1.0,14,0,0.10000185000001238
79,1.0,17,1,0.10123161300001016
80,1.0,14,0,0.1023442260000138
81,1.0,14,0,0.10343658400000777
82,1.0,18,1,0.104668007000015
83,1.0,14,0,0.10578776400001288
84,1.0,16,0,0.10704076500002202
85,1.0,16,0,0.10826892700001167
86,1.0,14,0,0.1094061500000123
87,1.0,14,0,0.11051335600001266
88,1.0,14,0,0.1116183030000002
89,1.0,16,0,0.11329355700001997
90,1.0,14,0,0.1144777210000143
91,1.0,14,0,0.1156222820000039
92,1.0,14,0,0.11701255600002014
93,1.0,14,0,0.11817645900001139
94,0.0,12,1,0.11945756600002255
95,1.0,14,0,0.12088650500001563
96,1.0,14,0,0.12207313800001884
97,1.0,14,0,0.12320633500002032
98,1.0,14,0,0.12435455600001433
99,1.0,14,0,0.12554243200000315
100,1.0,14,0,0.12670373200000995
101,1.0,15,0,0.12795040000000313
102,1.0,14,0,0.12915640700001063
103,1.0,14,0,0.13033819900002186
104,1.0,14,0,0.13147267400000828
105,1.0,14,0,0.13262564300001145
106,1.0,14,0,0.13376254600001403
107,1.0,14,0,0.1348815160000072
108,1.0,14,0,0.13657029700002
109,1.0,14,0,0.13795989100000838
110,1.0,14,0,0.13907911500001546
111,0.0,11,1,0.14033268300002533
112,1.0,14,0,0.14149661700000138
113,1.0,14,0,0.1426152970000203
114,1.0,14,0,0.1437098350000099
115,1.0,14,0,0.14482065600000738
116,0.0,9,1,0.14595614400002432
117,1.0,16,0,0.14725878600000897
118,1.0,14,0,0.14843572899999913
119,1.0,16,0,0.14965172200001575
120,1.0,14,0,0.1508616720000191
121,1.0,14,0,0.15197686199999794
122,1.0,14,0,0.1530819190000159
123,1.0,14,0,0.1541850570000065
124,1.0,14,0,0.15527986100002522
125,1.0,14,0,0.15638832100000855
