failure,steps
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
