framework,FR,APFD,APFD_time,TTF_tests,TTF_seconds,total_seconds,budget,raw_path
AdaStop,0.0006666666666666666,0.0003333333333333333,,1500.0,0.0,0.0,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/AdaStop_episodes.csv
F-Oracle,0.0006666666666666666,0.967,,50.0,0.0,0.0,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/F-Oracle_episodes.csv
CUSUM-RL,,,,,,,0,
DLBT,0.0,0.0003333333333333333,,1500.0,0.6085855960845947,0.6085855960845947,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/DLBT_episodes.csv
MDPMorph,,,,,,,0,
QD-Testing,0.0,0.0003333333333333333,,1500.0,0.7465701103210449,0.7465701103210449,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/QD-Testing_episodes.csv
STARLA,0.0,0.0003333333333333333,,1500.0,0.6729848384857178,0.6729848384857178,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/STARLA_episodes.csv
Indago,0.0,0.0003333333333333333,,1500.0,0.8177080154418945,0.8177080154418945,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/Indago_episodes.csv
AlphaTest,0.0,0.0003333333333333333,,1500.0,0.97774338722229,0.97774338722229,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/AlphaTest_episodes.csv
NR-RL,0.3526666666666667,0.49140831758034026,0.48269458538647125,2.0,0.002147674560546875,0.6832098960876465,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/NR-RL_episodes.csv
SBF,0.6653333333333333,0.4988830995323981,0.47703981959941266,1.0,0.0008141994476318359,0.6590549945831299,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/SBF_episodes.csv
MDPFuzz,0.49666666666666665,0.4990626398210291,0.4785743996597083,5.0,0.003664255142211914,0.7531218528747559,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/MDPFuzz_episodes.csv
pi-Fuzz,0.32,0.5013013888888889,0.4890258267582834,1.0,0.0010366439819335938,0.6491644382476807,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/pi-Fuzz_episodes.csv
GMBT,0.42733333333333334,0.4988502340093604,0.5089303132795987,1.0,0.0009067058563232422,0.6221370697021484,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/GMBT_episodes.csv
CureFuzz,0.626,0.504667021654242,0.48321002807514535,1.0,0.001363515853881836,0.6408288478851318,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/CureFuzz_episodes.csv
RLMutation,0.0,0.0003333333333333333,,1500.0,0.6694715023040771,0.6694715023040771,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/RLMutation_episodes.csv
FS,0.0,0.0003333333333333333,,1500.0,0.6853983402252197,0.6853983402252197,1500,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/froznlake/raw_single/FS_episodes.csv
μPRL,,,,,,,0,
