return,steps,failure,wall_dt
-118.35031716594122,200,0,8.052702188491821
-124.58133749133921,200,0,8.052010297775269
-499.8604944488325,200,1,8.035017490386963
-409.6979656073717,200,1,8.040578842163086
-125.07476370980268,200,0,8.072163343429565
-242.22380355962468,200,0,8.07184624671936
-0.3749236564546491,200,0,8.068366527557373
-236.04648850057805,200,0,8.045241594314575
-119.49667163830071,200,0,8.065549850463867
-521.310502252916,200,1,7.9825897216796875
-125.05183278249172,200,0,8.071542263031006
-0.2126175588578976,200,0,8.062927722930908
-364.9953108499595,200,1,8.017002582550049
-238.20532892755588,200,0,8.093484878540039
-363.6942590145892,200,1,8.095406293869019
-117.49175528357566,200,0,7.968487739562988
-474.7540339590106,200,1,8.013121604919434
-0.4035368955933445,200,0,8.058395147323608
-370.24812186025156,200,1,7.975966215133667
-126.34632426637582,200,0,8.033043146133423
-124.9271457472748,200,0,8.067997694015503
-237.8613159095539,200,0,8.02212405204773
-0.5492374711081858,200,0,7.99574875831604
-121.13269833829662,200,0,8.047276020050049
-123.78895873623621,200,0,7.975642681121826
-464.82318522206043,200,1,8.004131555557251
-247.22977936630915,200,0,8.04914665222168
-125.19838990508629,200,0,7.9645044803619385
-123.15243692365664,200,0,7.986752033233643
-375.65238468414447,200,1,8.004143238067627
-0.4045217519423478,200,0,7.9577391147613525
-345.7659263142879,200,1,7.977742910385132
-504.2950051949687,200,1,8.004953622817993
-498.77447257999887,200,1,7.9910948276519775
-0.5083163415598816,200,0,7.959373474121094
-239.8957431660302,200,0,8.003382444381714
-0.16722476769856245,200,0,7.9949095249176025
-456.39716426282104,200,1,7.9645469188690186
-120.3240812572395,200,0,7.9478936195373535
-233.14550672645447,200,0,7.930178642272949
-124.16652813496268,200,0,8.021492719650269
-124.90108829665907,200,0,8.013168334960938
-0.16320422499226814,200,0,7.9516167640686035
-125.73339805967893,200,0,8.017197847366333
-244.3129938534637,200,0,8.009605884552002
-126.47630031531845,200,0,7.979613780975342
-125.5986528687474,200,0,7.986463785171509
-502.167075010418,200,1,7.957744359970093
-117.6183789941377,200,0,8.009026527404785
-120.51633376660696,200,0,8.04473614692688
-123.89040971284541,200,0,8.012332677841187
-368.6533952573498,200,1,8.0352623462677
-482.41637147739584,200,1,8.060271263122559
-119.41749466671422,200,0,7.950131416320801
-121.51485204979858,200,0,8.084332704544067
-358.6217328362809,200,1,8.115494012832642
-507.1116053148684,200,1,8.101462602615356
-126.00901214888384,200,0,8.023900270462036
-0.4497867270324354,200,0,8.123864889144897
-122.11387619036415,200,0,8.143356561660767
-473.4539927393422,200,1,8.01400899887085
-121.12920497550127,200,0,8.046676874160767
-235.87164247379158,200,0,7.9869325160980225
-245.82244547251577,200,0,8.013916015625
-232.98021184248165,200,0,8.082370281219482
-236.84156728844738,200,0,8.08843469619751
-495.188688342562,200,1,8.055402040481567
-472.0602892581695,200,1,8.054580211639404
-427.03036630924015,200,1,8.062475442886353
-124.04032031879603,200,0,8.030433177947998
-0.29524748619127744,200,0,8.097790002822876
-360.0250504037601,200,1,8.03580927848816
-363.69853999402125,200,1,8.057940244674683
-249.50260747846775,200,0,8.011890649795532
-472.180826023414,200,1,8.109504222869873
-117.7714096248112,200,0,8.002785205841064
-124.29505243772091,200,0,7.974209785461426
-366.7136471271889,200,1,8.065159797668457
-118.5923962705403,200,0,8.069584608078003
-118.8290650151795,200,0,8.08201265335083
