idx,return,steps,failure
0,14.0,7,False
1,9.0,12,False
2,7.0,14,False
3,7.0,14,False
4,8.0,13,False
5,7.0,14,False
6,10.0,11,False
7,8.0,13,False
8,8.0,13,False
9,7.0,14,False
10,7.0,14,False
11,9.0,12,False
12,6.0,15,False
13,5.0,16,False
14,11.0,10,False
15,10.0,11,False
16,7.0,14,False
17,13.0,8,False
18,11.0,10,False
19,12.0,9,False
20,6.0,15,False
21,5.0,16,False
22,4.0,17,False
23,9.0,12,False
24,6.0,15,False
25,10.0,11,False
26,6.0,15,False
27,13.0,8,False
28,7.0,14,False
29,4.0,17,False
30,5.0,16,False
31,8.0,13,False
32,7.0,14,False
33,10.0,11,False
34,10.0,11,False
35,6.0,15,False
36,5.0,16,False
37,10.0,11,False
38,4.0,17,False
39,4.0,17,False
40,5.0,16,False
41,11.0,10,False
42,11.0,10,False
43,6.0,15,False
44,8.0,13,False
45,5.0,16,False
46,15.0,6,False
47,7.0,14,False
48,9.0,12,False
49,9.0,12,False
50,9.0,12,False
51,9.0,12,False
52,4.0,17,False
53,5.0,16,False
54,9.0,12,False
55,9.0,12,False
56,9.0,12,False
57,6.0,15,False
58,5.0,16,False
59,7.0,14,False
60,14.0,7,False
61,8.0,13,False
62,7.0,14,False
63,9.0,12,False
64,8.0,13,False
65,5.0,16,False
66,6.0,15,False
67,7.0,14,False
68,8.0,13,False
69,11.0,10,False
70,10.0,11,False
71,6.0,15,False
72,5.0,16,False
73,13.0,8,False
74,9.0,12,False
75,6.0,15,False
76,5.0,16,False
77,7.0,14,False
78,11.0,10,False
79,11.0,10,False
80,10.0,11,False
81,7.0,14,False
82,8.0,13,False
83,7.0,14,False
84,7.0,14,False
85,14.0,7,False
86,10.0,11,False
87,11.0,10,False
88,8.0,13,False
89,5.0,16,False
90,7.0,14,False
91,12.0,9,False
92,6.0,15,False
93,10.0,11,False
94,7.0,14,False
95,4.0,17,False
96,7.0,14,False
97,5.0,16,False
98,6.0,15,False
99,5.0,16,False
100,8.0,13,False
101,5.0,16,False
102,5.0,16,False
103,9.0,12,False
104,4.0,17,False
105,11.0,10,False
106,10.0,11,False
107,5.0,16,False
108,7.0,14,False
109,11.0,10,False
110,5.0,16,False
111,8.0,13,False
112,10.0,11,False
113,12.0,9,False
114,5.0,16,False
115,11.0,10,False
116,11.0,10,False
117,11.0,10,False
118,13.0,8,False
119,8.0,13,False
120,3.0,18,False
121,4.0,17,False
122,8.0,13,False
123,9.0,12,False
124,8.0,13,False
125,13.0,8,False
126,10.0,11,False
127,5.0,16,False
128,7.0,14,False
129,12.0,9,False
130,8.0,13,False
131,9.0,12,False
132,11.0,10,False
133,11.0,10,False
134,6.0,15,False
135,15.0,6,False
136,11.0,10,False
137,15.0,6,False
138,6.0,15,False
139,8.0,13,False
140,13.0,8,False
141,6.0,15,False
142,3.0,18,False
143,8.0,13,False
144,10.0,11,False
145,8.0,13,False
146,13.0,8,False
147,6.0,15,False
148,6.0,15,False
149,8.0,13,False
150,12.0,9,False
151,8.0,13,False
152,9.0,12,False
153,6.0,15,False
154,7.0,14,False
155,9.0,12,False
156,7.0,14,False
157,10.0,11,False
158,9.0,12,False
159,7.0,14,False
160,5.0,16,False
161,12.0,9,False
162,5.0,16,False
163,6.0,15,False
164,11.0,10,False
165,12.0,9,False
166,7.0,14,False
167,9.0,12,False
168,8.0,13,False
169,14.0,7,False
170,10.0,11,False
171,7.0,14,False
172,6.0,15,False
173,9.0,12,False
174,9.0,12,False
175,3.0,18,False
176,10.0,11,False
177,8.0,13,False
178,5.0,16,False
179,7.0,14,False
180,6.0,15,False
181,5.0,16,False
182,11.0,10,False
183,8.0,13,False
184,11.0,10,False
185,8.0,13,False
186,7.0,14,False
187,7.0,14,False
188,9.0,12,False
189,6.0,15,False
190,7.0,14,False
191,11.0,10,False
192,10.0,11,False
193,9.0,12,False
194,11.0,10,False
195,11.0,10,False
196,8.0,13,False
197,11.0,10,False
198,4.0,17,False
199,4.0,17,False
200,8.0,13,False
201,7.0,14,False
202,5.0,16,False
203,10.0,11,False
204,6.0,15,False
205,10.0,11,False
206,15.0,6,False
207,13.0,8,False
208,6.0,15,False
209,9.0,12,False
210,10.0,11,False
211,8.0,13,False
212,8.0,13,False
213,12.0,9,False
214,9.0,12,False
215,8.0,13,False
216,6.0,15,False
217,8.0,13,False
218,9.0,12,False
219,7.0,14,False
220,6.0,15,False
221,7.0,14,False
222,6.0,15,False
223,4.0,17,False
224,5.0,16,False
225,9.0,12,False
226,6.0,15,False
227,6.0,15,False
228,6.0,15,False
229,8.0,13,False
230,6.0,15,False
231,10.0,11,False
232,8.0,13,False
233,14.0,7,False
234,9.0,12,False
235,4.0,17,False
236,9.0,12,False
237,5.0,16,False
238,11.0,10,False
239,5.0,16,False
240,9.0,12,False
241,8.0,13,False
242,4.0,17,False
243,4.0,17,False
244,7.0,14,False
245,4.0,17,False
246,10.0,11,False
247,14.0,7,False
248,10.0,11,False
249,7.0,14,False
250,7.0,14,False
251,7.0,14,False
252,11.0,10,False
253,10.0,11,False
254,10.0,11,False
255,8.0,13,False
256,6.0,15,False
257,6.0,15,False
258,10.0,11,False
259,6.0,15,False
260,4.0,17,False
261,8.0,13,False
262,10.0,11,False
263,5.0,16,False
264,12.0,9,False
265,11.0,10,False
266,7.0,14,False
267,7.0,14,False
268,11.0,10,False
269,10.0,11,False
270,11.0,10,False
271,13.0,8,False
272,7.0,14,False
273,10.0,11,False
274,6.0,15,False
275,11.0,10,False
276,10.0,11,False
277,5.0,16,False
278,5.0,16,False
279,5.0,16,False
280,11.0,10,False
281,8.0,13,False
282,9.0,12,False
283,9.0,12,False
284,8.0,13,False
285,6.0,15,False
286,13.0,8,False
287,10.0,11,False
288,11.0,10,False
289,11.0,10,False
290,6.0,15,False
291,7.0,14,False
292,9.0,12,False
293,11.0,10,False
294,11.0,10,False
295,5.0,16,False
296,5.0,16,False
297,10.0,11,False
298,9.0,12,False
299,3.0,18,False
300,5.0,16,False
301,6.0,15,False
302,9.0,12,False
303,9.0,12,False
304,14.0,7,False
305,7.0,14,False
306,7.0,14,False
307,7.0,14,False
308,7.0,14,False
309,15.0,6,False
310,7.0,14,False
311,12.0,9,False
312,10.0,11,False
313,5.0,16,False
314,5.0,16,False
315,8.0,13,False
316,7.0,14,False
317,9.0,12,False
318,7.0,14,False
319,5.0,16,False
320,6.0,15,False
321,9.0,12,False
322,10.0,11,False
323,7.0,14,False
324,11.0,10,False
325,8.0,13,False
326,6.0,15,False
327,10.0,11,False
328,10.0,11,False
329,4.0,17,False
330,8.0,13,False
331,8.0,13,False
332,7.0,14,False
333,3.0,18,False
334,3.0,18,False
335,10.0,11,False
336,7.0,14,False
337,9.0,12,False
338,5.0,16,False
339,4.0,17,False
340,10.0,11,False
341,6.0,15,False
342,11.0,10,False
343,9.0,12,False
344,8.0,13,False
345,5.0,16,False
346,6.0,15,False
347,10.0,11,False
348,5.0,16,False
349,10.0,11,False
350,9.0,12,False
351,8.0,13,False
352,9.0,12,False
353,5.0,16,False
354,5.0,16,False
355,14.0,7,False
356,9.0,12,False
357,9.0,12,False
358,9.0,12,False
359,11.0,10,False
360,7.0,14,False
361,5.0,16,False
362,7.0,14,False
363,4.0,17,False
364,11.0,10,False
365,11.0,10,False
366,12.0,9,False
367,7.0,14,False
368,6.0,15,False
369,10.0,11,False
370,13.0,8,False
371,4.0,17,False
372,3.0,18,False
373,7.0,14,False
374,12.0,9,False
375,13.0,8,False
376,11.0,10,False
377,10.0,11,False
