idx,return,steps,failure
0,8.0,13,False
1,8.0,13,False
2,13.0,8,False
3,9.0,12,False
4,8.0,13,False
5,11.0,10,False
6,4.0,17,False
7,5.0,16,False
8,7.0,14,False
9,7.0,14,False
10,8.0,13,False
11,9.0,12,False
12,5.0,16,False
13,8.0,13,False
14,6.0,15,False
15,10.0,11,False
16,10.0,11,False
17,5.0,16,False
18,13.0,8,False
19,5.0,16,False
20,7.0,14,False
21,9.0,12,False
22,6.0,15,False
23,8.0,13,False
24,7.0,14,False
25,7.0,14,False
26,5.0,16,False
27,9.0,12,False
28,9.0,12,False
29,11.0,10,False
30,8.0,13,False
31,7.0,14,False
32,7.0,14,False
33,7.0,14,False
34,13.0,8,False
35,9.0,12,False
36,9.0,12,False
37,11.0,10,False
38,3.0,18,False
39,8.0,13,False
40,9.0,12,False
41,8.0,13,False
42,6.0,15,False
43,8.0,13,False
44,7.0,14,False
45,9.0,12,False
46,8.0,13,False
47,8.0,13,False
48,10.0,11,False
49,8.0,13,False
50,10.0,11,False
51,6.0,15,False
52,9.0,12,False
53,6.0,15,False
54,7.0,14,False
55,5.0,16,False
56,9.0,12,False
57,4.0,17,False
58,4.0,17,False
59,10.0,11,False
60,7.0,14,False
61,8.0,13,False
62,11.0,10,False
63,3.0,18,False
64,13.0,8,False
65,6.0,15,False
66,6.0,15,False
67,13.0,8,False
68,10.0,11,False
69,8.0,13,False
70,7.0,14,False
71,4.0,17,False
72,9.0,12,False
73,12.0,9,False
74,8.0,13,False
75,12.0,9,False
76,10.0,11,False
77,10.0,11,False
78,11.0,10,False
79,9.0,12,False
80,7.0,14,False
81,10.0,11,False
82,7.0,14,False
83,7.0,14,False
84,5.0,16,False
85,10.0,11,False
86,11.0,10,False
87,12.0,9,False
88,7.0,14,False
89,9.0,12,False
90,7.0,14,False
91,5.0,16,False
92,8.0,13,False
93,3.0,18,False
94,4.0,17,False
95,12.0,9,False
96,10.0,11,False
97,6.0,15,False
98,5.0,16,False
99,3.0,18,False
100,11.0,10,False
101,5.0,16,False
102,11.0,10,False
103,9.0,12,False
104,11.0,10,False
105,8.0,13,False
106,9.0,12,False
107,12.0,9,False
108,7.0,14,False
109,8.0,13,False
110,10.0,11,False
111,8.0,13,False
112,14.0,7,False
113,6.0,15,False
114,11.0,10,False
115,7.0,14,False
116,8.0,13,False
117,13.0,8,False
118,6.0,15,False
119,6.0,15,False
120,3.0,18,False
121,9.0,12,False
122,12.0,9,False
123,12.0,9,False
124,9.0,12,False
125,7.0,14,False
126,7.0,14,False
127,5.0,16,False
128,8.0,13,False
129,10.0,11,False
130,5.0,16,False
131,8.0,13,False
132,7.0,14,False
133,7.0,14,False
134,8.0,13,False
135,10.0,11,False
136,8.0,13,False
137,7.0,14,False
138,8.0,13,False
139,4.0,17,False
140,5.0,16,False
141,9.0,12,False
142,7.0,14,False
143,12.0,9,False
144,12.0,9,False
145,10.0,11,False
146,8.0,13,False
147,13.0,8,False
148,6.0,15,False
149,7.0,14,False
150,5.0,16,False
151,11.0,10,False
152,10.0,11,False
153,6.0,15,False
154,6.0,15,False
155,6.0,15,False
156,8.0,13,False
157,8.0,13,False
158,3.0,18,False
159,6.0,15,False
160,11.0,10,False
161,6.0,15,False
162,7.0,14,False
163,7.0,14,False
164,13.0,8,False
165,9.0,12,False
166,10.0,11,False
167,5.0,16,False
168,6.0,15,False
169,10.0,11,False
170,7.0,14,False
171,5.0,16,False
172,7.0,14,False
173,9.0,12,False
174,11.0,10,False
175,10.0,11,False
176,7.0,14,False
177,7.0,14,False
178,11.0,10,False
179,10.0,11,False
180,7.0,14,False
181,9.0,12,False
182,7.0,14,False
183,9.0,12,False
184,5.0,16,False
185,7.0,14,False
186,12.0,9,False
187,4.0,17,False
188,7.0,14,False
189,8.0,13,False
190,12.0,9,False
191,6.0,15,False
192,7.0,14,False
193,9.0,12,False
194,7.0,14,False
195,13.0,8,False
196,6.0,15,False
197,6.0,15,False
198,6.0,15,False
199,14.0,7,False
200,12.0,9,False
201,5.0,16,False
202,7.0,14,False
203,7.0,14,False
204,4.0,17,False
205,9.0,12,False
206,8.0,13,False
207,7.0,14,False
208,6.0,15,False
209,8.0,13,False
210,8.0,13,False
211,9.0,12,False
212,4.0,17,False
213,6.0,15,False
214,10.0,11,False
215,11.0,10,False
216,6.0,15,False
217,7.0,14,False
218,9.0,12,False
