idx,return,steps,failure
0,10.0,11,False
1,8.0,13,False
2,8.0,13,False
3,7.0,14,False
4,10.0,11,False
5,5.0,16,False
6,9.0,12,False
7,6.0,15,False
8,6.0,15,False
9,4.0,17,False
10,7.0,14,False
11,9.0,12,False
12,4.0,17,False
13,8.0,13,False
14,10.0,11,False
15,8.0,13,False
16,10.0,11,False
17,4.0,17,False
18,15.0,6,False
19,6.0,15,False
20,5.0,16,False
21,12.0,9,False
22,8.0,13,False
23,8.0,13,False
24,7.0,14,False
25,5.0,16,False
26,11.0,10,False
27,10.0,11,False
28,5.0,16,False
29,11.0,10,False
30,6.0,15,False
31,7.0,14,False
32,6.0,15,False
33,8.0,13,False
34,4.0,17,False
35,12.0,9,False
36,6.0,15,False
37,7.0,14,False
38,11.0,10,False
39,8.0,13,False
40,7.0,14,False
41,7.0,14,False
42,7.0,14,False
43,7.0,14,False
44,9.0,12,False
45,6.0,15,False
46,5.0,16,False
47,10.0,11,False
48,7.0,14,False
49,6.0,15,False
50,6.0,15,False
51,11.0,10,False
52,5.0,16,False
53,5.0,16,False
54,8.0,13,False
55,8.0,13,False
56,5.0,16,False
57,4.0,17,False
58,5.0,16,False
59,9.0,12,False
60,5.0,16,False
61,8.0,13,False
62,7.0,14,False
63,7.0,14,False
64,13.0,8,False
65,8.0,13,False
66,12.0,9,False
67,9.0,12,False
68,6.0,15,False
69,5.0,16,False
70,10.0,11,False
71,8.0,13,False
72,7.0,14,False
73,6.0,15,False
74,8.0,13,False
75,5.0,16,False
76,6.0,15,False
77,7.0,14,False
78,12.0,9,False
79,4.0,17,False
80,7.0,14,False
81,12.0,9,False
82,12.0,9,False
83,8.0,13,False
84,7.0,14,False
85,8.0,13,False
86,8.0,13,False
87,14.0,7,False
88,9.0,12,False
89,11.0,10,False
90,4.0,17,False
91,11.0,10,False
92,9.0,12,False
93,7.0,14,False
94,11.0,10,False
95,8.0,13,False
96,6.0,15,False
97,11.0,10,False
98,3.0,18,False
99,8.0,13,False
100,5.0,16,False
101,7.0,14,False
102,11.0,10,False
103,9.0,12,False
104,11.0,10,False
105,10.0,11,False
106,8.0,13,False
107,7.0,14,False
108,8.0,13,False
109,5.0,16,False
110,10.0,11,False
111,7.0,14,False
112,14.0,7,False
113,8.0,13,False
114,6.0,15,False
115,11.0,10,False
116,8.0,13,False
117,6.0,15,False
118,7.0,14,False
119,7.0,14,False
120,8.0,13,False
121,4.0,17,False
122,10.0,11,False
123,8.0,13,False
124,8.0,13,False
125,5.0,16,False
126,8.0,13,False
127,8.0,13,False
128,6.0,15,False
129,4.0,17,False
130,7.0,14,False
131,8.0,13,False
132,6.0,15,False
133,8.0,13,False
134,5.0,16,False
135,4.0,17,False
136,7.0,14,False
137,8.0,13,False
138,13.0,8,False
139,9.0,12,False
140,3.0,18,False
141,8.0,13,False
142,5.0,16,False
143,12.0,9,False
144,5.0,16,False
145,8.0,13,False
146,7.0,14,False
147,8.0,13,False
148,4.0,17,False
149,7.0,14,False
150,7.0,14,False
151,4.0,17,False
152,10.0,11,False
153,5.0,16,False
154,8.0,13,False
155,10.0,11,False
156,8.0,13,False
157,8.0,13,False
158,9.0,12,False
159,9.0,12,False
160,8.0,13,False
161,3.0,18,False
162,8.0,13,False
163,10.0,11,False
164,9.0,12,False
165,8.0,13,False
166,5.0,16,False
167,9.0,12,False
168,14.0,7,False
169,9.0,12,False
170,9.0,12,False
171,5.0,16,False
172,6.0,15,False
173,3.0,18,False
174,5.0,16,False
175,14.0,7,False
176,9.0,12,False
177,15.0,6,False
178,7.0,14,False
179,15.0,6,False
180,7.0,14,False
181,4.0,17,False
182,6.0,15,False
183,4.0,17,False
184,11.0,10,False
185,7.0,14,False
186,10.0,11,False
187,6.0,15,False
188,6.0,15,False
189,6.0,15,False
190,7.0,14,False
191,10.0,11,False
192,4.0,17,False
193,10.0,11,False
194,8.0,13,False
195,6.0,15,False
196,7.0,14,False
197,6.0,15,False
198,8.0,13,False
199,14.0,7,False
200,6.0,15,False
201,4.0,17,False
202,6.0,15,False
203,4.0,17,False
204,9.0,12,False
205,11.0,10,False
206,10.0,11,False
207,4.0,17,False
208,3.0,18,False
209,7.0,14,False
210,6.0,15,False
211,5.0,16,False
212,10.0,11,False
213,13.0,8,False
214,6.0,15,False
215,13.0,8,False
216,10.0,11,False
217,10.0,11,False
218,6.0,15,False
219,5.0,16,False
220,7.0,14,False
221,6.0,15,False
222,4.0,17,False
223,11.0,10,False
224,4.0,17,False
225,6.0,15,False
226,6.0,15,False
227,5.0,16,False
228,9.0,12,False
229,6.0,15,False
230,8.0,13,False
231,5.0,16,False
232,11.0,10,False
233,9.0,12,False
234,7.0,14,False
235,6.0,15,False
236,10.0,11,False
237,6.0,15,False
238,8.0,13,False
239,7.0,14,False
240,4.0,17,False
241,7.0,14,False
242,5.0,16,False
243,11.0,10,False
244,6.0,15,False
245,4.0,17,False
246,11.0,10,False
247,8.0,13,False
248,9.0,12,False
249,9.0,12,False
250,5.0,16,False
251,7.0,14,False
252,6.0,15,False
253,10.0,11,False
254,12.0,9,False
255,8.0,13,False
256,7.0,14,False
257,7.0,14,False
258,9.0,12,False
259,7.0,14,False
260,6.0,15,False
261,5.0,16,False
262,7.0,14,False
263,11.0,10,False
264,7.0,14,False
265,7.0,14,False
266,14.0,7,False
267,14.0,7,False
268,10.0,11,False
269,13.0,8,False
270,11.0,10,False
271,6.0,15,False
272,5.0,16,False
273,8.0,13,False
274,6.0,15,False
275,10.0,11,False
276,7.0,14,False
277,10.0,11,False
278,5.0,16,False
279,8.0,13,False
280,9.0,12,False
281,7.0,14,False
282,7.0,14,False
283,3.0,18,False
284,6.0,15,False
285,9.0,12,False
286,7.0,14,False
287,5.0,16,False
288,6.0,15,False
289,7.0,14,False
290,5.0,16,False
291,8.0,13,False
292,4.0,17,False
293,3.0,18,False
294,4.0,17,False
295,12.0,9,False
296,12.0,9,False
297,5.0,16,False
298,9.0,12,False
299,13.0,8,False
300,10.0,11,False
301,7.0,14,False
302,7.0,14,False
303,10.0,11,False
304,11.0,10,False
305,11.0,10,False
306,10.0,11,False
307,4.0,17,False
308,12.0,9,False
309,5.0,16,False
310,8.0,13,False
311,8.0,13,False
312,7.0,14,False
313,9.0,12,False
314,9.0,12,False
315,7.0,14,False
316,3.0,18,False
317,10.0,11,False
318,11.0,10,False
319,12.0,9,False
320,10.0,11,False
321,12.0,9,False
322,9.0,12,False
323,4.0,17,False
324,9.0,12,False
325,6.0,15,False
326,8.0,13,False
327,7.0,14,False
328,9.0,12,False
329,7.0,14,False
330,9.0,12,False
331,8.0,13,False
332,7.0,14,False
333,6.0,15,False
334,7.0,14,False
335,9.0,12,False
336,11.0,10,False
337,10.0,11,False
338,4.0,17,False
339,4.0,17,False
340,11.0,10,False
341,9.0,12,False
342,5.0,16,False
343,6.0,15,False
344,10.0,11,False
345,8.0,13,False
346,9.0,12,False
347,6.0,15,False
348,12.0,9,False
349,5.0,16,False
350,8.0,13,False
351,8.0,13,False
352,10.0,11,False
353,11.0,10,False
354,12.0,9,False
355,10.0,11,False
356,9.0,12,False
357,7.0,14,False
358,8.0,13,False
359,5.0,16,False
360,11.0,10,False
361,12.0,9,False
362,7.0,14,False
363,9.0,12,False
364,7.0,14,False
365,8.0,13,False
366,7.0,14,False
367,6.0,15,False
368,7.0,14,False
369,11.0,10,False
370,5.0,16,False
371,9.0,12,False
372,9.0,12,False
373,10.0,11,False
374,10.0,11,False
375,3.0,18,False
376,7.0,14,False
377,9.0,12,False
378,3.0,18,False
379,5.0,16,False
380,7.0,14,False
381,12.0,9,False
382,5.0,16,False
383,11.0,10,False
384,10.0,11,False
385,12.0,9,False
386,11.0,10,False
387,9.0,12,False
388,10.0,11,False
389,8.0,13,False
390,4.0,17,False
391,8.0,13,False
392,3.0,18,False
393,12.0,9,False
394,5.0,16,False
395,7.0,14,False
396,8.0,13,False
397,8.0,13,False
398,3.0,18,False
399,8.0,13,False
400,8.0,13,False
401,9.0,12,False
402,7.0,14,False
403,15.0,6,False
404,10.0,11,False
405,7.0,14,False
406,6.0,15,False
407,8.0,13,False
408,13.0,8,False
409,7.0,14,False
410,9.0,12,False
411,7.0,14,False
412,11.0,10,False
413,4.0,17,False
414,8.0,13,False
415,7.0,14,False
416,9.0,12,False
417,6.0,15,False
418,9.0,12,False
419,12.0,9,False
420,4.0,17,False
421,8.0,13,False
422,9.0,12,False
423,9.0,12,False
424,11.0,10,False
425,12.0,9,False
426,10.0,11,False
427,9.0,12,False
428,10.0,11,False
429,10.0,11,False
430,4.0,17,False
431,10.0,11,False
432,8.0,13,False
433,10.0,11,False
434,15.0,6,False
435,7.0,14,False
436,8.0,13,False
437,7.0,14,False
438,4.0,17,False
439,7.0,14,False
440,11.0,10,False
441,8.0,13,False
442,6.0,15,False
443,12.0,9,False
444,3.0,18,False
445,7.0,14,False
446,5.0,16,False
447,5.0,16,False
448,12.0,9,False
449,9.0,12,False
450,7.0,14,False
451,8.0,13,False
452,9.0,12,False
453,10.0,11,False
454,11.0,10,False
455,8.0,13,False
456,9.0,12,False
457,11.0,10,False
458,11.0,10,False
459,7.0,14,False
460,6.0,15,False
461,5.0,16,False
462,6.0,15,False
463,7.0,14,False
464,6.0,15,False
465,10.0,11,False
466,6.0,15,False
467,6.0,15,False
468,4.0,17,False
469,5.0,16,False
470,8.0,13,False
471,14.0,7,False
472,6.0,15,False
473,14.0,7,False
474,8.0,13,False
475,6.0,15,False
