idx,return,steps,failure
0,6.0,15,False
1,9.0,12,False
2,4.0,17,False
3,7.0,14,False
4,5.0,16,False
5,7.0,14,False
6,5.0,16,False
7,8.0,13,False
8,6.0,15,False
9,6.0,15,False
10,4.0,17,False
11,9.0,12,False
12,9.0,12,False
13,8.0,13,False
14,10.0,11,False
15,6.0,15,False
16,8.0,13,False
17,9.0,12,False
18,9.0,12,False
19,9.0,12,False
20,11.0,10,False
21,7.0,14,False
22,7.0,14,False
23,5.0,16,False
24,4.0,17,False
25,6.0,15,False
26,9.0,12,False
27,11.0,10,False
28,12.0,9,False
29,9.0,12,False
30,6.0,15,False
31,8.0,13,False
32,7.0,14,False
33,7.0,14,False
34,4.0,17,False
35,4.0,17,False
36,7.0,14,False
37,6.0,15,False
38,7.0,14,False
39,13.0,8,False
40,4.0,17,False
41,9.0,12,False
42,7.0,14,False
43,6.0,15,False
44,9.0,12,False
45,5.0,16,False
46,7.0,14,False
47,5.0,16,False
48,4.0,17,False
49,11.0,10,False
50,10.0,11,False
51,6.0,15,False
52,11.0,10,False
53,7.0,14,False
54,6.0,15,False
55,10.0,11,False
56,9.0,12,False
57,7.0,14,False
58,6.0,15,False
59,8.0,13,False
60,7.0,14,False
61,7.0,14,False
62,5.0,16,False
63,5.0,16,False
64,4.0,17,False
65,10.0,11,False
66,4.0,17,False
67,9.0,12,False
68,11.0,10,False
69,6.0,15,False
70,8.0,13,False
71,7.0,14,False
72,5.0,16,False
73,8.0,13,False
74,9.0,12,False
75,10.0,11,False
76,4.0,17,False
77,13.0,8,False
78,9.0,12,False
79,5.0,16,False
80,10.0,11,False
81,10.0,11,False
82,3.0,18,False
83,4.0,17,False
84,9.0,12,False
85,7.0,14,False
86,5.0,16,False
87,8.0,13,False
88,10.0,11,False
89,11.0,10,False
90,12.0,9,False
91,8.0,13,False
92,8.0,13,False
93,5.0,16,False
94,9.0,12,False
95,9.0,12,False
96,5.0,16,False
97,7.0,14,False
98,7.0,14,False
99,10.0,11,False
100,5.0,16,False
101,9.0,12,False
102,5.0,16,False
103,6.0,15,False
104,7.0,14,False
105,13.0,8,False
106,10.0,11,False
107,5.0,16,False
108,4.0,17,False
109,9.0,12,False
110,6.0,15,False
111,10.0,11,False
112,5.0,16,False
113,6.0,15,False
114,6.0,15,False
115,11.0,10,False
116,11.0,10,False
117,5.0,16,False
118,7.0,14,False
119,10.0,11,False
120,6.0,15,False
121,3.0,18,False
122,10.0,11,False
123,9.0,12,False
124,10.0,11,False
125,7.0,14,False
126,6.0,15,False
127,8.0,13,False
128,7.0,14,False
129,7.0,14,False
130,9.0,12,False
131,13.0,8,False
