idx,state,steps,failure
0,381,11,False
1,372,15,False
2,231,12,False
3,314,15,False
4,426,12,False
5,69,11,False
6,92,14,False
7,146,17,False
8,208,14,False
9,144,7,False
10,133,18,False
11,483,17,True
12,21,14,True
13,194,15,False
14,121,14,False
15,274,18,False
16,413,6,False
17,126,20,False
18,363,14,False
19,246,17,False
20,124,13,False
21,434,15,False
22,143,11,True
23,112,13,False
24,394,14,False
25,406,16,False
26,453,15,False
27,102,16,False
28,362,15,False
29,474,16,False
30,429,14,False
31,462,13,False
32,134,13,False
33,346,14,True
34,354,12,False
35,266,18,False
36,351,16,False
37,246,17,False
38,233,13,False
39,472,13,False
40,494,13,False
41,386,11,False
42,167,16,False
43,62,14,False
44,23,9,False
45,44,19,True
46,269,14,False
47,467,14,False
48,93,15,False
49,192,11,False
50,464,15,False
51,391,16,False
52,227,18,True
53,274,16,False
54,13,16,False
55,367,11,False
56,141,15,False
57,243,9,False
58,124,9,False
59,146,11,False
60,309,12,False
61,48,14,True
62,448,13,False
63,332,16,False
64,446,18,False
65,466,15,False
66,344,13,False
67,412,13,False
68,311,15,False
69,402,12,False
70,454,9,False
71,432,11,True
72,207,15,True
73,466,13,False
74,194,10,False
75,294,19,False
76,121,18,False
77,323,12,False
78,11,19,True
79,266,19,False
80,108,15,False
81,486,14,False
82,66,12,False
83,206,16,False
84,452,15,True
85,449,15,True
86,269,12,False
87,446,8,False
88,104,13,False
89,427,12,False
90,62,17,True
91,408,11,False
92,194,16,False
93,168,15,False
94,407,12,False
95,469,10,False
96,409,16,True
97,28,13,True
98,193,11,False
99,452,11,False
100,87,16,False
101,289,8,False
102,51,9,False
103,307,16,False
104,32,17,False
105,142,14,False
106,43,16,False
107,134,16,False
108,42,13,False
109,221,15,True
110,427,17,False
111,493,16,False
112,382,15,False
113,362,18,True
114,332,17,False
115,493,19,False
116,1,14,False
117,321,11,False
118,227,15,False
119,114,10,False
120,223,10,False
121,166,14,False
122,383,13,True
123,169,17,False
124,311,13,False
125,233,13,False
126,63,18,True
127,421,12,True
128,407,14,False
129,367,12,False
130,413,15,False
131,371,16,True
132,188,16,False
133,312,15,False
134,207,15,True
135,442,10,False
136,488,10,False
137,322,16,False
138,87,16,False
139,34,14,True
140,422,12,False
141,368,15,False
142,481,21,True
143,233,13,False
144,131,17,True
145,141,22,True
146,304,15,False
147,2,13,False
148,206,15,False
149,443,12,False
150,392,15,False
151,289,16,False
152,222,17,False
153,3,10,False
154,102,15,False
155,209,16,False
156,49,14,False
157,394,14,False
158,406,13,False
159,68,12,False
160,492,13,False
161,463,16,False
162,411,15,False
163,491,16,False
164,231,11,False
165,349,17,False
166,191,13,True
167,228,15,False
168,188,17,False
169,289,15,False
170,293,17,False
171,183,17,True
172,249,12,False
173,168,15,True
174,393,17,False
175,389,14,False
176,247,15,False
177,191,13,True
178,242,16,False
179,221,14,False
180,9,14,False
181,62,16,False
182,292,17,False
183,108,10,False
184,384,16,False
185,21,14,False
186,134,11,False
187,141,15,False
188,126,17,False
189,401,16,False
190,283,17,False
191,272,19,True
192,92,15,False
193,1,17,True
194,311,17,False
195,212,16,False
196,409,12,False
197,271,13,False
198,154,14,False
199,287,13,False
200,466,11,False
201,61,17,False
202,141,16,False
203,172,17,True
204,24,13,False
205,267,13,False
206,321,16,False
207,134,16,True
208,491,19,False
209,186,16,False
210,242,15,True
211,261,11,False
212,348,16,False
213,324,11,False
214,271,16,False
215,292,14,True
216,89,13,False
217,388,10,False
218,166,15,False
219,172,10,False
220,388,18,True
221,432,17,False
222,329,12,False
223,282,10,False
224,171,10,False
225,334,14,False
226,282,18,False
227,183,13,True
228,288,12,False
229,289,9,False
230,164,16,False
231,409,14,False
232,423,10,False
233,182,16,False
234,29,12,False
235,346,13,False
236,171,14,False
237,432,19,True
238,226,17,True
239,346,10,False
240,332,12,False
241,184,17,False
242,309,13,False
243,329,18,False
244,268,22,True
245,289,14,False
246,314,9,False
247,262,13,False
248,2,7,False
249,352,14,False
250,63,12,False
251,23,14,False
252,153,13,False
253,268,10,False
254,82,10,False
255,473,16,False
256,148,12,False
257,231,8,False
258,287,9,False
259,122,16,False
260,392,15,False
261,454,11,True
262,291,9,False
263,493,12,False
264,401,15,True
265,384,17,False
266,89,15,False
267,361,14,False
268,263,11,False
269,353,15,False
270,153,15,True
271,174,14,False
272,162,17,True
273,426,13,False
274,294,12,False
275,314,16,False
276,61,12,True
277,166,10,False
278,403,8,False
279,27,15,False
280,23,12,False
281,246,18,False
282,73,15,False
283,114,15,True
284,304,15,False
285,249,22,True
286,404,9,False
287,487,13,False
288,167,13,False
289,133,15,False
290,142,15,False
291,134,14,False
292,489,12,False
293,308,14,False
294,267,11,False
295,332,16,False
296,43,19,False
297,88,13,False
298,246,14,False
299,226,14,False
300,14,9,False
301,192,16,False
302,328,12,False
303,2,15,False
304,122,16,False
305,447,10,False
306,486,15,False
307,492,16,False
308,153,6,False
309,94,14,True
310,243,16,False
311,161,15,True
312,291,16,True
313,128,12,False
314,323,13,False
315,126,17,False
316,262,15,False
317,321,11,False
318,193,18,True
319,142,12,False
320,87,12,False
321,301,14,False
322,309,16,False
323,143,10,False
324,91,15,False
325,29,10,False
326,44,10,False
327,294,15,True
328,328,12,False
329,406,15,False
330,468,16,False
331,151,12,False
332,247,9,False
333,151,17,True
334,466,10,False
335,333,14,False
336,63,12,False
337,201,12,True
338,274,15,True
339,467,17,False
340,186,12,False
341,422,13,True
342,414,10,True
343,67,14,True
344,269,11,False
345,304,14,False
346,167,6,False
347,183,15,False
348,473,9,False
349,423,17,False
350,341,7,False
351,266,14,False
352,49,10,False
353,371,15,False
354,489,13,False
355,306,15,False
356,43,19,False
357,72,19,True
358,42,11,False
359,434,15,False
360,109,13,False
361,71,16,False
362,434,16,False
363,361,10,False
364,262,12,False
365,273,14,False
366,142,13,False
367,184,16,False
368,124,16,False
369,467,18,False
370,94,17,False
371,486,18,False
372,264,10,False
373,223,16,False
374,207,13,False
375,266,19,True
376,391,15,False
377,232,17,False
378,363,17,True
379,84,14,False
380,32,16,True
381,471,11,False
382,144,15,False
383,269,10,False
384,202,16,False
385,442,15,False
386,104,19,True
387,53,15,False
388,444,12,False
389,369,14,True
390,24,12,True
391,413,14,False
392,72,11,False
393,326,18,True
394,212,16,False
395,154,12,False
396,214,9,False
397,42,17,False
398,86,16,False
399,122,17,False
400,424,10,True
401,46,9,False
402,488,13,False
403,327,17,False
404,224,14,True
405,73,13,False
406,471,14,False
407,393,11,False
408,292,15,False
409,326,11,False
410,31,12,False
411,384,17,False
412,163,16,False
413,168,10,False
414,468,9,False
415,228,17,False
416,433,10,False
417,186,14,False
418,122,11,False
419,48,13,False
420,32,16,False
421,461,15,False
422,421,14,False
423,451,17,False
424,162,10,False
425,203,11,True
426,134,14,False
427,21,14,False
428,292,15,False
429,387,11,False
430,102,13,False
431,192,15,True
432,129,14,True
433,103,17,False
434,112,17,False
435,128,14,False
436,382,15,False
437,311,10,False
438,291,14,False
439,473,12,False
440,101,13,True
441,247,11,False
442,407,13,False
443,344,19,True
444,286,15,False
445,487,21,True
446,262,11,False
447,228,14,False
448,264,13,False
449,247,8,False
450,51,13,True
451,69,13,False
452,233,15,False
453,189,22,True
454,34,17,False
455,152,14,False
456,429,13,True
457,29,17,False
458,366,9,False
459,382,10,False
460,64,13,False
461,388,19,True
462,352,19,True
463,146,16,False
464,307,12,True
465,413,13,False
466,93,16,True
467,328,15,True
468,134,12,False
469,26,10,False
470,234,15,False
471,166,16,False
472,192,12,True
473,442,12,False
474,192,16,False
475,14,14,False
476,362,15,False
477,3,15,False
478,403,8,False
479,462,13,False
480,241,18,False
481,263,16,False
482,223,12,False
483,482,17,False
484,353,12,False
485,182,16,False
486,329,20,True
487,124,18,False
488,469,13,False
489,487,15,False
490,353,13,False
491,274,15,False
492,202,13,False
493,83,12,False
494,32,11,False
495,103,16,False
496,241,13,False
497,493,16,True
498,49,16,False
499,184,18,False
500,61,14,False
501,52,14,False
502,202,13,True
503,314,12,False
504,324,14,False
505,452,13,True
506,322,10,False
507,342,16,False
508,8,14,False
509,307,12,False
510,22,10,True
511,81,14,False
512,132,15,False
513,44,16,False
514,223,18,False
515,388,12,True
516,84,23,True
517,192,11,False
518,173,14,False
519,204,15,False
520,434,11,False
521,66,14,True
522,442,10,False
523,394,14,False
524,64,12,True
525,1,15,True
526,248,12,False
527,93,14,False
528,372,10,False
529,67,17,False
530,229,15,False
531,314,15,False
532,293,11,False
533,266,12,True
534,346,22,True
535,343,11,False
536,173,16,False
537,91,16,False
538,261,13,True
539,327,14,False
540,164,19,True
541,126,10,False
542,222,11,True
543,87,9,False
544,494,13,False
545,393,13,False
546,49,16,True
547,172,14,False
548,3,11,False
549,373,14,False
550,486,13,False
551,482,17,False
552,272,14,False
553,94,16,False
554,187,15,False
555,222,12,True
556,284,8,False
557,213,16,False
558,51,16,True
559,163,18,False
560,468,17,False
561,252,11,False
562,271,16,True
563,163,17,True
564,228,18,False
565,334,15,True
566,389,13,False
567,406,11,False
568,193,10,False
569,44,17,True
570,249,15,False
571,27,11,False
572,263,12,False
573,29,16,False
574,231,13,False
575,326,14,False
576,52,16,True
577,314,15,False
578,66,15,True
579,93,13,False
580,182,12,False
581,174,16,False
582,431,12,False
583,186,15,True
584,361,15,False
585,491,7,False
586,392,16,False
587,394,18,False
588,361,15,False
589,68,14,False
590,152,14,False
591,421,10,False
592,134,14,False
593,172,15,False
594,248,17,True
595,9,16,True
596,106,12,False
597,304,16,False
598,207,17,False
599,34,12,False
600,221,13,False
601,474,14,False
602,233,11,True
603,3,16,False
604,112,11,False
605,108,13,True
606,8,13,False
607,43,17,False
608,224,17,False
609,434,13,False
610,149,16,False
611,444,13,False
612,423,14,True
613,232,12,False
614,221,15,False
615,124,11,False
616,361,13,False
617,384,13,False
618,102,15,True
619,287,20,False
620,332,17,True
621,27,17,True
622,461,15,False
623,424,10,False
624,472,13,False
625,369,17,False
626,428,15,False
627,206,12,True
628,61,15,False
629,294,11,False
630,106,14,False
631,3,13,False
632,154,14,False
633,83,13,False
634,446,15,False
635,391,18,False
636,53,15,False
637,69,8,False
638,293,19,False
639,33,12,False
640,401,15,False
641,428,13,False
642,321,16,False
643,181,14,False
644,314,15,False
645,461,15,False
646,153,15,False
647,28,17,False
648,4,16,False
649,332,10,False
650,53,12,False
651,448,13,False
652,254,17,True
653,93,15,True
654,344,10,False
655,294,14,False
656,171,11,False
657,83,14,False
658,54,14,True
659,334,9,False
660,427,10,False
661,227,13,False
662,309,12,False
663,309,11,False
664,289,13,True
665,26,11,False
666,454,14,False
667,53,10,False
668,144,17,True
669,46,17,True
670,304,11,False
671,133,11,False
672,322,6,False
673,282,12,False
674,444,16,True
675,328,13,True
676,211,16,False
677,407,19,True
678,351,14,False
679,403,17,False
680,113,15,False
681,153,12,True
682,71,12,False
683,114,11,False
684,261,14,False
685,362,16,False
686,128,16,False
687,412,16,False
688,464,11,False
689,282,16,False
690,31,17,False
691,29,10,False
692,401,13,False
693,471,18,False
694,27,14,False
695,294,16,False
696,134,8,True
697,446,11,False
698,206,14,False
699,191,18,False
700,332,13,False
701,2,15,False
702,472,9,False
703,353,10,False
704,307,9,False
705,24,10,False
706,11,16,False
707,312,16,False
708,426,13,False
709,491,11,False
710,432,17,False
711,309,11,False
712,93,9,True
713,173,14,False
714,94,11,False
715,229,15,False
716,121,10,True
717,292,20,True
718,481,17,False
719,126,9,False
720,288,11,False
721,69,13,False
722,14,12,False
723,434,18,True
724,24,14,True
725,272,11,False
726,403,13,False
727,147,19,False
728,343,12,True
729,374,14,False
