idx,state,steps,failure
0,404,14,False
1,362,16,False
2,131,15,False
3,207,15,False
4,282,11,False
5,7,11,False
6,282,12,False
7,464,13,False
8,282,15,False
9,42,16,False
10,444,11,False
11,192,16,False
12,188,12,False
13,304,11,False
14,88,13,False
15,166,16,False
16,13,10,False
17,469,17,False
18,388,14,False
19,441,14,False
20,241,15,False
21,188,10,False
22,388,11,False
23,207,13,False
24,192,16,False
25,148,14,False
26,13,10,False
27,392,14,False
28,344,14,False
29,111,13,False
30,388,14,False
31,213,13,False
32,194,13,False
33,382,15,False
34,82,12,False
35,406,16,False
36,83,15,False
37,83,16,False
38,31,15,False
39,388,12,False
40,43,11,False
41,403,14,False
42,26,15,False
43,113,10,False
44,388,15,False
45,444,15,False
46,382,13,False
47,462,13,False
48,341,14,False
49,74,17,False
50,82,13,False
51,488,12,False
52,344,12,False
53,388,16,False
54,144,11,False
55,382,12,False
56,182,14,False
57,321,11,False
58,489,16,False
59,282,16,False
60,46,13,False
61,441,13,False
62,62,18,False
63,54,17,False
64,404,11,False
65,488,16,False
66,291,6,False
67,241,10,False
68,301,17,False
69,182,7,False
70,433,13,False
71,146,11,False
72,7,12,False
73,461,17,False
74,321,13,False
75,313,16,False
76,269,9,False
77,364,15,False
78,493,14,False
79,11,12,False
80,168,14,False
81,372,17,False
82,29,13,False
83,151,16,False
84,401,15,False
85,11,13,False
86,384,9,False
87,427,14,False
88,362,14,False
89,207,9,False
90,264,13,False
91,91,15,False
92,213,12,False
93,71,15,False
94,51,14,False
95,54,15,False
96,291,15,False
97,6,16,False
98,188,10,False
99,188,16,False
100,369,13,False
101,207,13,False
102,72,17,False
103,404,14,False
104,72,15,False
105,344,13,False
106,381,9,False
107,148,12,False
108,364,9,False
109,301,9,False
110,482,6,False
111,462,15,False
112,269,10,False
113,441,13,False
114,427,14,False
115,194,14,False
116,282,18,False
117,462,9,False
118,94,15,False
119,169,12,False
120,192,18,False
121,266,17,False
122,388,14,False
123,461,13,False
124,13,11,False
125,282,12,False
126,388,16,False
127,169,13,False
128,421,13,False
129,388,13,False
130,473,11,False
131,368,13,False
132,83,15,False
133,307,11,False
134,461,15,False
135,71,8,False
136,404,12,False
137,82,12,False
138,444,11,False
139,321,10,False
140,68,12,False
141,149,13,False
142,213,11,False
143,291,13,False
144,288,13,False
145,341,11,False
146,282,14,False
147,268,12,False
148,71,14,False
149,303,10,False
150,441,16,False
151,14,10,False
152,7,14,False
153,254,13,False
154,107,13,False
155,386,15,False
156,444,13,False
157,191,18,False
158,431,14,False
159,421,17,False
160,282,15,False
161,262,16,False
162,168,12,False
163,182,15,False
164,487,11,False
165,129,14,False
166,134,16,False
167,263,11,False
168,162,14,False
169,383,16,False
170,488,13,False
171,304,14,False
172,461,10,False
173,33,14,False
174,194,10,False
175,148,12,False
176,7,16,False
177,444,9,False
178,482,10,False
179,113,16,False
180,131,11,False
181,424,15,False
182,266,10,False
183,182,12,False
184,481,14,False
185,214,14,False
186,424,14,False
187,91,14,False
188,384,14,False
189,71,11,False
190,107,17,False
191,301,15,False
192,62,12,False
193,341,15,False
194,404,12,False
195,233,12,False
196,344,9,False
197,168,17,False
198,113,8,False
199,461,11,False
200,441,15,False
201,262,10,False
202,446,15,False
203,441,12,False
204,114,10,False
205,307,8,False
206,26,11,False
207,166,12,False
208,91,12,False
209,262,10,False
210,32,14,False
211,341,16,False
212,144,10,False
213,453,13,False
214,467,15,False
215,384,12,False
216,74,11,False
217,188,17,False
218,113,15,False
219,94,9,False
220,303,16,False
221,444,11,False
222,68,14,False
223,288,14,False
224,307,11,False
225,481,12,False
226,52,11,False
227,327,8,False
228,392,15,False
229,492,13,False
230,91,13,False
231,127,11,False
232,424,16,False
233,188,15,False
234,389,14,False
235,429,16,False
236,461,15,False
237,69,14,False
238,246,15,False
239,183,13,False
240,188,15,False
241,388,7,False
242,54,12,False
243,66,13,False
244,191,16,False
245,368,16,False
246,489,6,False
247,469,14,False
248,388,15,False
249,34,15,False
250,94,13,False
251,472,12,False
252,51,16,False
253,203,14,False
254,406,17,False
255,31,15,False
256,344,16,False
257,213,16,False
258,488,17,False
259,313,10,False
260,464,16,False
261,464,17,False
262,307,14,False
263,361,14,False
264,444,10,False
265,154,18,False
266,188,11,False
267,269,15,False
268,91,18,False
269,21,9,False
270,364,14,False
271,288,16,False
272,171,16,False
273,261,17,False
274,188,10,False
275,62,10,False
276,329,15,False
277,191,10,False
278,94,11,False
279,382,16,False
280,304,17,False
281,107,17,False
282,307,15,False
283,421,17,False
284,47,11,False
285,91,11,False
286,313,8,False
287,304,10,False
288,388,12,False
289,404,17,False
290,72,16,False
291,11,11,False
292,231,16,False
293,261,15,False
294,192,10,False
295,188,17,False
296,482,6,False
297,3,9,False
298,194,14,False
299,444,17,False
300,227,14,False
301,182,8,False
302,421,18,False
303,13,13,False
304,223,14,False
305,11,16,False
306,321,12,False
307,388,14,False
308,388,18,False
309,9,14,False
310,223,14,False
311,321,10,False
312,91,14,False
313,34,13,False
314,348,13,False
315,113,14,False
316,292,9,False
317,192,10,False
318,94,12,False
319,342,11,False
320,348,15,False
321,394,15,False
322,282,9,False
323,324,13,False
324,401,11,False
325,283,18,False
326,424,13,False
327,268,12,False
328,421,11,False
329,194,12,False
330,13,14,False
331,364,14,False
332,464,15,False
333,382,12,False
334,468,11,False
335,461,12,False
336,107,15,False
337,63,17,False
338,288,18,False
339,182,12,False
340,307,16,False
341,282,11,False
342,461,14,False
343,441,8,False
344,266,14,False
345,6,12,False
346,261,14,False
347,7,12,False
348,383,12,False
349,171,13,False
350,224,10,False
351,68,12,False
352,462,14,False
353,68,11,False
354,9,12,False
355,14,10,False
356,204,14,False
357,188,12,False
358,66,14,False
359,189,16,False
360,94,15,False
361,487,9,False
362,143,13,False
363,349,12,False
364,191,12,False
365,88,16,False
366,7,12,False
367,421,9,False
368,382,8,False
369,74,16,False
370,429,10,False
371,324,16,False
372,382,16,False
373,191,14,False
374,307,15,False
375,7,15,False
376,469,12,False
377,83,12,False
378,162,11,False
379,486,8,False
380,189,12,False
381,282,14,False
382,464,18,False
383,153,10,False
384,162,16,False
385,106,12,False
386,488,11,False
387,462,16,False
388,307,14,False
389,421,15,False
390,54,12,False
391,244,15,False
392,74,11,False
393,226,15,False
394,461,11,False
395,364,12,False
396,428,15,False
397,444,16,False
398,389,9,False
399,341,15,False
400,113,15,False
401,362,16,False
402,382,16,False
403,388,15,False
404,283,14,False
405,54,12,False
406,133,16,False
407,141,13,False
408,7,14,False
409,213,13,False
410,421,16,False
411,94,14,False
412,192,13,False
413,468,12,False
414,71,7,False
415,444,12,False
416,88,16,False
417,109,9,False
418,31,14,False
419,413,12,False
420,109,13,False
421,462,17,False
422,481,14,False
423,381,12,False
424,344,18,False
425,421,10,False
426,404,14,False
427,288,13,False
428,244,12,False
429,341,17,False
430,182,10,False
431,88,18,False
432,326,11,False
433,461,13,False
434,183,15,False
435,191,15,False
436,313,12,False
437,301,16,False
438,51,12,False
439,401,12,False
440,71,16,False
441,92,15,False
442,213,9,False
443,262,15,False
444,204,14,False
445,194,14,False
446,62,9,False
447,288,15,False
448,441,12,False
449,71,15,False
450,282,10,False
451,146,17,False
452,271,12,False
453,364,16,False
454,186,12,False
455,288,17,False
456,269,13,False
457,288,12,False
458,88,13,False
459,212,15,False
460,444,11,False
461,444,14,False
462,11,15,False
463,461,15,False
464,194,16,False
465,326,13,False
466,91,15,False
467,307,15,False
468,488,12,False
469,313,10,False
470,82,12,False
471,169,11,False
472,91,15,False
473,466,14,False
474,448,10,False
475,51,9,False
476,189,16,False
477,9,15,False
478,49,13,False
479,92,10,False
480,382,12,False
481,344,14,False
482,24,16,False
483,13,17,False
484,131,11,False
485,282,7,False
486,182,16,False
487,82,16,False
488,464,14,False
489,313,12,False
490,372,14,False
491,284,10,False
492,187,9,False
493,213,10,False
494,444,13,False
495,421,11,False
496,364,14,False
497,262,13,False
498,191,13,False
499,466,13,False
500,113,16,False
501,441,13,False
502,462,14,False
503,353,13,False
504,427,12,False
505,13,14,False
506,464,12,False
507,182,13,False
508,63,13,False
509,183,13,False
510,14,10,False
511,282,13,False
512,282,12,False
513,94,14,False
514,182,11,False
515,281,14,False
516,126,16,False
517,282,14,False
518,94,16,False
519,444,13,False
520,421,11,False
521,392,11,False
522,492,17,False
523,51,14,False
524,321,17,False
525,134,15,False
526,91,15,False
527,362,17,False
528,192,9,False
529,421,15,False
530,182,6,False
531,194,12,False
532,54,16,False
533,272,17,False
534,141,13,False
535,441,14,False
536,51,10,False
537,7,12,False
538,127,12,False
539,361,13,False
540,213,13,False
541,391,17,False
542,381,16,False
543,127,13,False
544,109,7,False
545,383,15,False
546,174,13,False
547,344,7,False
548,191,18,False
549,486,13,False
550,382,14,False
551,191,11,False
552,154,16,False
553,488,6,False
554,393,14,False
555,344,13,False
556,424,15,False
557,388,12,False
558,294,13,False
559,348,13,False
560,249,11,False
561,14,13,False
562,464,12,False
563,421,11,False
564,341,8,False
565,441,13,False
566,71,16,False
567,333,11,False
568,388,16,False
569,381,11,False
570,381,8,False
571,424,14,False
572,113,15,False
573,313,11,False
574,183,16,False
575,207,17,False
576,424,14,False
577,461,15,False
578,227,9,False
579,382,9,False
580,291,14,False
581,288,10,False
582,182,13,False
583,34,13,False
584,382,16,False
585,404,13,False
586,464,18,False
587,292,13,False
588,31,16,False
589,369,12,False
590,261,9,False
591,388,10,False
592,262,8,False
593,421,13,False
594,301,16,False
595,262,11,False
596,94,10,False
597,207,14,False
598,6,13,False
599,283,11,False
600,223,7,False
601,31,14,False
602,221,16,False
603,464,10,False
604,469,14,False
605,29,12,False
606,131,14,False
607,174,13,False
608,182,12,False
609,134,12,False
610,107,16,False
611,134,11,False
612,82,10,False
613,469,14,False
614,381,17,False
615,34,16,False
616,264,14,False
617,424,10,False
618,168,15,False
619,213,8,False
620,382,10,False
621,381,16,False
622,91,13,False
623,82,15,False
624,34,15,False
625,282,10,False
626,262,11,False
627,12,13,False
628,461,11,False
629,442,10,False
630,154,16,False
631,424,16,False
632,461,16,False
633,282,13,False
634,31,10,False
635,51,14,False
636,341,14,False
637,74,12,False
638,107,16,False
639,94,17,False
640,81,10,False
641,171,15,False
642,283,10,False
643,321,17,False
644,191,12,False
645,7,9,False
646,462,17,False
647,321,13,False
648,191,14,False
649,481,12,False
650,182,17,False
651,403,17,False
652,447,16,False
653,404,7,False
654,113,16,False
655,382,13,False
656,381,16,False
657,54,16,False
658,188,17,False
659,462,15,False
660,382,10,False
661,27,17,False
662,171,11,False
663,182,11,False
664,188,11,False
665,213,13,False
666,262,15,False
667,94,8,False
668,307,13,False
669,282,9,False
670,446,14,False
671,369,15,False
672,463,12,False
673,332,10,False
674,193,17,False
675,214,15,False
676,51,13,False
677,154,12,False
678,107,17,False
679,424,13,False
680,401,18,False
681,301,13,False
682,51,16,False
683,464,8,False
684,27,8,False
685,71,16,False
686,31,11,False
687,484,12,False
688,229,14,False
689,346,15,False
690,168,11,False
691,168,11,False
692,104,15,False
693,444,11,False
694,262,9,False
695,111,15,False
696,274,12,False
697,162,8,False
698,461,16,False
699,168,13,False
700,82,12,False
701,324,13,False
702,444,12,False
703,151,10,False
704,404,12,False
705,382,18,False
706,71,13,False
707,7,7,False
708,424,10,False
709,182,16,False
710,262,16,False
711,213,15,False
712,246,13,False
713,241,10,False
714,282,11,False
715,384,13,False
716,74,16,False
717,452,14,False
718,468,16,False
719,134,15,False
720,188,15,False
721,33,11,False
722,424,17,False
723,193,11,False
724,34,14,False
725,162,16,False
726,294,12,False
727,43,8,False
728,107,15,False
729,68,14,False
730,442,10,False
731,407,14,False
732,266,14,False
733,82,15,False
734,282,13,False
735,284,10,False
736,282,14,False
737,481,8,False
738,283,12,False
739,7,14,False
740,7,13,False
741,9,13,False
742,111,15,False
743,291,12,False
744,488,9,False
745,168,10,False
746,88,13,False
747,364,10,False
748,207,16,False
749,94,13,False
750,94,11,False
751,94,17,False
752,29,14,False
753,441,11,False
754,388,15,False
755,188,12,False
756,392,8,False
757,182,12,False
758,74,11,False
759,268,13,False
760,213,8,False
761,129,17,False
762,194,9,False
763,388,14,False
764,441,13,False
765,182,16,False
766,194,12,False
767,182,10,False
768,142,14,False
769,368,13,False
770,188,13,False
771,92,12,False
772,134,14,False
773,27,12,False
774,469,15,False
775,404,17,False
776,94,12,False
777,388,12,False
778,464,15,False
779,384,14,False
780,148,10,False
781,421,7,False
782,312,15,False
783,51,8,False
784,204,16,False
785,461,13,False
786,462,10,False
787,444,12,False
788,31,16,False
789,384,15,False
790,261,8,False
791,421,9,False
792,91,10,False
793,74,12,False
794,29,15,False
795,344,15,False
796,3,12,False
797,127,13,False
798,188,12,False
799,313,12,False
800,301,15,False
801,428,12,False
802,88,17,False
803,488,13,False
804,224,12,False
805,162,14,False
806,182,14,False
