idx,state,steps,failure
0,0,7,False
1,1,10,False
2,2,6,False
3,3,9,False
4,4,18,False
5,5,18,False
6,6,18,False
7,7,15,False
8,8,10,False
9,9,14,False
10,10,14,False
11,11,13,False
12,12,16,False
13,13,14,False
14,14,16,False
15,15,11,False
16,16,17,False
17,17,15,False
18,18,13,False
19,19,16,False
20,20,12,False
21,21,11,False
22,22,7,False
23,23,10,False
24,24,17,False
25,25,17,False
26,26,17,False
27,27,14,False
28,28,11,False
29,29,15,False
30,30,11,False
31,31,14,False
32,32,15,False
33,33,13,False
34,34,15,False
35,35,16,False
36,36,13,False
37,37,17,False
38,38,9,False
39,39,8,False
40,40,13,False
41,41,16,False
42,42,12,False
43,43,15,False
44,44,12,False
45,45,11,False
46,46,12,False
47,47,9,False
48,48,12,False
49,49,16,False
50,50,11,False
51,51,15,False
52,52,14,False
53,53,12,False
54,54,14,False
55,55,13,False
56,56,17,False
57,57,12,False
58,58,8,False
59,59,11,False
60,60,14,False
61,61,17,False
62,62,13,False
63,63,16,False
64,64,11,False
65,65,13,False
66,66,11,False
67,67,8,False
68,68,13,False
69,69,17,False
70,70,15,False
71,71,16,False
72,72,13,False
73,73,11,False
74,74,13,False
75,75,10,False
76,76,13,False
77,77,17,False
78,78,12,False
79,79,16,False
80,80,15,False
81,81,18,False
82,82,14,False
83,83,17,False
84,84,10,False
85,85,13,False
86,86,10,False
87,87,7,False
88,88,14,False
89,89,18,False
90,90,9,False
91,91,17,False
92,92,14,False
93,93,12,False
94,94,14,False
95,95,17,False
96,96,15,False
97,97,14,False
98,98,10,False
99,99,16,False
100,100,11,False
101,101,11,False
102,102,7,False
103,103,10,False
104,104,17,False
105,105,16,False
106,106,17,False
107,107,14,False
108,108,9,False
109,109,13,False
110,110,16,False
111,111,12,False
112,112,15,False
113,113,13,False
114,114,15,False
115,115,12,False
116,116,16,False
117,117,18,False
118,118,9,False
119,119,15,False
120,120,11,False
121,121,12,False
122,122,8,False
123,123,11,False
124,124,16,False
125,125,7,False
126,126,16,False
127,127,13,False
128,128,10,False
129,129,14,False
130,130,16,False
131,131,13,False
132,132,14,False
133,133,12,False
134,134,14,False
135,135,14,False
136,136,17,False
137,137,15,False
138,138,13,False
139,139,14,False
140,140,12,False
141,141,15,False
142,142,11,False
143,143,14,False
144,144,13,False
145,145,18,False
146,146,13,False
147,147,10,False
148,148,11,False
149,149,15,False
150,150,17,False
151,151,14,False
152,152,13,False
153,153,11,False
154,154,13,False
155,155,16,False
156,156,6,False
157,157,13,False
158,158,16,False
159,159,13,False
160,160,15,False
161,161,16,False
162,162,12,False
163,163,15,False
164,164,12,False
165,165,8,False
166,166,12,False
167,167,9,False
168,168,12,False
169,169,16,False
170,170,18,False
171,171,15,False
172,172,12,False
173,173,10,False
174,174,12,False
175,175,13,False
176,176,16,False
177,177,13,False
178,178,14,False
179,179,14,False
180,180,15,False
181,181,17,False
182,182,13,False
183,183,16,False
184,184,11,False
185,185,16,False
186,186,11,False
187,187,8,False
188,188,13,False
189,189,17,False
190,190,10,False
191,191,16,False
192,192,13,False
193,193,11,False
194,194,13,False
195,195,15,False
196,196,15,False
197,197,17,False
198,198,13,False
199,199,17,False
200,200,13,False
201,201,12,False
202,202,8,False
203,203,11,False
204,204,16,False
205,205,11,False
206,206,16,False
207,207,13,False
208,208,8,False
209,209,12,False
210,210,12,False
211,211,11,False
212,212,14,False
213,213,12,False
214,214,14,False
215,215,14,False
216,216,17,False
217,217,16,False
218,218,13,False
219,219,17,False
220,220,14,False
221,221,13,False
222,222,9,False
223,223,12,False
224,224,15,False
225,225,16,False
226,226,15,False
227,227,12,False
228,228,9,False
229,229,13,False
230,230,10,False
231,231,12,False
232,232,13,False
233,233,11,False
234,234,13,False
235,235,14,False
236,236,10,False
237,237,8,False
238,238,14,False
239,239,13,False
240,240,16,False
241,241,14,False
242,242,10,False
243,243,13,False
244,244,14,False
245,245,11,False
246,246,14,False
247,247,11,False
248,248,10,False
249,249,14,False
250,250,15,False
251,251,13,False
252,252,12,False
253,253,10,False
254,254,12,False
255,255,14,False
256,256,16,False
257,257,15,False
258,258,15,False
259,259,11,False
260,260,18,False
261,261,15,False
262,262,11,False
263,263,14,False
264,264,13,False
265,265,12,False
266,266,13,False
267,267,10,False
268,268,11,False
269,269,15,False
270,270,14,False
271,271,14,False
272,272,11,False
273,273,9,False
274,274,11,False
275,275,16,False
276,276,15,False
277,277,9,False
278,278,12,False
279,279,17,False
280,280,10,False
281,281,16,False
282,282,12,False
283,283,15,False
284,284,12,False
285,285,16,False
286,286,12,False
287,287,9,False
288,288,12,False
289,289,16,False
290,290,16,False
291,291,15,False
292,292,12,False
293,293,10,False
294,294,12,False
295,295,14,False
296,296,16,False
297,297,16,False
298,298,10,False
299,299,11,False
300,300,14,False
301,301,13,False
302,302,9,False
303,303,12,False
304,304,17,False
305,305,10,False
306,306,17,False
307,307,14,False
308,308,7,False
309,309,11,False
310,310,12,False
311,311,10,False
312,312,15,False
313,313,13,False
314,314,15,False
315,315,13,False
316,316,11,False
317,317,18,False
318,318,16,False
319,319,16,False
320,320,9,False
321,321,14,False
322,322,10,False
323,323,13,False
324,324,16,False
325,325,12,False
326,326,16,False
327,327,13,False
328,328,10,False
329,329,14,False
330,330,18,False
331,331,13,False
332,332,14,False
333,333,12,False
334,334,14,False
335,335,15,False
336,336,11,False
337,337,10,False
338,338,13,False
339,339,10,False
340,340,8,False
341,341,15,False
342,342,11,False
343,343,14,False
344,344,15,False
345,345,17,False
346,346,15,False
347,347,12,False
348,348,11,False
349,349,15,False
350,350,6,False
351,351,14,False
352,352,13,False
353,353,11,False
354,354,13,False
355,355,17,False
356,356,10,False
357,357,14,False
358,358,14,False
359,359,10,False
360,360,15,False
361,361,16,False
362,362,12,False
363,363,15,False
364,364,14,False
365,365,16,False
366,366,14,False
367,367,11,False
368,368,12,False
369,369,16,False
370,370,14,False
371,371,15,False
372,372,10,False
373,373,8,False
374,374,10,False
375,375,10,False
376,376,17,False
377,377,13,False
378,378,12,False
379,379,10,False
380,380,14,False
381,381,17,False
382,382,13,False
383,383,16,False
384,384,13,False
385,385,7,False
386,386,13,False
387,387,10,False
388,388,13,False
389,389,17,False
390,390,16,False
391,391,16,False
392,392,11,False
393,393,9,False
394,394,11,False
395,395,13,False
396,396,10,False
397,397,16,False
398,398,16,False
399,399,12,False
400,400,9,False
401,401,14,False
402,402,10,False
403,403,13,False
404,404,18,False
405,405,13,False
406,406,18,False
407,407,15,False
408,408,6,False
409,409,10,False
410,410,13,False
411,411,9,False
412,412,16,False
413,413,14,False
414,414,16,False
415,415,12,False
416,416,16,False
417,417,8,False
418,418,10,False
419,419,14,False
420,420,12,False
421,421,15,False
422,422,11,False
423,423,14,False
424,424,17,False
425,425,10,False
426,426,17,False
427,427,14,False
428,428,11,False
429,429,15,False
430,430,10,False
431,431,14,False
432,432,15,False
433,433,13,False
434,434,15,False
435,435,13,False
436,436,9,False
437,437,16,False
438,438,13,False
439,439,12,False
440,440,11,False
441,441,16,False
442,442,12,False
443,443,15,False
444,444,16,False
445,445,13,False
446,446,16,False
447,447,13,False
448,448,12,False
449,449,16,False
450,450,14,False
451,451,15,False
452,452,14,False
453,453,12,False
454,454,14,False
455,455,7,False
456,456,17,False
457,457,17,False
458,458,9,False
459,459,14,False
460,460,17,False
461,461,17,False
462,462,13,False
463,463,16,False
464,464,15,False
465,465,9,False
466,466,15,False
467,467,12,False
468,468,13,False
469,469,17,False
470,470,16,False
471,471,16,False
472,472,9,False
473,473,7,False
474,474,9,False
475,475,12,False
476,476,18,False
477,477,8,False
478,478,15,False
479,479,16,False
480,480,18,False
481,481,18,False
482,482,14,False
483,483,17,False
484,484,14,False
485,485,15,False
486,486,14,False
487,487,11,False
488,488,14,False
489,489,18,False
490,490,15,False
491,491,17,False
492,492,10,False
493,493,8,False
494,494,10,False
495,495,10,False
496,496,13,False
497,497,13,False
498,498,14,False
499,499,11,False
500,500,9,False
501,501,7,False
502,502,13,False
503,503,16,False
504,504,17,False
505,505,14,False
