idx,state,steps,failure
0,494,17,False
1,67,15,False
2,224,10,False
3,413,12,False
4,374,15,False
5,349,10,False
6,193,13,False
7,213,13,False
8,301,15,False
9,446,17,False
10,313,16,False
11,163,11,False
12,423,16,False
13,194,12,False
14,88,11,False
15,293,13,False
16,209,14,False
17,407,17,False
18,253,16,False
19,134,13,False
20,87,12,False
21,413,13,False
22,46,13,False
23,271,12,False
24,168,7,False
25,181,9,False
26,294,10,False
27,392,15,False
28,307,13,False
29,393,17,False
30,172,11,False
31,122,13,False
32,283,16,False
33,371,11,False
34,351,14,False
35,393,14,False
36,33,10,False
37,126,14,False
38,463,14,False
39,472,15,False
40,322,12,False
41,131,8,False
42,171,17,False
43,271,11,False
44,311,14,False
45,448,13,False
46,204,11,False
47,83,14,False
48,124,15,False
49,86,10,False
50,263,10,False
51,273,14,False
52,464,13,False
53,411,16,False
54,202,16,False
55,184,12,False
56,93,12,False
57,428,12,False
58,351,13,False
59,67,13,False
60,323,16,False
61,41,13,False
62,349,17,False
63,63,9,False
64,133,16,False
65,33,14,False
66,221,16,False
67,269,17,False
68,293,13,False
69,451,10,False
70,193,12,False
71,9,14,False
72,247,10,False
73,407,16,False
74,454,17,False
75,27,16,False
76,468,8,False
77,322,16,False
78,129,14,False
79,467,15,False
80,273,17,False
81,6,10,False
82,7,11,False
83,134,17,False
84,6,11,False
85,129,14,False
86,392,11,False
87,103,10,False
88,493,12,False
89,334,15,False
90,393,16,False
91,466,14,False
92,53,14,False
93,73,13,False
94,288,12,False
95,161,18,False
96,383,9,False
97,67,14,False
98,52,11,False
99,206,10,False
100,62,11,False
101,41,12,False
102,389,14,False
103,147,12,False
104,182,14,False
105,427,14,False
106,413,12,False
107,244,16,False
108,273,11,False
109,248,15,False
110,101,11,False
111,408,16,False
112,301,15,False
113,41,7,False
114,62,9,False
115,309,12,False
116,109,17,False
117,422,12,False
118,288,17,False
119,392,9,False
120,412,12,False
121,401,10,False
122,373,14,False
123,372,16,False
124,253,8,False
125,124,7,False
126,126,13,False
127,343,16,False
128,263,14,False
129,228,15,False
130,381,17,False
131,129,10,False
132,312,16,False
133,44,15,False
134,48,10,False
135,209,10,False
136,454,13,False
137,464,16,False
138,392,9,False
139,168,12,False
140,2,13,False
141,168,8,False
142,393,9,False
143,24,10,False
144,386,12,False
145,273,6,False
146,463,13,False
147,49,13,False
148,273,9,False
149,313,17,False
150,488,17,False
151,424,10,False
152,28,17,False
153,392,11,False
154,6,16,False
155,488,14,False
156,248,10,False
157,27,17,False
158,412,14,False
159,182,10,False
160,27,13,False
161,241,16,False
162,94,13,False
163,428,10,False
164,403,14,False
165,93,7,False
166,69,14,False
167,489,12,False
168,24,11,False
169,8,13,False
170,221,12,False
171,443,12,False
172,349,16,False
173,429,16,False
174,191,10,False
175,132,10,False
176,471,9,False
177,229,8,False
178,474,13,False
179,303,16,False
180,404,16,False
181,307,9,False
182,273,17,False
183,54,12,False
184,268,15,False
185,408,14,False
186,201,9,False
187,488,12,False
188,193,15,False
189,34,14,False
190,141,9,False
191,48,16,False
192,342,17,False
193,84,16,False
194,229,11,False
195,321,14,False
196,123,13,False
197,153,12,False
198,463,14,False
199,368,8,False
200,261,11,False
201,6,12,False
202,393,16,False
203,141,15,False
204,484,14,False
205,273,16,False
206,104,17,False
207,253,17,False
208,29,15,False
209,343,13,False
210,64,12,False
211,163,14,False
212,27,16,False
213,427,16,False
214,192,16,False
215,426,13,False
216,333,16,False
217,92,18,False
218,373,11,False
219,14,15,False
220,413,17,False
221,134,16,False
222,122,10,False
223,268,13,False
224,263,12,False
225,471,15,False
226,153,6,False
227,231,17,False
228,389,12,False
229,144,12,False
230,424,18,False
231,427,15,False
232,128,13,False
233,211,12,False
234,306,15,False
235,168,15,False
236,161,14,False
237,349,6,False
238,206,16,False
239,466,8,False
240,492,10,False
241,129,16,False
242,283,10,False
243,191,14,False
244,284,17,False
245,413,8,False
246,252,16,False
247,267,15,False
248,429,14,False
249,142,11,False
250,308,12,False
251,472,14,False
252,226,11,False
253,433,16,False
254,204,15,False
255,262,17,False
256,208,14,False
257,6,14,False
258,251,12,False
259,466,12,False
260,67,16,False
261,34,15,False
262,166,13,False
263,293,10,False
264,104,12,False
265,227,12,False
266,348,14,False
267,369,17,False
268,293,11,False
269,312,13,False
270,27,15,False
271,366,12,False
272,374,9,False
273,123,15,False
274,427,15,False
275,173,13,False
276,133,7,False
277,289,13,False
278,347,13,False
279,111,14,False
280,442,12,False
281,27,13,False
282,23,16,False
283,466,13,False
284,132,14,False
285,388,10,False
286,74,13,False
287,144,15,False
288,149,12,False
289,267,14,False
290,313,15,False
291,72,13,False
292,209,14,False
293,434,12,False
294,404,12,False
295,281,10,False
296,448,10,False
297,472,8,False
298,304,13,False
299,84,11,False
300,141,10,False
301,69,7,False
302,8,11,False
303,466,15,False
304,466,12,False
305,203,13,False
306,464,16,False
307,442,17,False
308,408,14,False
309,273,13,False
310,152,11,False
311,131,13,False
312,161,15,False
313,466,15,False
314,372,8,False
315,192,11,False
316,228,15,False
317,224,16,False
318,173,17,False
319,194,6,False
320,451,17,False
321,331,16,False
322,422,11,False
323,402,9,False
324,464,13,False
325,26,8,False
326,83,13,False
327,368,13,False
328,369,15,False
329,486,14,False
330,161,15,False
331,373,13,False
332,174,14,False
333,327,12,False
334,432,15,False
335,2,14,False
336,162,13,False
337,2,11,False
338,84,16,False
339,274,11,False
340,27,15,False
341,211,12,False
342,486,13,False
343,492,16,False
344,412,15,False
345,288,13,False
346,343,13,False
347,403,14,False
348,248,12,False
349,64,13,False
350,443,12,False
351,332,11,False
352,263,15,False
353,342,11,False
354,187,14,False
355,422,14,False
356,126,13,False
357,263,14,False
358,273,12,False
359,348,10,False
360,193,12,False
361,363,17,False
362,21,12,False
363,421,13,False
364,92,14,False
365,6,13,False
366,184,10,False
367,182,14,False
368,132,7,False
369,252,13,False
370,334,9,False
371,374,12,False
372,111,13,False
373,114,12,False
374,254,16,False
375,473,17,False
376,33,13,False
377,81,10,False
378,333,15,False
379,164,7,False
380,192,11,False
381,206,15,False
382,421,11,False
383,453,13,False
384,54,9,False
385,413,9,False
386,61,17,False
387,206,11,False
388,12,16,False
389,253,16,False
390,174,16,False
391,44,16,False
392,332,13,False
393,404,16,False
394,144,14,False
395,182,15,False
396,301,16,False
397,313,14,False
398,468,14,False
399,68,17,False
400,227,14,False
401,428,16,False
402,323,16,False
403,332,14,False
404,368,14,False
405,121,14,False
406,466,15,False
407,468,12,False
408,293,12,False
409,123,11,False
410,313,15,False
411,323,14,False
412,464,16,False
413,144,13,False
414,47,15,False
415,406,14,False
416,74,14,False
417,288,15,False
418,486,17,False
419,194,13,False
420,84,15,False
421,307,10,False
422,331,12,False
423,173,11,False
424,383,13,False
425,213,14,False
426,302,8,False
427,127,15,False
428,343,17,False
429,293,10,False
430,67,14,False
431,343,15,False
432,402,13,False
433,9,12,False
434,206,16,False
435,229,15,False
436,448,13,False
437,26,14,False
438,313,12,False
439,273,12,False
440,31,13,False
441,307,11,False
442,433,17,False
443,123,15,False
444,467,18,False
445,251,13,False
446,292,12,False
447,47,13,False
448,364,12,False
449,7,10,False
450,463,16,False
451,53,15,False
452,386,14,False
453,334,14,False
454,141,13,False
455,473,8,False
456,94,16,False
457,202,17,False
458,367,14,False
459,487,12,False
460,111,13,False
461,489,12,False
462,8,9,False
463,452,14,False
464,87,17,False
465,354,14,False
466,333,11,False
467,52,8,False
468,193,12,False
469,228,14,False
470,434,9,False
471,28,15,False
472,29,12,False
473,252,17,False
474,483,17,False
475,9,17,False
476,94,17,False
477,423,14,False
478,193,12,False
479,487,16,False
480,72,18,False
481,333,12,False
482,141,16,False
483,192,8,False
484,183,13,False
485,387,16,False
486,82,13,False
487,6,14,False
488,111,6,False
489,73,16,False
490,287,14,False
491,393,15,False
492,326,14,False
493,483,15,False
494,182,14,False
495,48,11,False
496,144,16,False
497,308,15,False
498,302,13,False
499,128,17,False
500,194,15,False
501,386,15,False
502,287,17,False
503,403,16,False
504,46,13,False
505,73,12,False
506,431,12,False
507,123,17,False
508,127,15,False
509,126,14,False
510,164,13,False
511,312,12,False
512,388,14,False
513,172,10,False
514,207,17,False
515,244,11,False
516,288,14,False
517,12,13,False
518,207,14,False
519,426,13,False
520,467,15,False
521,261,17,False
522,106,13,False
523,367,12,False
524,213,14,False
525,131,13,False
526,289,13,False
527,233,9,False
528,402,15,False
529,106,7,False
530,367,17,False
531,322,11,False
532,472,12,False
533,221,14,False
534,147,14,False
535,31,16,False
536,472,16,False
537,442,18,False
538,267,15,False
539,413,16,False
540,49,14,False
541,91,15,False
542,406,15,False
543,401,14,False
544,211,16,False
545,61,11,False
546,329,10,False
547,133,16,False
548,183,15,False
549,147,13,False
550,388,13,False
551,448,13,False
552,49,14,False
553,164,10,False
554,87,15,False
555,243,10,False
556,111,12,False
557,404,14,False
558,267,6,False
559,364,11,False
560,433,15,False
561,269,9,False
562,487,15,False
563,343,9,False
564,54,13,False
565,453,16,False
566,192,15,False
567,444,12,False
568,373,16,False
569,347,16,False
570,28,15,False
571,484,15,False
572,412,16,False
573,288,14,False
574,131,10,False
575,86,14,False
576,454,14,False
577,111,10,False
578,52,11,False
579,349,13,False
580,332,10,False
581,28,10,False
582,109,13,False
583,132,15,False
584,344,17,False
585,412,10,False
586,386,16,False
587,323,10,False
588,12,15,False
589,7,12,False
590,268,13,False
591,468,8,False
592,131,10,False
593,453,13,False
594,83,13,False
595,91,14,False
596,24,14,False
597,173,13,False
598,246,15,False
599,403,11,False
600,29,8,False
601,409,17,False
602,492,14,False
603,146,15,False
604,74,17,False
605,242,12,False
606,324,16,False
607,389,12,False
608,426,13,False
609,392,13,False
610,147,16,False
611,389,14,False
612,211,14,False
613,54,12,False
614,188,15,False
615,367,14,False
616,354,16,False
617,27,16,False
618,209,16,False
619,293,16,False
620,486,13,False
621,473,13,False
622,233,14,False
623,134,14,False
624,212,8,False
625,383,12,False
626,432,16,False
627,431,13,False
628,4,15,False
629,484,16,False
630,127,13,False
631,133,15,False
632,226,12,False
633,373,12,False
634,148,15,False
635,151,17,False
636,4,13,False
637,303,14,False
638,248,18,False
639,261,9,False
640,433,15,False
641,62,12,False
642,267,9,False
643,229,10,False
644,362,11,False
645,221,13,False
646,492,16,False
647,221,16,False
648,206,13,False
649,47,12,False
650,386,10,False
651,252,12,False
652,267,13,False
653,484,11,False
654,61,12,False
655,154,17,False
656,452,14,False
657,331,13,False
658,411,16,False
659,331,15,False
660,113,9,False
661,382,10,False
662,388,14,False
663,426,15,False
664,393,10,False
665,369,11,False
666,353,14,False
667,392,12,False
668,483,11,False
669,253,11,False
670,12,18,False
671,273,11,False
672,492,12,False
673,191,14,False
674,6,8,False
675,154,15,False
676,63,16,False
677,273,10,False
678,243,14,False
679,53,18,False
680,446,15,False
681,21,14,False
682,126,11,False
683,423,10,False
684,303,12,False
685,273,16,False
686,47,14,False
687,151,12,False
688,206,14,False
689,488,17,False
690,87,13,False
691,281,17,False
692,29,12,False
693,2,16,False
694,87,14,False
695,447,17,False
696,404,14,False
697,81,15,False
698,173,8,False
699,6,9,False
700,407,13,False
701,187,14,False
702,303,13,False
703,253,11,False
704,92,14,False
705,301,16,False
706,323,14,False
707,486,15,False
708,334,7,False
709,81,11,False
710,466,15,False
711,486,16,False
712,144,13,False
713,184,17,False
714,484,10,False
715,222,10,False
716,26,14,False
717,127,18,False
718,393,17,False
719,27,12,False
720,43,14,False
721,64,17,False
722,101,16,False
723,363,14,False
724,264,11,False
725,143,10,False
726,472,16,False
727,161,17,False
728,64,15,False
729,368,8,False
730,288,10,False
731,468,13,False
732,52,13,False
733,401,14,False
734,383,11,False
735,102,13,False
736,148,14,False
737,24,8,False
738,392,17,False
739,88,16,False
740,26,14,False
741,141,13,False
742,126,14,False
743,421,17,False
744,22,14,False
745,112,13,False
746,91,12,False
747,322,11,False
748,472,14,False
749,131,16,False
750,161,15,False
751,324,9,False
752,227,17,False
753,46,17,False
754,428,13,False
755,247,11,False
756,182,13,False
757,267,15,False
758,432,11,False
759,291,15,False
760,374,12,False
761,232,10,False
762,202,13,False
763,166,15,False
764,1,14,False
765,432,15,False
766,354,13,False
767,123,16,False
768,167,7,False
769,329,12,False
770,4,17,False
771,393,11,False
772,302,17,False
773,408,12,False
774,52,15,False
775,427,12,False
776,213,9,False
777,84,15,False
778,171,13,False
779,132,10,False
780,486,12,False
781,212,16,False
782,14,17,False
783,451,10,False
784,466,10,False
785,271,18,False
786,161,12,False
787,392,12,False
788,63,16,False
789,281,14,False
790,493,14,False
791,62,12,False
792,227,13,False
793,312,6,False
794,407,15,False
795,108,15,False
796,484,14,False
797,101,10,False
798,271,14,False
799,142,13,False
800,289,16,False
801,409,12,False
802,367,15,False
803,334,14,False
804,47,11,False
805,267,16,False
806,293,11,False
807,368,8,False
808,132,12,False
809,2,14,False
810,209,17,False
811,288,15,False
812,9,18,False
813,104,15,False
814,72,15,False
815,328,7,False
816,167,11,False
817,211,13,False
818,182,13,False
819,354,18,False
820,93,12,False
821,9,15,False
822,94,15,False
823,11,13,False
824,88,8,False
825,406,16,False
826,488,16,False
827,173,12,False
828,444,10,False
829,363,13,False
830,181,15,False
831,27,14,False
832,29,15,False
833,123,11,False
834,106,11,False
835,41,17,False
836,147,14,False
837,293,13,False
838,273,14,False
839,86,8,False
840,206,15,False
841,423,15,False
842,333,10,False
843,304,17,False
844,347,10,False
845,413,13,False
846,27,16,False
847,468,12,False
848,293,15,False
849,11,17,False
850,293,13,False
851,413,14,False
852,448,17,False
853,327,14,False
854,402,12,False
855,423,10,False
856,483,8,False
857,262,13,False
858,414,13,False
859,304,13,False
860,468,16,False
861,443,15,False
862,368,11,False
863,108,12,False
864,43,9,False
865,281,13,False
866,473,12,False
867,149,10,False
868,144,11,False
869,327,14,False
870,204,15,False
871,168,12,False
872,102,11,False
873,64,15,False
874,389,8,False
875,174,7,False
876,349,11,False
877,123,17,False
878,209,13,False
879,404,13,False
880,9,14,False
881,273,14,False
882,106,13,False
883,48,13,False
884,302,15,False
885,333,11,False
886,427,7,False
887,333,11,False
888,164,15,False
889,174,16,False
890,482,18,False
891,203,6,False
892,8,13,False
893,253,16,False
894,288,13,False
895,132,13,False
896,146,13,False
897,149,11,False
898,14,9,False
899,161,10,False
900,52,14,False
901,64,14,False
902,24,9,False
903,82,12,False
904,284,17,False
905,123,17,False
906,147,13,False
907,126,14,False
908,492,11,False
909,181,7,False
910,182,11,False
911,64,8,False
912,304,12,False
913,141,11,False
914,364,16,False
915,141,16,False
916,128,17,False
917,107,16,False
918,463,18,False
919,443,17,False
920,133,13,False
921,4,14,False
922,364,16,False
923,44,14,False
924,131,18,False
925,3,14,False
926,211,15,False
927,83,13,False
928,347,16,False
929,88,14,False
930,168,13,False
931,323,13,False
932,323,16,False
933,27,16,False
934,29,12,False
935,183,11,False
936,88,11,False
937,348,13,False
938,147,13,False
939,213,13,False
940,248,17,False
941,303,13,False
942,124,16,False
943,349,13,False
944,126,13,False
945,147,10,False
946,283,12,False
947,62,16,False
948,461,18,False
949,127,12,False
950,43,13,False
951,61,14,False
952,334,9,False
953,444,11,False
954,492,12,False
955,146,14,False
956,312,12,False
957,173,14,False
958,134,11,False
959,301,14,False
960,208,12,False
961,444,11,False
962,448,13,False
963,149,18,False
964,388,13,False
965,182,10,False
966,243,15,False
967,193,16,False
968,412,15,False
969,492,17,False
970,166,17,False
971,227,17,False
972,413,12,False
973,273,13,False
974,404,14,False
975,148,17,False
976,61,16,False
977,44,13,False
978,82,13,False
979,291,9,False
980,48,17,False
981,326,12,False
982,468,16,False
983,183,11,False
984,472,13,False
985,167,10,False
986,406,14,False
987,424,12,False
988,46,11,False
989,229,15,False
990,273,15,False
991,369,16,False
992,463,7,False
993,446,13,False
994,293,15,False
995,263,12,False
996,273,11,False
997,301,12,False
998,47,13,False
999,29,11,False
1000,306,11,False
1001,63,13,False
1002,243,15,False
1003,243,17,False
1004,486,7,False
1005,7,6,False
1006,293,14,False
1007,173,14,False
1008,44,15,False
1009,402,13,False
1010,487,11,False
1011,121,12,False
1012,26,12,False
1013,463,13,False
1014,332,17,False
1015,333,9,False
1016,402,13,False
1017,42,8,False
1018,333,11,False
1019,82,17,False
1020,373,14,False
1021,126,11,False
1022,251,12,False
