idx,return,steps,failure
0,-33.0,18,True
1,7.0,14,False
2,-7.0,10,True
3,-21.0,15,True
4,-3.0,15,True
5,-14.0,17,True
6,1.0,11,True
7,-22.0,16,True
8,5.0,16,False
9,-3.0,15,True
10,-2.0,14,True
11,-20.0,14,True
12,-11.0,14,True
13,7.0,14,False
14,-66.0,24,True
15,5.0,16,False
16,8.0,13,False
17,5.0,16,False
18,-23.0,17,True
19,7.0,14,False
20,-30.0,15,True
21,-17.0,20,True
22,-2.0,14,True
23,-5.0,17,True
24,-5.0,17,True
25,9.0,12,False
26,2.0,10,True
27,9.0,12,False
28,4.0,17,False
29,-5.0,17,True
30,9.0,12,False
31,10.0,11,False
32,6.0,15,False
33,4.0,17,False
34,-13.0,16,True
35,-1.0,13,True
36,7.0,14,False
37,-21.0,15,True
38,13.0,8,False
39,11.0,10,False
40,7.0,14,False
41,1.0,11,True
42,7.0,14,False
43,8.0,13,False
44,6.0,15,False
45,0.0,12,True
46,-31.0,16,True
47,-21.0,15,True
48,-4.0,16,True
49,-25.0,19,True
50,-34.0,19,True
51,-5.0,17,True
52,12.0,9,False
53,5.0,16,False
54,-43.0,19,True
55,-15.0,18,True
56,0.0,12,True
57,-35.0,20,True
58,-36.0,21,True
59,-3.0,15,True
60,-16.0,19,True
61,7.0,14,False
62,9.0,12,False
63,7.0,14,False
64,0.0,12,True
65,-10.0,13,True
66,8.0,13,False
67,8.0,13,False
68,6.0,15,False
69,13.0,8,False
70,-32.0,17,True
71,-2.0,14,True
72,-29.0,14,True
73,-23.0,17,True
74,-15.0,18,True
75,-12.0,15,True
76,-27.0,21,True
77,-9.0,12,True
78,-3.0,15,True
79,6.0,15,False
80,-16.0,19,True
81,11.0,10,False
82,10.0,11,False
83,-21.0,15,True
84,5.0,16,False
85,9.0,12,False
86,6.0,15,False
87,-2.0,14,True
88,13.0,8,False
89,-36.0,12,True
90,-36.0,21,True
91,8.0,13,False
92,-4.0,16,True
93,5.0,16,False
94,-9.0,12,True
95,-5.0,17,True
96,-5.0,17,True
97,-13.0,16,True
98,-2.0,14,True
99,14.0,7,False
100,11.0,10,False
101,-1.0,13,True
102,-4.0,16,True
103,-5.0,17,True
104,8.0,13,False
105,11.0,10,False
106,3.0,18,False
107,9.0,12,False
108,8.0,13,False
109,5.0,16,False
110,-21.0,15,True
111,-32.0,17,True
112,-10.0,13,True
113,-4.0,16,True
114,2.0,10,True
115,-6.0,18,True
116,7.0,14,False
117,-4.0,16,True
118,7.0,14,False
119,0.0,12,True
120,1.0,11,True
121,-46.0,22,True
122,7.0,14,False
123,8.0,13,False
124,-8.0,11,True
125,-14.0,17,True
126,-25.0,19,True
127,-1.0,13,True
128,-3.0,15,True
129,-26.0,20,True
130,-36.0,21,True
131,-3.0,15,True
132,-28.0,13,True
133,8.0,13,False
134,-3.0,15,True
135,-56.0,23,True
136,14.0,7,False
