idx,state,steps,failure,mutant
0,122,16,False,M
1,251,9,False,M
2,13,14,False,M
3,86,14,False,M
4,128,16,False,M
5,69,15,False,M
6,67,9,False,M
7,464,15,False,M
8,66,12,False,M
9,173,200,True,M
10,228,20,False,M
11,154,12,False,M
12,273,21,True,M
13,451,17,False,M
14,391,200,True,M
15,486,23,True,M
16,354,12,False,M
17,167,12,False,M
18,234,13,False,M
19,233,15,False,M
20,4,12,False,M
21,41,18,True,M
22,482,15,True,M
23,403,23,True,M
24,204,16,False,M
25,192,10,False,M
26,413,19,False,M
27,284,200,True,M
28,49,20,False,M
29,193,17,False,M
30,291,18,True,M
31,29,15,False,M
32,274,9,False,M
33,174,16,False,M
34,372,200,True,M
35,226,15,True,M
36,104,17,False,M
37,168,20,False,M
38,23,14,False,M
39,287,21,True,M
40,182,12,False,M
41,281,20,True,M
42,74,24,True,M
43,383,12,False,M
44,108,18,False,M
45,481,11,False,M
46,393,20,True,M
47,162,13,False,M
48,282,18,False,M
49,63,17,False,M
50,293,16,True,M
51,47,15,False,M
52,144,13,False,M
53,248,200,True,M
54,88,15,False,M
55,163,15,False,M
56,448,20,False,M
57,431,11,False,M
58,366,17,False,M
59,402,200,True,M
60,466,17,False,M
61,28,14,False,M
62,22,15,False,M
63,3,19,False,M
64,467,24,True,M
65,302,16,False,M
66,411,200,True,M
67,309,20,False,M
68,308,200,True,M
69,407,11,True,M
70,24,21,True,M
71,53,14,False,M
72,184,15,False,M
73,373,18,True,M
74,126,200,True,M
75,314,20,False,M
76,54,96,True,M
77,21,18,False,M
78,129,11,False,M
79,33,20,False,M
80,471,16,True,M
81,92,17,False,M
82,142,200,True,M
83,271,13,True,M
84,161,9,False,M
85,212,200,True,M
86,334,17,False,M
87,489,14,False,M
88,307,18,False,M
89,449,13,False,M
90,46,200,True,M
91,301,17,True,M
92,347,15,True,M
93,367,12,False,M
94,463,14,False,M
95,169,16,False,M
96,131,22,True,M
97,432,11,False,M
98,51,13,False,M
99,133,12,False,M
100,107,14,False,M
101,8,8,False,M
102,447,16,False,M
103,112,23,True,M
104,342,18,False,M
105,202,18,True,M
106,26,15,True,M
107,409,19,False,M
108,27,8,False,M
109,81,16,True,M
110,322,16,False,M
111,461,11,False,M
112,289,10,False,M
113,472,12,False,M
114,414,200,True,M
115,93,200,True,M
116,91,22,True,M
117,412,12,False,M
118,183,17,False,M
119,262,14,False,M
120,286,16,False,M
121,121,16,False,M
122,1,24,True,M
123,353,12,False,M
124,352,14,False,M
125,269,15,False,M
126,266,200,True,M
127,42,13,False,M
128,2,18,True,M
129,111,200,True,M
130,484,23,True,M
131,392,23,True,M
132,384,13,False,M
133,48,72,True,M
134,12,13,False,M
135,201,36,True,M
136,213,86,True,M
137,483,25,True,M
138,113,26,True,M
139,6,11,False,M
140,87,21,True,M
141,328,12,False,M
142,421,22,True,M
143,408,200,True,M
144,292,19,False,M
145,312,19,False,M
146,141,68,True,M
147,344,16,True,M
148,186,19,False,M
149,181,20,False,M
150,227,12,False,M
151,348,11,False,M
152,127,17,False,M
153,187,93,True,M
154,424,15,True,M
155,32,20,False,M
156,254,16,False,M
157,149,200,True,M
158,103,25,True,M
159,331,17,False,M
160,368,9,False,M
161,362,14,False,M
162,304,20,False,M
163,83,15,False,M
164,242,13,False,M
165,426,19,False,M
166,487,200,True,M
167,246,17,False,M
168,444,8,False,M
169,166,37,True,M
170,109,11,False,M
171,491,22,True,M
172,423,14,False,M
173,349,200,True,M
174,453,40,True,M
175,82,200,True,M
176,441,20,False,M
177,208,32,True,M
178,351,14,False,M
179,341,200,True,M
180,207,30,True,M
181,382,13,False,M
182,43,17,False,M
183,427,16,False,M
184,268,24,True,M
185,206,17,False,M
186,327,16,False,M
187,9,13,False,M
188,321,17,False,M
189,101,19,False,M
190,194,15,False,M
191,231,19,True,M
192,381,11,False,M
193,222,18,False,M
194,332,8,False,M
195,401,20,False,M
196,374,200,True,M
197,244,12,False,M
198,288,11,False,M
199,62,17,False,M
200,369,17,False,M
201,333,15,False,M
202,452,18,False,M
203,264,12,False,M
204,429,16,True,M
205,188,8,False,M
206,313,23,True,M
207,143,200,True,M
208,267,8,False,M
209,153,200,True,M
210,31,14,False,M
211,346,23,True,M
212,406,17,False,M
213,189,18,False,M
214,203,14,False,M
215,488,13,False,M
216,389,8,False,M
217,343,13,False,M
218,404,54,True,M
219,324,16,True,M
220,171,18,False,M
221,261,24,True,M
222,253,10,False,M
223,71,26,True,M
224,223,6,False,M
225,241,13,False,M
226,124,14,False,M
227,151,14,False,M
228,152,200,True,M
229,89,11,False,M
230,388,8,False,M
231,283,17,True,M
232,263,17,True,M
233,387,15,False,M
234,73,21,True,M
235,386,14,False,M
236,428,18,False,M
237,94,11,False,M
238,252,13,False,M
239,7,20,False,M
240,329,11,False,M
241,474,12,False,M
242,211,12,False,M
243,473,13,False,M
244,229,18,False,M
245,134,19,False,M
246,102,12,False,M
247,209,200,True,M
248,323,17,False,M
249,311,200,True,M
250,442,18,False,M
251,394,18,False,M
252,148,15,False,M
253,454,18,False,M
254,106,17,False,M
255,243,16,False,M
256,14,13,False,M
257,214,19,False,M
258,492,16,False,M
259,433,15,False,M
260,361,14,False,M
261,446,14,False,M
262,84,19,True,M
263,443,16,False,M
264,146,12,False,M
265,371,9,False,M
266,114,11,False,M
267,132,17,False,M
268,249,185,True,M
269,468,20,False,M
270,123,16,False,M
271,493,9,False,M
272,191,21,True,M
273,172,16,False,M
274,422,15,False,M
275,72,22,True,M
276,247,16,False,M
277,147,14,False,M
278,494,19,False,M
279,272,11,False,M
280,232,27,True,M
281,326,13,False,M
282,11,200,True,M
283,303,8,True,M
284,64,11,False,M
285,221,18,False,M
286,364,13,False,M
287,434,17,False,M
288,34,13,False,M
289,469,134,True,M
290,306,12,True,M
291,52,13,False,M
