idx,state,steps,failure,mutant
0,294,14,False,R
1,322,16,False,R
2,174,17,False,R
3,202,24,True,R
4,303,200,True,R
5,184,15,True,R
6,11,200,True,R
7,443,20,False,R
8,291,15,False,R
9,82,18,False,R
10,7,17,False,R
11,302,14,False,R
12,261,15,False,R
13,168,16,False,R
14,308,13,False,R
15,209,17,False,R
16,346,15,False,R
17,153,25,True,R
18,123,12,False,R
19,187,200,True,R
20,201,16,False,R
21,73,200,True,R
22,388,14,False,R
23,442,15,False,R
24,114,10,False,R
25,109,19,False,R
26,147,17,False,R
27,167,12,True,R
28,121,11,False,R
29,42,18,False,R
30,431,200,True,R
31,126,16,True,R
32,122,16,False,R
33,146,9,False,R
34,487,15,False,R
35,86,11,False,R
36,33,14,False,R
37,14,200,True,R
38,352,16,False,R
39,327,15,False,R
40,468,18,False,R
41,351,200,True,R
42,432,16,False,R
43,263,15,False,R
44,134,18,False,R
45,44,200,True,R
46,389,13,False,R
47,102,200,True,R
48,349,14,False,R
49,471,13,False,R
50,163,200,True,R
51,222,13,False,R
52,364,20,False,R
53,31,16,False,R
54,8,20,True,R
55,493,14,False,R
56,402,17,True,R
57,166,16,False,R
58,367,14,False,R
59,289,10,False,R
60,394,17,False,R
61,481,12,False,R
62,324,18,True,R
63,328,11,False,R
64,143,200,True,R
65,387,14,False,R
66,34,12,False,R
67,288,13,False,R
68,129,11,True,R
69,131,15,False,R
70,228,11,False,R
71,354,9,False,R
72,293,10,False,R
73,207,200,True,R
74,243,200,True,R
75,81,16,False,R
76,111,12,False,R
77,28,16,False,R
78,4,19,False,R
79,408,20,False,R
80,189,200,True,R
81,363,13,True,R
82,343,16,False,R
83,101,200,True,R
84,321,10,False,R
85,329,16,False,R
86,313,11,False,R
87,464,12,False,R
88,382,200,True,R
89,444,16,False,R
90,253,18,False,R
91,423,20,False,R
92,148,200,True,R
93,93,20,True,R
94,224,18,False,R
95,204,200,True,R
96,286,16,False,R
97,266,200,True,R
98,66,22,True,R
99,244,200,True,R
100,413,16,False,R
101,323,13,True,R
102,211,24,True,R
103,384,200,True,R
104,108,15,False,R
105,492,14,False,R
106,407,200,True,R
107,331,13,False,R
108,284,15,False,R
109,112,16,False,R
110,383,13,True,R
111,309,14,False,R
112,27,19,False,R
113,151,200,True,R
114,463,19,True,R
115,186,16,False,R
116,268,15,False,R
117,344,16,False,R
118,281,18,False,R
119,447,16,False,R
120,381,12,False,R
