idx,state,steps,failure,mutant
0,42,6,False,RN
1,232,16,False,RN
2,44,15,False,RN
3,203,16,False,RN
4,124,10,False,RN
5,374,10,False,RN
6,326,16,False,RN
7,471,17,False,RN
8,102,7,False,RN
9,272,11,False,RN
10,281,14,False,RN
11,126,12,False,RN
12,222,14,False,RN
13,403,12,False,RN
14,353,12,False,RN
15,371,16,False,RN
16,172,14,False,RN
17,294,10,False,RN
18,464,16,False,RN
19,169,11,False,RN
20,421,12,False,RN
21,167,14,False,RN
22,187,13,False,RN
23,153,16,False,RN
24,287,11,False,RN
25,481,13,False,RN
26,152,17,False,RN
27,191,16,False,RN
28,388,12,False,RN
29,213,15,False,RN
30,92,16,False,RN
31,486,17,False,RN
32,462,14,False,RN
33,408,17,False,RN
34,253,12,False,RN
35,347,17,False,RN
36,24,16,False,RN
37,494,13,False,RN
38,309,13,False,RN
39,369,13,False,RN
40,312,11,False,RN
41,21,16,False,RN
42,211,15,False,RN
43,424,10,False,RN
44,366,11,False,RN
45,192,15,False,RN
46,364,10,False,RN
47,344,15,False,RN
48,323,11,False,RN
49,68,15,False,RN
50,329,16,False,RN
51,33,13,False,RN
52,254,12,False,RN
53,352,13,False,RN
54,332,16,False,RN
55,201,16,False,RN
56,106,9,False,RN
57,27,12,False,RN
58,342,13,False,RN
59,113,14,False,RN
60,72,10,False,RN
61,271,12,False,RN
62,461,12,False,RN
63,389,12,False,RN
64,493,15,False,RN
65,466,13,False,RN
66,474,14,False,RN
67,104,15,False,RN
68,406,13,False,RN
69,327,14,False,RN
70,151,14,False,RN
71,134,15,False,RN
72,122,11,False,RN
73,231,15,False,RN
74,23,17,False,RN
75,314,12,False,RN
76,463,15,False,RN
77,114,16,False,RN
78,489,15,False,RN
79,64,14,False,RN
80,454,17,False,RN
81,163,16,False,RN
82,469,10,False,RN
83,11,16,False,RN
84,372,11,False,RN
85,144,12,False,RN
86,411,13,False,RN
87,304,15,False,RN
88,391,13,False,RN
89,141,10,False,RN
90,174,7,False,RN
91,447,12,False,RN
92,322,12,False,RN
93,307,13,False,RN
94,103,15,False,RN
95,303,15,False,RN
96,188,13,False,RN
97,472,11,False,RN
98,26,11,False,RN
99,186,10,False,RN
100,162,13,False,RN
101,394,13,False,RN
102,412,14,False,RN
103,348,12,False,RN
104,468,15,False,RN
105,61,17,False,RN
106,233,14,False,RN
107,282,16,False,RN
108,107,13,False,RN
109,129,14,False,RN
110,14,17,False,RN
111,223,15,False,RN
112,161,15,False,RN
113,112,17,False,RN
114,173,16,False,RN
115,3,18,False,RN
116,313,9,False,RN
117,2,12,False,RN
118,393,13,False,RN
119,32,17,False,RN
120,402,11,False,RN
121,341,11,False,RN
122,94,16,False,RN
123,346,12,False,RN
124,87,13,False,RN
125,148,12,False,RN
126,443,15,False,RN
127,74,16,False,RN
128,226,11,False,RN
129,54,12,False,RN
130,22,11,False,RN
131,383,12,False,RN
132,1,15,False,RN
133,154,10,False,RN
134,387,10,False,RN
135,88,17,False,RN
136,43,14,False,RN
137,268,12,False,RN
138,269,13,False,RN
139,183,11,False,RN
140,382,11,False,RN
141,123,12,False,RN
142,427,9,False,RN
143,484,14,False,RN
144,29,14,False,RN
145,409,15,False,RN
146,262,11,False,RN
147,363,15,False,RN
148,12,14,False,RN
149,244,12,False,RN
150,89,14,False,RN
151,52,16,False,RN
152,306,14,False,RN
153,432,14,False,RN
154,7,13,False,RN
155,423,15,False,RN
156,434,9,False,RN
157,452,7,False,RN
158,444,15,False,RN
159,263,13,False,RN
160,249,16,False,RN
161,228,15,False,RN
162,194,16,False,RN
163,267,13,False,RN
164,384,9,False,RN
165,414,16,False,RN
166,221,11,False,RN
167,127,18,False,RN
168,368,11,False,RN
169,429,13,False,RN
170,362,15,False,RN
171,51,11,False,RN
172,401,12,False,RN
173,4,16,False,RN
174,146,9,False,RN
175,291,16,False,RN
176,446,12,False,RN
177,229,15,False,RN
178,283,10,False,RN
179,67,13,False,RN
180,204,14,False,RN
181,131,14,False,RN
182,422,12,False,RN
183,284,13,False,RN
