idx,state,steps,failure,mutant
0,23,14,False,Ra
1,449,22,True,Ra
2,1,106,True,Ra
3,334,12,False,Ra
4,131,20,False,Ra
5,293,14,True,Ra
6,463,7,False,Ra
7,27,14,False,Ra
8,351,14,False,Ra
9,229,16,False,Ra
10,374,11,False,Ra
11,106,13,False,Ra
12,72,200,True,Ra
13,21,16,False,Ra
14,381,6,False,Ra
15,104,11,False,Ra
16,222,17,False,Ra
17,211,19,False,Ra
18,46,16,True,Ra
19,84,17,False,Ra
20,6,14,False,Ra
21,114,12,False,Ra
22,327,15,False,Ra
23,266,15,False,Ra
24,453,16,False,Ra
25,183,200,True,Ra
26,386,16,False,Ra
27,487,35,True,Ra
28,283,200,True,Ra
29,247,14,False,Ra
30,273,20,False,Ra
31,314,12,False,Ra
32,272,12,False,Ra
33,331,9,False,Ra
34,394,12,False,Ra
35,391,13,False,Ra
36,354,11,False,Ra
37,352,13,False,Ra
38,9,12,False,Ra
39,311,14,False,Ra
40,93,21,True,Ra
41,262,12,True,Ra
42,428,15,False,Ra
43,308,11,False,Ra
44,291,14,False,Ra
45,7,13,False,Ra
46,414,10,False,Ra
47,434,15,False,Ra
48,3,46,True,Ra
49,8,12,False,Ra
50,242,15,False,Ra
51,306,20,False,Ra
52,51,13,False,Ra
53,152,16,False,Ra
54,224,24,True,Ra
55,461,200,True,Ra
56,402,19,False,Ra
57,473,15,False,Ra
58,49,22,True,Ra
59,122,13,False,Ra
60,362,200,True,Ra
61,89,9,False,Ra
62,488,200,True,Ra
63,29,17,False,Ra
64,172,14,True,Ra
65,421,21,True,Ra
66,361,21,True,Ra
67,54,138,True,Ra
68,347,20,False,Ra
69,329,13,False,Ra
70,442,11,True,Ra
71,92,180,True,Ra
72,94,19,False,Ra
73,324,20,False,Ra
74,181,14,False,Ra
75,14,8,False,Ra
76,344,13,False,Ra
77,32,18,False,Ra
78,427,19,False,Ra
79,226,21,True,Ra
80,203,200,True,Ra
81,254,10,False,Ra
82,294,200,True,Ra
83,232,15,False,Ra
84,443,8,False,Ra
85,382,15,False,Ra
86,468,12,False,Ra
87,34,16,False,Ra
88,127,22,True,Ra
89,161,8,False,Ra
90,146,16,False,Ra
91,33,12,False,Ra
92,281,22,True,Ra
93,107,200,True,Ra
94,43,14,False,Ra
95,173,200,True,Ra
96,271,20,False,Ra
97,289,16,False,Ra
98,188,16,False,Ra
99,406,200,True,Ra
100,387,18,True,Ra
101,248,14,False,Ra
102,384,17,False,Ra
103,67,12,False,Ra
104,282,16,False,Ra
105,193,13,False,Ra
106,121,10,False,Ra
107,491,14,True,Ra
108,24,42,True,Ra
109,91,18,False,Ra
110,267,21,True,Ra
111,48,13,False,Ra
112,424,15,False,Ra
113,208,15,True,Ra
114,202,15,False,Ra
115,113,13,False,Ra
116,149,20,False,Ra
117,253,15,False,Ra
118,321,16,False,Ra
119,312,14,False,Ra
120,403,11,False,Ra
121,52,18,False,Ra
122,128,10,True,Ra
123,323,18,False,Ra
124,66,15,True,Ra
125,86,13,True,Ra
126,349,16,False,Ra
127,268,10,True,Ra
128,363,200,True,Ra
129,269,21,True,Ra
130,307,13,False,Ra
131,206,200,True,Ra
132,251,10,False,Ra
133,41,12,False,Ra
134,63,19,False,Ra
135,164,14,False,Ra
136,462,200,True,Ra
137,142,10,False,Ra
138,221,13,False,Ra
139,401,200,True,Ra
140,404,16,True,Ra
141,174,13,False,Ra
142,243,23,True,Ra
143,472,200,True,Ra
144,343,20,True,Ra
145,482,9,False,Ra
146,264,19,False,Ra
147,144,14,False,Ra
148,407,14,False,Ra
149,469,15,False,Ra
150,304,27,True,Ra
151,167,11,False,Ra
152,129,14,False,Ra
153,68,15,False,Ra
154,103,200,True,Ra
155,451,13,False,Ra
156,448,31,True,Ra
157,169,13,False,Ra
158,452,14,False,Ra
159,447,16,False,Ra
160,426,23,True,Ra
161,81,10,False,Ra
162,353,18,False,Ra
163,444,21,True,Ra
164,209,16,False,Ra
165,143,12,False,Ra
166,64,10,False,Ra
167,493,17,True,Ra
168,201,19,False,Ra
169,11,18,False,Ra
170,249,16,False,Ra
171,261,15,False,Ra
172,284,15,False,Ra
173,346,200,True,Ra
174,47,57,True,Ra
175,322,11,False,Ra
176,189,13,False,Ra
177,408,16,False,Ra
178,332,17,False,Ra
179,88,19,False,Ra
180,389,200,True,Ra
181,166,11,False,Ra
182,313,18,True,Ra
183,494,200,True,Ra
184,301,16,False,Ra
185,467,19,False,Ra
186,371,14,False,Ra
187,383,19,False,Ra
188,263,16,False,Ra
189,108,9,True,Ra
190,411,28,True,Ra
191,101,16,False,Ra
192,71,16,True,Ra
193,431,19,False,Ra
194,244,200,True,Ra
195,44,11,False,Ra
196,368,15,False,Ra
197,133,18,False,Ra
198,151,12,False,Ra
199,393,21,True,Ra
200,147,19,True,Ra
201,373,20,False,Ra
202,252,23,True,Ra
203,348,15,False,Ra
204,484,16,False,Ra
205,191,13,False,Ra
206,4,24,True,Ra
207,207,11,False,Ra
208,31,15,False,Ra
209,288,10,False,Ra
210,204,18,False,Ra
211,246,19,False,Ra
212,233,16,False,Ra
213,22,14,False,Ra
214,341,200,True,Ra
215,2,61,True,Ra
216,392,16,False,Ra
217,492,11,False,Ra
218,82,7,False,Ra
219,53,13,False,Ra
220,474,14,False,Ra
221,423,7,False,Ra
222,489,15,True,Ra
223,241,15,False,Ra
224,111,17,True,Ra
225,274,18,False,Ra
226,154,16,False,Ra
227,28,18,False,Ra
228,69,11,False,Ra
229,223,14,False,Ra
230,466,14,False,Ra
231,87,18,False,Ra
232,433,11,False,Ra
233,231,200,True,Ra
234,342,9,False,Ra
235,486,12,True,Ra
236,409,14,False,Ra
237,432,17,False,Ra
238,213,16,False,Ra
239,454,14,False,Ra
240,13,18,True,Ra
241,412,10,False,Ra
242,61,15,True,Ra
243,168,68,True,Ra
244,227,9,False,Ra
245,214,15,False,Ra
246,74,7,False,Ra
247,112,11,False,Ra
248,212,10,False,Ra
249,153,8,True,Ra
250,163,16,False,Ra
251,124,17,False,Ra
252,73,17,False,Ra
253,481,14,False,Ra
254,292,17,False,Ra
255,42,159,True,Ra
256,83,17,False,Ra
257,326,22,True,Ra
258,471,14,False,Ra
259,123,16,False,Ra
260,303,10,False,Ra
261,367,15,False,Ra
262,364,13,False,Ra
263,182,200,True,Ra
264,171,15,True,Ra
265,141,13,False,Ra
266,369,11,False,Ra
267,413,12,False,Ra
268,134,19,False,Ra
269,109,11,False,Ra
270,333,15,False,Ra
271,287,12,False,Ra
272,302,28,True,Ra
273,148,15,False,Ra
274,126,11,False,Ra
275,102,16,False,Ra
276,26,10,False,Ra
277,162,20,False,Ra
278,422,101,True,Ra
279,328,14,False,Ra
280,366,12,False,Ra
281,234,16,False,Ra
282,12,11,False,Ra
283,388,10,False,Ra
284,483,9,False,Ra
285,192,14,False,Ra
286,62,13,False,Ra
287,464,17,False,Ra
288,429,14,True,Ra
289,228,15,False,Ra
290,132,14,False,Ra
291,187,23,True,Ra
292,194,15,False,Ra
293,286,10,True,Ra
294,184,22,True,Ra
295,186,17,False,Ra
296,446,13,False,Ra
