idx,steps,failure
0,11,False
1,14,False
2,15,False
3,12,False
4,13,False
5,9,False
6,11,False
7,17,False
8,16,False
9,14,False
10,10,False
11,14,False
12,10,False
13,9,False
14,10,False
15,13,False
16,12,False
17,12,False
18,9,False
19,17,False
20,13,False
21,11,False
22,15,False
23,14,False
24,18,False
25,12,False
26,14,False
27,16,False
28,13,False
29,13,False
30,18,False
31,17,False
32,7,False
33,8,False
34,14,False
35,9,False
36,15,False
37,15,False
38,12,False
39,13,False
40,16,False
41,15,False
42,12,False
43,16,False
44,11,False
45,11,False
46,12,False
47,16,False
48,13,False
49,14,False
50,11,False
51,9,False
52,12,False
53,13,False
54,15,False
55,7,False
56,6,False
57,10,False
58,12,False
59,7,False
60,14,False
61,15,False
62,12,False
63,17,False
64,11,False
65,10,False
66,13,False
67,11,False
68,17,False
69,13,False
70,13,False
71,16,False
72,14,False
73,10,False
74,16,False
75,15,False
76,13,False
77,13,False
78,17,False
79,11,False
80,15,False
81,12,False
82,16,False
83,15,False
84,16,False
85,16,False
86,17,False
87,12,False
88,8,False
89,18,False
90,11,False
91,16,False
92,14,False
93,13,False
94,12,False
95,8,False
96,14,False
97,11,False
98,17,False
99,17,False
100,18,False
101,18,False
102,12,False
103,17,False
104,6,False
105,12,False
106,18,False
107,15,False
108,9,False
109,15,False
110,17,False
111,11,False
112,10,False
113,12,False
114,18,False
115,13,False
116,13,False
117,12,False
118,11,False
119,13,False
120,8,False
121,14,False
122,13,False
123,13,False
124,11,False
125,17,False
126,16,False
127,17,False
128,15,False
129,10,False
130,17,False
131,16,False
132,8,False
133,18,False
134,15,False
135,13,False
136,13,False
137,16,False
138,16,False
139,14,False
140,14,False
141,12,False
142,11,False
143,11,False
144,9,False
145,15,False
146,17,False
147,16,False
148,14,False
149,11,False
150,13,False
151,15,False
152,17,False
153,16,False
154,13,False
155,12,False
156,15,False
157,11,False
158,15,False
159,17,False
160,7,False
161,12,False
162,8,False
163,12,False
164,12,False
165,17,False
166,15,False
167,12,False
168,16,False
169,10,False
170,10,False
171,11,False
172,16,False
173,14,False
174,14,False
175,12,False
176,15,False
177,16,False
178,11,False
179,7,False
180,12,False
181,14,False
182,17,False
183,16,False
184,12,False
185,15,False
186,14,False
187,12,False
188,11,False
189,14,False
190,16,False
191,10,False
192,15,False
