idx,state,steps,failure,mutant
0,42,6,False,RN
1,122,16,False,M
2,23,14,False,Ra
3,294,14,False,R
4,232,16,False,RN
5,251,9,False,M
6,449,22,True,Ra
7,322,16,False,R
8,44,15,False,RN
9,13,14,False,M
10,1,106,True,Ra
11,174,17,False,R
12,203,16,False,RN
13,86,14,False,M
14,334,12,False,Ra
15,202,24,True,R
16,124,10,False,RN
17,128,16,False,M
18,131,20,False,Ra
19,303,200,True,R
20,374,10,False,RN
21,69,15,False,M
22,293,14,True,Ra
23,184,15,True,R
24,326,16,False,RN
25,67,9,False,M
26,463,7,False,Ra
27,11,200,True,R
28,471,17,False,RN
29,464,15,False,M
30,27,14,False,Ra
31,443,20,False,R
32,102,7,False,RN
33,66,12,False,M
34,351,14,False,Ra
35,291,15,False,R
36,272,11,False,RN
37,173,200,True,M
38,229,16,False,Ra
39,82,18,False,R
40,281,14,False,RN
41,228,20,False,M
42,374,11,False,Ra
43,7,17,False,R
44,126,12,False,RN
45,154,12,False,M
46,106,13,False,Ra
47,302,14,False,R
48,222,14,False,RN
49,273,21,True,M
50,72,200,True,Ra
51,261,15,False,R
52,403,12,False,RN
53,451,17,False,M
54,21,16,False,Ra
55,168,16,False,R
56,353,12,False,RN
57,391,200,True,M
58,381,6,False,Ra
59,308,13,False,R
60,371,16,False,RN
61,486,23,True,M
62,104,11,False,Ra
63,209,17,False,R
64,172,14,False,RN
65,354,12,False,M
66,222,17,False,Ra
67,346,15,False,R
68,294,10,False,RN
69,167,12,False,M
70,211,19,False,Ra
71,153,25,True,R
72,464,16,False,RN
73,234,13,False,M
74,46,16,True,Ra
75,123,12,False,R
76,169,11,False,RN
77,233,15,False,M
78,84,17,False,Ra
79,187,200,True,R
80,421,12,False,RN
81,4,12,False,M
82,6,14,False,Ra
83,201,16,False,R
84,167,14,False,RN
85,41,18,True,M
86,114,12,False,Ra
87,73,200,True,R
88,187,13,False,RN
89,482,15,True,M
90,327,15,False,Ra
91,388,14,False,R
92,153,16,False,RN
93,403,23,True,M
94,266,15,False,Ra
95,442,15,False,R
96,287,11,False,RN
97,204,16,False,M
98,453,16,False,Ra
99,114,10,False,R
100,481,13,False,RN
101,192,10,False,M
102,183,200,True,Ra
103,109,19,False,R
104,152,17,False,RN
105,413,19,False,M
106,386,16,False,Ra
107,147,17,False,R
108,191,16,False,RN
109,284,200,True,M
110,487,35,True,Ra
111,167,12,True,R
112,388,12,False,RN
113,49,20,False,M
114,283,200,True,Ra
115,121,11,False,R
116,213,15,False,RN
117,193,17,False,M
118,247,14,False,Ra
119,42,18,False,R
120,92,16,False,RN
121,291,18,True,M
122,273,20,False,Ra
123,431,200,True,R
124,486,17,False,RN
125,29,15,False,M
126,314,12,False,Ra
127,126,16,True,R
128,462,14,False,RN
129,274,9,False,M
130,272,12,False,Ra
131,122,16,False,R
132,408,17,False,RN
133,174,16,False,M
134,331,9,False,Ra
135,146,9,False,R
136,253,12,False,RN
137,372,200,True,M
138,394,12,False,Ra
139,487,15,False,R
140,347,17,False,RN
141,226,15,True,M
142,391,13,False,Ra
143,86,11,False,R
144,24,16,False,RN
145,104,17,False,M
146,354,11,False,Ra
147,33,14,False,R
148,494,13,False,RN
149,168,20,False,M
150,352,13,False,Ra
151,14,200,True,R
152,309,13,False,RN
153,23,14,False,M
154,9,12,False,Ra
155,352,16,False,R
156,369,13,False,RN
157,287,21,True,M
158,311,14,False,Ra
159,327,15,False,R
160,312,11,False,RN
161,182,12,False,M
162,93,21,True,Ra
163,468,18,False,R
164,21,16,False,RN
165,281,20,True,M
166,262,12,True,Ra
167,351,200,True,R
168,211,15,False,RN
169,74,24,True,M
170,428,15,False,Ra
171,432,16,False,R
172,424,10,False,RN
173,383,12,False,M
174,308,11,False,Ra
175,263,15,False,R
176,366,11,False,RN
177,108,18,False,M
178,291,14,False,Ra
179,134,18,False,R
180,192,15,False,RN
181,481,11,False,M
182,7,13,False,Ra
183,44,200,True,R
184,364,10,False,RN
185,393,20,True,M
186,414,10,False,Ra
187,389,13,False,R
188,344,15,False,RN
189,162,13,False,M
190,434,15,False,Ra
191,102,200,True,R
192,323,11,False,RN
193,282,18,False,M
194,3,46,True,Ra
195,349,14,False,R
196,68,15,False,RN
197,63,17,False,M
198,8,12,False,Ra
199,471,13,False,R
200,329,16,False,RN
201,293,16,True,M
202,242,15,False,Ra
203,163,200,True,R
204,33,13,False,RN
205,47,15,False,M
206,306,20,False,Ra
207,222,13,False,R
208,254,12,False,RN
209,144,13,False,M
210,51,13,False,Ra
211,364,20,False,R
212,352,13,False,RN
213,248,200,True,M
214,152,16,False,Ra
215,31,16,False,R
216,332,16,False,RN
217,88,15,False,M
218,224,24,True,Ra
219,8,20,True,R
220,201,16,False,RN
221,163,15,False,M
222,461,200,True,Ra
223,493,14,False,R
224,106,9,False,RN
225,448,20,False,M
226,402,19,False,Ra
227,402,17,True,R
228,27,12,False,RN
229,431,11,False,M
230,473,15,False,Ra
231,166,16,False,R
232,342,13,False,RN
233,366,17,False,M
234,49,22,True,Ra
235,367,14,False,R
236,113,14,False,RN
237,402,200,True,M
238,122,13,False,Ra
239,289,10,False,R
240,72,10,False,RN
241,466,17,False,M
242,362,200,True,Ra
243,394,17,False,R
244,271,12,False,RN
245,28,14,False,M
246,89,9,False,Ra
247,481,12,False,R
248,461,12,False,RN
249,22,15,False,M
250,488,200,True,Ra
251,324,18,True,R
252,389,12,False,RN
253,3,19,False,M
254,29,17,False,Ra
255,328,11,False,R
256,493,15,False,RN
257,467,24,True,M
258,172,14,True,Ra
259,143,200,True,R
260,466,13,False,RN
261,302,16,False,M
262,421,21,True,Ra
263,387,14,False,R
264,474,14,False,RN
265,411,200,True,M
266,361,21,True,Ra
267,34,12,False,R
268,104,15,False,RN
269,309,20,False,M
270,54,138,True,Ra
271,288,13,False,R
272,406,13,False,RN
273,308,200,True,M
274,347,20,False,Ra
275,129,11,True,R
276,327,14,False,RN
277,407,11,True,M
278,329,13,False,Ra
279,131,15,False,R
280,151,14,False,RN
281,24,21,True,M
282,442,11,True,Ra
283,228,11,False,R
284,134,15,False,RN
285,53,14,False,M
286,92,180,True,Ra
287,354,9,False,R
288,122,11,False,RN
289,184,15,False,M
290,94,19,False,Ra
291,293,10,False,R
292,231,15,False,RN
293,373,18,True,M
294,324,20,False,Ra
295,207,200,True,R
296,23,17,False,RN
297,126,200,True,M
298,181,14,False,Ra
299,243,200,True,R
300,314,12,False,RN
301,314,20,False,M
302,14,8,False,Ra
303,81,16,False,R
304,463,15,False,RN
305,54,96,True,M
306,344,13,False,Ra
307,111,12,False,R
308,114,16,False,RN
309,21,18,False,M
310,32,18,False,Ra
311,28,16,False,R
312,489,15,False,RN
313,129,11,False,M
314,427,19,False,Ra
315,4,19,False,R
316,64,14,False,RN
317,33,20,False,M
318,226,21,True,Ra
319,408,20,False,R
320,454,17,False,RN
321,471,16,True,M
322,203,200,True,Ra
323,189,200,True,R
324,163,16,False,RN
325,92,17,False,M
326,254,10,False,Ra
327,363,13,True,R
328,469,10,False,RN
329,142,200,True,M
330,294,200,True,Ra
331,343,16,False,R
332,11,16,False,RN
333,271,13,True,M
334,232,15,False,Ra
335,101,200,True,R
336,372,11,False,RN
337,161,9,False,M
338,443,8,False,Ra
339,321,10,False,R
340,144,12,False,RN
341,212,200,True,M
342,382,15,False,Ra
343,329,16,False,R
344,411,13,False,RN
345,334,17,False,M
346,468,12,False,Ra
347,313,11,False,R
348,304,15,False,RN
349,489,14,False,M
350,34,16,False,Ra
351,464,12,False,R
352,391,13,False,RN
353,307,18,False,M
354,127,22,True,Ra
355,382,200,True,R
356,141,10,False,RN
357,449,13,False,M
358,161,8,False,Ra
359,444,16,False,R
360,174,7,False,RN
361,46,200,True,M
362,146,16,False,Ra
363,253,18,False,R
364,447,12,False,RN
365,301,17,True,M
366,33,12,False,Ra
367,423,20,False,R
368,322,12,False,RN
369,347,15,True,M
370,281,22,True,Ra
371,148,200,True,R
372,307,13,False,RN
373,367,12,False,M
374,107,200,True,Ra
375,93,20,True,R
376,103,15,False,RN
377,463,14,False,M
378,43,14,False,Ra
379,224,18,False,R
380,303,15,False,RN
381,169,16,False,M
382,173,200,True,Ra
383,204,200,True,R
384,188,13,False,RN
385,131,22,True,M
386,271,20,False,Ra
387,286,16,False,R
388,472,11,False,RN
389,432,11,False,M
390,289,16,False,Ra
391,266,200,True,R
392,26,11,False,RN
393,51,13,False,M
394,188,16,False,Ra
395,66,22,True,R
396,186,10,False,RN
397,133,12,False,M
398,406,200,True,Ra
399,244,200,True,R
400,162,13,False,RN
401,107,14,False,M
402,387,18,True,Ra
403,413,16,False,R
404,394,13,False,RN
405,8,8,False,M
406,248,14,False,Ra
407,323,13,True,R
408,412,14,False,RN
409,447,16,False,M
410,384,17,False,Ra
411,211,24,True,R
412,348,12,False,RN
413,112,23,True,M
414,67,12,False,Ra
415,384,200,True,R
416,468,15,False,RN
417,342,18,False,M
418,282,16,False,Ra
419,108,15,False,R
420,61,17,False,RN
421,202,18,True,M
422,193,13,False,Ra
423,492,14,False,R
424,233,14,False,RN
425,26,15,True,M
426,121,10,False,Ra
427,407,200,True,R
428,282,16,False,RN
429,409,19,False,M
430,491,14,True,Ra
431,331,13,False,R
432,107,13,False,RN
433,27,8,False,M
434,24,42,True,Ra
435,284,15,False,R
436,129,14,False,RN
437,81,16,True,M
438,91,18,False,Ra
439,112,16,False,R
440,14,17,False,RN
441,322,16,False,M
442,267,21,True,Ra
443,383,13,True,R
444,223,15,False,RN
445,461,11,False,M
