state,steps,failure
6,21,True
6,19,False
6,21,True
6,19,False
6,20,False
6,22,True
6,18,False
6,21,True
6,18,False
6,20,False
6,20,False
6,19,False
6,22,True
6,20,False
6,19,False
6,21,True
6,19,False
7,18,False
7,18,False
7,18,False
7,16,False
7,15,False
7,18,False
7,17,False
7,17,False
7,16,False
7,18,False
7,16,False
7,19,False
7,17,False
7,17,False
7,17,False
7,17,False
7,18,False
8,15,False
8,13,False
8,12,False
8,13,False
8,14,False
8,12,False
8,10,False
8,13,False
8,13,False
8,12,False
8,10,False
8,13,False
8,11,False
8,14,False
8,12,False
8,12,False
8,12,False
9,18,False
9,17,False
9,16,False
9,17,False
9,18,False
9,17,False
9,16,False
9,17,False
9,18,False
9,18,False
9,17,False
9,16,False
9,16,False
9,18,False
9,16,False
9,14,False
9,17,False
22,10,False
22,12,False
22,9,False
22,10,False
22,11,False
22,9,False
22,9,False
22,9,False
22,9,False
22,10,False
22,10,False
22,11,False
22,8,False
22,12,False
22,11,False
22,11,False
22,10,False
29,16,False
29,18,False
29,17,False
29,16,False
29,16,False
29,17,False
29,18,False
29,18,False
29,15,False
29,16,False
29,16,False
29,16,False
29,17,False
29,18,False
29,17,False
29,17,False
29,18,False
32,16,False
32,18,False
32,19,False
32,15,False
32,19,False
32,18,False
32,18,False
32,18,False
32,18,False
32,17,False
32,17,False
32,19,False
32,19,False
32,19,False
32,18,False
32,18,False
32,15,False
33,14,False
33,15,False
33,17,False
33,16,False
33,17,False
33,18,False
33,15,False
33,15,False
33,15,False
33,15,False
33,17,False
33,15,False
33,15,False
33,15,False
33,15,False
33,15,False
33,16,False
42,18,False
42,15,False
42,14,False
42,16,False
42,13,False
42,17,False
42,14,False
42,17,False
42,17,False
42,15,False
42,14,False
42,17,False
42,14,False
42,15,False
42,15,False
42,16,False
42,14,False
43,18,False
43,18,False
43,15,False
43,15,False
43,20,False
43,18,False
43,17,False
43,18,False
43,19,False
43,19,False
43,18,False
43,16,False
43,18,False
43,17,False
43,17,False
43,16,False
43,16,False
47,11,False
47,12,False
47,12,False
47,11,False
47,10,False
47,12,False
47,13,False
47,12,False
47,13,False
47,12,False
47,13,False
47,12,False
47,10,False
47,12,False
47,14,False
47,11,False
47,11,False
49,16,False
49,18,False
49,20,False
49,18,False
49,18,False
49,20,False
49,20,False
49,22,True
49,18,False
49,17,False
49,19,False
49,18,False
49,20,False
49,19,False
49,21,True
49,18,False
49,20,False
53,15,False
53,14,False
53,16,False
53,13,False
53,15,False
53,15,False
53,15,False
53,15,False
53,16,False
53,13,False
53,13,False
53,14,False
53,15,False
53,14,False
53,15,False
53,13,False
53,15,False
63,19,False
63,20,False
63,18,False
63,19,False
63,18,False
63,18,False
63,20,False
63,18,False
63,18,False
63,19,False
63,21,True
63,18,False
63,20,False
63,18,False
63,18,False
63,18,False
63,20,False
67,10,False
67,10,False
67,12,False
67,11,False
67,9,False
67,9,False
67,11,False
67,10,False
67,10,False
67,10,False
67,11,False
67,12,False
67,12,False
67,9,False
67,9,False
67,12,False
67,14,False
68,15,False
68,14,False
68,15,False
68,16,False
68,15,False
68,16,False
68,15,False
68,17,False
68,18,False
68,17,False
68,15,False
68,15,False
68,16,False
68,16,False
68,14,False
68,17,False
68,16,False
83,19,False
83,19,False
83,19,False
83,19,False
83,20,False
83,19,False
83,18,False
83,17,False
83,17,False
83,21,True
83,19,False
83,18,False
83,18,False
83,19,False
83,19,False
83,20,False
83,20,False
91,19,False
91,19,False
91,19,False
91,21,True
91,18,False
91,19,False
91,18,False
91,19,False
91,18,False
91,17,False
91,19,False
91,17,False
91,19,False
91,20,False
91,20,False
91,20,False
91,18,False
92,17,False
92,16,False
92,18,False
92,15,False
92,17,False
92,16,False
92,15,False
92,15,False
92,16,False
92,16,False
92,14,False
92,15,False
92,16,False
92,16,False
92,17,False
92,18,False
92,16,False
106,21,True
106,20,False
106,21,True
106,18,False
106,20,False
106,19,False
106,21,True
106,19,False
106,17,False
106,21,True
106,19,False
106,21,True
106,21,True
106,19,False
106,20,False
106,20,False
106,20,False
108,12,False
108,13,False
108,11,False
108,15,False
108,11,False
108,14,False
108,13,False
108,14,False
