idx,state,steps,failure
0,8,10,False
1,151,14,False
2,64,11,False
3,426,17,False
4,127,13,False
5,202,8,False
6,371,15,False
7,108,9,False
8,122,8,False
9,231,12,False
10,166,12,False
11,294,12,False
12,112,15,False
13,228,9,False
14,134,14,False
15,42,12,False
16,54,14,False
17,209,12,False
18,428,11,False
19,403,13,False
20,386,13,False
21,361,16,False
22,202,8,False
23,264,13,False
24,404,18,False
25,194,13,False
26,246,14,False
27,149,15,False
28,367,11,False
29,322,10,False
30,49,16,False
31,207,13,False
32,107,14,False
33,244,14,False
34,451,15,False
35,394,11,False
36,233,11,False
37,393,9,False
38,223,12,False
39,1,10,False
40,126,16,False
41,153,11,False
42,91,17,False
43,281,16,False
44,87,7,False
45,328,10,False
46,51,15,False
47,181,17,False
48,463,16,False
49,126,16,False
50,44,12,False
51,147,10,False
52,233,11,False
53,392,11,False
54,262,11,False
55,1,10,False
56,467,12,False
57,451,15,False
58,171,15,False
59,44,12,False
60,269,15,False
61,34,15,False
62,191,16,False
63,393,9,False
64,414,16,False
65,32,15,False
66,432,15,False
67,442,12,False
68,86,10,False
69,268,11,False
70,341,15,False
71,206,16,False
72,429,15,False
73,194,13,False
74,388,13,False
75,48,12,False
76,9,14,False
77,333,12,False
78,64,11,False
79,74,13,False
80,241,14,False
81,73,11,False
82,491,17,False
83,134,14,False
84,73,11,False
85,122,8,False
86,87,7,False
87,272,11,False
88,166,12,False
89,92,14,False
90,263,14,False
91,463,16,False
92,31,14,False
93,168,12,False
94,451,15,False
95,108,9,False
96,384,13,False
97,131,13,False
98,182,13,False
99,232,13,False
100,91,17,False
101,426,17,False
102,191,16,False
103,112,15,False
104,171,15,False
105,442,12,False
106,168,12,False
107,181,17,False
108,341,15,False
109,54,14,False
110,107,14,False
111,92,14,False
112,31,14,False
113,388,13,False
114,182,13,False
115,467,12,False
116,491,17,False
117,246,14,False
118,244,14,False
119,194,13,False
120,194,13,False
121,131,13,False
122,367,11,False
123,153,11,False
124,264,13,False
125,294,12,False
126,223,12,False
127,333,12,False
128,147,10,False
129,451,15,False
130,451,15,False
131,432,15,False
132,451,15,False
133,166,12,False
134,166,12,False
135,394,11,False
136,392,11,False
137,393,9,False
138,393,9,False
139,122,8,False
140,122,8,False
141,404,18,False
142,463,16,False
143,463,16,False
144,361,16,False
145,49,16,False
146,281,16,False
147,206,16,False
148,51,15,False
149,34,15,False
150,246,16,False
151,191,17,False
152,51,16,False
153,451,16,False
154,147,10,False
155,246,14,False
156,393,11,False
157,432,15,False
158,442,12,False
159,367,11,False
160,194,13,False
161,463,17,False
162,131,15,False
163,223,12,False
164,432,15,False
165,463,17,False
166,394,12,False
167,451,15,False
168,194,15,False
169,194,13,False
170,34,15,False
171,294,12,False
172,91,17,False
173,451,16,False
174,223,12,False
175,31,15,False
176,153,11,False
177,51,15,False
178,122,8,False
179,112,15,False
180,246,14,False
181,341,16,False
182,244,14,False
183,432,16,False
184,426,17,False
185,122,8,False
186,467,13,False
187,194,15,False
188,394,11,False
189,394,11,False
190,442,12,False
191,181,17,False
192,181,19,False
193,54,14,False
194,244,14,False
195,49,16,False
196,246,14,False
197,467,12,False
198,451,15,False
199,54,14,False
200,91,17,False
201,91,17,False
202,191,17,False
203,426,17,False
204,426,17,False
205,191,16,False
206,112,15,False
207,171,15,False
208,112,15,False
209,442,12,False
210,442,12,False
211,168,12,False
212,442,12,False
213,181,19,False
214,181,17,False
215,181,17,False
216,341,16,False
217,31,15,False
218,341,15,False
219,54,14,False
220,107,14,False
221,92,14,False
222,31,14,False
223,54,14,False
224,54,14,False
225,467,13,False
226,388,13,False
227,182,13,False
228,467,12,False
