framework,FR,APFD,APFD_time,TTF_tests
AdaStop,0.0,,,
AlphaTest,0.21666666666666667,0.49883179487179485,162.70084551782128,3.0
CUSUM-RL,0.0,,,
CureFuzz,0.0,,,
DLBT,0.0,,,
F-Oracle,0.0,,,
GMBT,0.0,,,
Indago,0.0,,,
MAPT-UF,0.3453333333333333,0.4859356499356499,251.74033628318585,4.0
MDPFuzz,0.0,,,
MDPMorph,0.0,,,
NR-RL,0.566,0.49592736552807226,423.43108064441674,7.0
QD-Testing,0.13266666666666665,0.3042964824120603,65.78634142465536,253.0
RLMutation,0.21,0.6043904761904761,178.9135001720796,3.0
SBF,0.036,0.574925925925926,30.64314601061589,19.0
STARLA,0.2786666666666667,0.20406379585326953,96.73523488704186,565.0
pi-Fuzz,0.0,,,
μPRL,0.004,0.6581111111111111,3.9129163362410786,236.0
