idx,state,steps,failure,mutant
0,294,12,False,gamma_0.70
1,391,13,False,gamma_0.70
2,347,16,False,gamma_0.70
3,323,12,False,gamma_0.70
4,114,17,False,gamma_0.70
5,141,16,False,gamma_0.70
6,104,13,False,gamma_0.70
7,174,17,False,gamma_0.70
8,447,16,False,gamma_0.70
9,322,12,False,gamma_0.70
10,134,17,False,gamma_0.70
11,307,12,False,gamma_0.70
12,103,14,False,gamma_0.70
13,303,14,False,gamma_0.70
14,222,11,False,gamma_0.70
15,462,15,False,gamma_0.70
16,188,12,False,gamma_0.70
17,68,12,False,gamma_0.70
18,472,16,False,gamma_0.70
19,26,13,False,gamma_0.70
20,374,13,False,gamma_0.70
21,186,14,False,gamma_0.70
22,162,13,False,gamma_0.70
23,394,18,False,gamma_0.70
24,412,13,False,gamma_0.70
25,348,14,False,gamma_0.70
26,468,15,False,gamma_0.70
27,61,17,False,gamma_0.70
28,464,11,False,gamma_0.70
29,233,13,False,gamma_0.70
30,153,15,False,gamma_0.70
31,282,17,False,gamma_0.70
32,107,16,False,gamma_0.70
33,403,12,False,gamma_0.70
34,129,9,False,gamma_0.70
35,14,14,False,gamma_0.70
36,223,16,False,gamma_0.70
37,161,15,False,gamma_0.70
38,112,11,False,gamma_0.70
39,173,12,False,gamma_0.70
40,92,16,False,gamma_0.70
41,3,10,False,gamma_0.70
42,313,15,False,gamma_0.70
43,2,11,False,gamma_0.70
44,124,9,False,gamma_0.70
45,393,9,False,gamma_0.70
46,32,10,False,gamma_0.70
47,211,10,False,gamma_0.70
48,402,14,False,gamma_0.70
49,341,15,False,gamma_0.70
50,94,8,False,gamma_0.70
51,346,16,False,gamma_0.70
52,87,7,False,gamma_0.70
53,148,12,False,gamma_0.70
54,443,18,False,gamma_0.70
55,33,12,False,gamma_0.70
56,74,17,False,gamma_0.70
57,152,11,False,gamma_0.70
58,226,14,False,gamma_0.70
59,54,15,False,gamma_0.70
60,22,15,False,gamma_0.70
61,383,12,False,gamma_0.70
62,1,15,False,gamma_0.70
63,154,14,False,gamma_0.70
64,486,14,False,gamma_0.70
65,387,10,False,gamma_0.70
66,88,12,False,gamma_0.70
67,369,14,False,gamma_0.70
68,43,11,False,gamma_0.70
69,268,16,False,gamma_0.70
70,269,16,False,gamma_0.70
71,314,10,False,gamma_0.70
72,272,6,False,gamma_0.70
73,371,12,False,gamma_0.70
74,27,12,False,gamma_0.70
75,327,12,False,gamma_0.70
76,183,11,False,gamma_0.70
77,382,12,False,gamma_0.70
78,126,12,False,gamma_0.70
79,123,11,False,gamma_0.70
80,427,16,False,gamma_0.70
81,484,9,False,gamma_0.70
82,102,10,False,gamma_0.70
83,29,17,False,gamma_0.70
84,409,14,False,gamma_0.70
85,262,11,False,gamma_0.70
86,363,13,False,gamma_0.70
87,12,11,False,gamma_0.70
88,244,11,False,gamma_0.70
89,201,13,False,gamma_0.70
90,474,15,False,gamma_0.70
91,89,12,False,gamma_0.70
92,52,16,False,gamma_0.70
93,203,9,False,gamma_0.70
94,231,16,False,gamma_0.70
95,306,10,False,gamma_0.70
96,432,18,False,gamma_0.70
97,7,16,False,gamma_0.70
98,423,17,False,gamma_0.70
99,434,15,False,gamma_0.70
100,452,14,False,gamma_0.70
101,444,16,False,gamma_0.70
102,263,17,False,gamma_0.70
103,249,18,False,gamma_0.70
104,228,13,False,gamma_0.70
105,194,15,False,gamma_0.70
106,267,10,False,gamma_0.70
107,384,9,False,gamma_0.70
108,414,9,False,gamma_0.70
109,221,14,False,gamma_0.70
110,127,9,False,gamma_0.70
111,368,13,False,gamma_0.70
112,429,18,False,gamma_0.70
113,362,10,False,gamma_0.70
114,51,15,False,gamma_0.70
115,401,14,False,gamma_0.70
116,254,14,False,gamma_0.70
117,4,12,False,gamma_0.70
118,312,14,False,gamma_0.70
119,146,11,False,gamma_0.70
120,291,12,False,gamma_0.70
121,446,14,False,gamma_0.70
122,229,11,False,gamma_0.70
123,283,16,False,gamma_0.70
124,493,13,False,gamma_0.70
125,67,14,False,gamma_0.70
126,204,13,False,gamma_0.70
127,424,16,False,gamma_0.70
128,131,16,False,gamma_0.70
129,422,12,False,gamma_0.70
130,187,10,False,gamma_0.70
131,284,12,False,gamma_0.70
132,469,10,False,gamma_0.70
133,334,17,False,gamma_0.70
134,34,11,False,gamma_0.70
135,388,16,False,gamma_0.70
136,106,14,False,gamma_0.70
