idx,state,steps,failure
0,254,1,0
1,353,1,0
2,313,1,0
3,343,1,0
4,104,1,0
5,286,1,0
6,261,1,0
7,62,1,0
8,247,1,0
9,222,1,0
10,62,1,0
11,241,1,0
12,52,1,0
13,301,1,0
14,221,1,0
15,332,1,0
16,49,1,0
17,82,1,0
18,327,1,0
19,9,1,0
20,461,1,0
21,131,1,0
22,123,1,0
23,129,1,0
24,486,1,0
25,53,1,0
26,284,1,0
27,12,1,0
28,249,1,0
29,11,1,0
30,294,1,0
31,329,1,0
32,303,1,0
33,344,1,0
34,249,1,0
35,301,1,0
36,282,1,0
37,268,1,0
38,149,1,0
39,94,1,0
40,261,1,0
41,207,1,0
42,332,1,0
43,111,1,0
44,189,1,0
45,152,1,0
46,113,1,0
47,124,1,0
48,214,1,0
49,281,1,0
50,423,1,0
51,483,1,0
52,89,1,0
53,127,1,0
54,413,1,0
55,54,1,0
56,223,1,0
57,144,1,0
58,441,1,0
59,388,1,0
60,148,1,0
61,327,1,0
62,209,1,0
63,301,1,0
64,103,1,0
65,113,1,0
66,423,1,0
67,201,1,0
68,14,1,0
69,227,1,0
70,261,1,0
71,101,1,0
72,307,1,0
73,333,1,0
74,127,1,0
75,149,1,0
76,14,1,0
77,429,1,0
78,329,1,0
79,222,1,0
80,263,1,0
81,262,1,0
82,312,1,0
83,143,1,0
84,63,1,0
85,268,1,0
86,231,1,0
87,421,1,0
88,213,1,0
89,327,1,0
90,388,1,0
91,151,1,0
92,83,1,0
93,254,1,0
94,127,1,0
95,384,1,0
96,262,1,0
97,181,1,0
98,101,1,0
99,292,1,0
100,174,1,0
101,181,1,0
102,364,1,0
103,128,1,0
104,209,1,0
105,151,1,0
106,307,1,0
107,304,1,0
108,264,1,0
109,128,1,0
110,146,1,0
111,183,1,0
112,32,1,0
113,233,1,0
114,183,1,0
115,88,1,0
116,152,1,0
117,462,1,0
118,141,1,0
119,123,1,0
120,472,1,0
121,147,1,0
122,228,1,0
123,488,1,0
124,146,1,0
125,227,1,0
126,171,1,0
127,383,1,0
128,488,1,0
129,113,1,0
130,142,1,0
131,48,1,0
132,194,1,0
133,442,1,0
134,269,1,0
135,268,1,0
136,22,1,0
137,281,1,0
138,321,1,0
139,274,1,0
140,171,1,0
141,184,1,0
142,343,1,0
143,72,1,0
144,481,1,0
145,321,1,0
146,186,1,0
147,492,1,0
148,31,1,0
149,361,1,0
150,224,1,0
151,123,1,0
152,443,1,0
153,171,1,0
154,168,1,0
155,43,1,0
156,422,1,0
157,464,1,0
158,353,1,0
159,261,1,0
160,233,1,0
161,486,1,0
162,149,1,0
163,191,1,0
164,172,1,0
165,51,1,0
166,181,1,0
167,227,1,0
168,134,1,0
169,464,1,0
170,112,1,0
171,162,1,0
172,9,1,0
173,484,1,0
174,144,1,0
175,413,1,0
176,82,1,0
177,221,1,0
178,127,1,0
179,181,1,0
180,171,1,0
181,134,1,0
182,232,1,0
183,404,1,0
184,82,1,0
185,103,1,0
186,282,1,0
187,49,1,0
188,286,1,0
189,164,1,0
190,91,1,0
191,191,1,0
192,201,1,0
193,266,1,0
194,482,1,0
195,444,1,0
196,168,1,0
197,366,1,0
198,429,1,0
199,14,1,0
200,124,1,0
201,109,1,0
202,112,1,0
203,172,1,0
204,127,1,0
205,82,1,0
206,464,1,0
207,162,1,0
208,482,1,0
209,353,1,0
210,7,1,0
211,406,1,0
212,244,1,0
213,124,1,0
214,349,1,0
215,209,1,0
216,233,1,0
217,83,1,0
218,233,1,0
219,54,1,0
220,133,1,0
221,482,1,0
222,407,1,0
223,484,1,0
224,321,1,0
225,227,1,0
226,143,1,0
227,372,1,0
228,63,1,0
229,72,1,0
230,152,1,0
231,32,1,0
232,49,1,0
233,413,1,0
234,462,1,0
235,381,1,0
236,368,1,0
237,123,1,0
238,442,1,0
239,224,1,0
240,433,1,0
241,427,1,0
242,343,1,0
243,291,1,0
244,271,1,0
245,234,1,0
246,141,1,0
247,306,1,0
248,254,1,0
249,26,1,0
250,464,1,0
251,23,1,0
252,241,1,0
253,432,1,0
254,68,1,0
255,141,1,0
256,404,1,0
257,6,1,0
258,489,1,0
259,29,1,0
260,449,1,0
261,453,1,0
262,12,1,0
263,133,1,0
264,304,1,0
265,221,1,0
266,253,1,0
267,488,1,0
268,201,1,0
269,266,1,0
270,109,1,0
271,268,1,0
272,123,1,0
273,74,1,0
274,148,1,0
275,143,1,0
276,223,1,0
277,121,1,0
278,484,1,0
279,153,1,0
280,72,1,0
281,142,1,0
282,248,1,0
283,207,1,0
284,162,1,0
285,254,1,0
286,423,1,0
287,312,1,0
288,54,1,0
289,107,1,0
290,22,1,0
291,83,1,0
292,222,1,0
293,333,1,0
294,107,1,0
295,251,1,0
296,469,1,0
297,242,1,0
298,446,1,0
299,301,1,0
300,163,1,0
301,447,1,0
302,468,1,0
303,94,1,0
304,389,1,0
305,492,1,0
306,363,1,0
307,301,1,0
308,89,1,0
309,388,1,0
310,47,1,0
311,42,1,0
312,349,1,0
313,113,1,0
314,69,1,0
315,132,1,0
316,161,1,0
317,142,1,0
318,362,1,0
319,134,1,0
320,6,1,0
321,394,1,0
322,83,1,0
323,283,1,0
324,307,1,0
325,304,1,0
326,424,1,0
327,209,1,0
328,453,1,0
329,104,1,0
330,201,1,0
331,113,1,0
332,403,1,0
333,446,1,0
334,244,1,0
335,12,1,0
336,164,1,0
337,246,1,0
338,391,1,0
339,46,1,0
340,128,1,0
341,413,1,0
342,143,1,0
343,111,1,0
344,68,1,0
345,152,1,0
346,27,1,0
347,227,1,0
348,468,1,0
349,204,1,0
350,312,1,0
351,66,1,0
352,83,1,0
353,251,1,0
354,412,1,0
355,28,1,0
356,49,1,0
357,407,1,0
358,446,1,0
359,43,1,0
360,306,1,0
361,341,1,0
362,447,1,0
363,227,1,0
364,268,1,0
365,127,1,0
366,31,1,0
367,403,1,0
368,211,1,0
369,412,1,0
370,301,1,0
371,274,1,0
372,344,1,0
