idx,state,steps,failure,mutant
0,294,12,False,gamma_0.70
1,294,10,False,alpha_0.40
2,294,13,False,eps_0.30
3,294,14,False,plan_0
4,391,13,False,gamma_0.70
5,391,13,False,alpha_0.40
6,391,14,False,eps_0.30
7,391,11,False,plan_0
8,347,16,False,gamma_0.70
9,347,16,False,alpha_0.40
10,347,14,False,eps_0.30
11,347,11,False,plan_0
12,323,12,False,gamma_0.70
13,323,11,False,alpha_0.40
14,323,12,False,eps_0.30
15,323,14,False,plan_0
16,114,17,False,gamma_0.70
17,114,11,False,alpha_0.40
18,114,10,False,eps_0.30
19,114,9,False,plan_0
20,141,16,False,gamma_0.70
21,141,14,False,alpha_0.40
22,141,9,False,eps_0.30
23,141,17,False,plan_0
24,104,13,False,gamma_0.70
25,104,10,False,alpha_0.40
26,104,13,False,eps_0.30
27,104,7,False,plan_0
28,174,17,False,gamma_0.70
29,174,12,False,alpha_0.40
30,174,7,False,eps_0.30
31,174,13,False,plan_0
32,447,16,False,gamma_0.70
33,447,16,False,alpha_0.40
34,447,12,False,eps_0.30
35,447,12,False,plan_0
36,322,12,False,gamma_0.70
37,322,13,False,alpha_0.40
38,322,17,False,eps_0.30
39,322,7,False,plan_0
40,134,17,False,gamma_0.70
41,134,11,False,alpha_0.40
42,134,11,False,eps_0.30
43,134,14,False,plan_0
44,307,12,False,gamma_0.70
45,307,16,False,alpha_0.40
46,307,12,False,eps_0.30
47,307,13,False,plan_0
48,103,14,False,gamma_0.70
49,103,14,False,alpha_0.40
50,103,13,False,eps_0.30
51,103,13,False,plan_0
52,303,14,False,gamma_0.70
53,303,16,False,alpha_0.40
54,303,16,False,eps_0.30
55,303,16,False,plan_0
56,222,11,False,gamma_0.70
57,222,10,False,alpha_0.40
58,222,16,False,eps_0.30
59,222,13,False,plan_0
60,462,15,False,gamma_0.70
61,462,16,False,alpha_0.40
62,462,9,False,eps_0.30
63,462,14,False,plan_0
64,188,12,False,gamma_0.70
65,188,15,False,alpha_0.40
66,188,13,False,eps_0.30
67,188,12,False,plan_0
68,68,12,False,gamma_0.70
69,68,14,False,alpha_0.40
70,68,9,False,eps_0.30
71,68,14,False,plan_0
72,472,16,False,gamma_0.70
73,472,7,False,alpha_0.40
74,472,12,False,eps_0.30
75,472,11,False,plan_0
76,26,13,False,gamma_0.70
77,26,12,False,alpha_0.40
78,26,13,False,eps_0.30
79,26,13,False,plan_0
80,374,13,False,gamma_0.70
81,374,17,False,alpha_0.40
82,374,14,False,eps_0.30
83,374,15,False,plan_0
84,186,14,False,gamma_0.70
85,186,12,False,alpha_0.40
86,186,13,False,eps_0.30
87,186,10,False,plan_0
88,162,13,False,gamma_0.70
89,162,8,False,alpha_0.40
90,162,16,False,eps_0.30
91,162,15,False,plan_0
92,394,18,False,gamma_0.70
93,394,11,False,alpha_0.40
94,394,11,False,eps_0.30
95,394,15,False,plan_0
96,412,13,False,gamma_0.70
97,412,12,False,alpha_0.40
98,412,14,False,eps_0.30
99,412,10,False,plan_0
100,348,14,False,gamma_0.70
101,348,17,False,alpha_0.40
102,348,10,False,eps_0.30
103,348,14,False,plan_0
104,468,15,False,gamma_0.70
105,468,11,False,alpha_0.40
106,468,13,False,eps_0.30
107,468,12,False,plan_0
108,61,17,False,gamma_0.70
109,61,17,False,alpha_0.40
110,61,13,False,eps_0.30
111,61,16,False,plan_0
112,464,11,False,gamma_0.70
113,464,13,False,alpha_0.40
114,464,17,False,eps_0.30
115,464,13,False,plan_0
116,233,13,False,gamma_0.70
117,233,13,False,alpha_0.40
118,233,11,False,eps_0.30
119,233,14,False,plan_0
120,153,15,False,gamma_0.70
121,153,16,False,alpha_0.40
122,153,14,False,eps_0.30
123,153,11,False,plan_0
124,282,17,False,gamma_0.70
125,282,15,False,alpha_0.40
126,282,13,False,eps_0.30
127,282,12,False,plan_0
128,107,16,False,gamma_0.70
129,107,13,False,alpha_0.40
130,107,15,False,eps_0.30
131,107,9,False,plan_0
132,403,12,False,gamma_0.70
133,403,16,False,alpha_0.40
134,403,17,False,eps_0.30
135,403,11,False,plan_0
136,129,9,False,gamma_0.70
137,129,15,False,alpha_0.40
138,129,12,False,eps_0.30
139,129,10,False,plan_0
140,14,14,False,gamma_0.70
141,14,11,False,alpha_0.40
142,14,14,False,eps_0.30
143,14,13,False,plan_0
144,223,16,False,gamma_0.70
145,223,14,False,alpha_0.40
146,223,11,False,eps_0.30
147,223,13,False,plan_0
148,161,15,False,gamma_0.70
149,161,15,False,alpha_0.40
150,161,13,False,eps_0.30
151,161,13,False,plan_0
152,112,11,False,gamma_0.70
153,112,15,False,alpha_0.40
154,112,14,False,eps_0.30
155,112,12,False,plan_0
156,173,12,False,gamma_0.70
157,173,12,False,alpha_0.40
158,173,10,False,eps_0.30
159,173,14,False,plan_0
160,92,16,False,gamma_0.70
161,92,13,False,alpha_0.40
162,92,10,False,eps_0.30
163,92,9,False,plan_0
164,3,10,False,gamma_0.70
165,3,14,False,alpha_0.40
166,3,18,False,eps_0.30
167,3,12,False,plan_0
168,313,15,False,gamma_0.70
169,313,12,False,alpha_0.40
170,313,16,False,eps_0.30
171,313,15,False,plan_0
172,2,11,False,gamma_0.70
173,2,16,False,alpha_0.40
174,2,6,False,eps_0.30
175,2,18,False,plan_0
176,124,9,False,gamma_0.70
177,124,16,False,alpha_0.40
178,124,11,False,eps_0.30
179,124,16,False,plan_0
180,393,9,False,gamma_0.70
181,393,13,False,alpha_0.40
182,393,11,False,eps_0.30
183,393,15,False,plan_0
184,32,10,False,gamma_0.70
185,32,14,False,alpha_0.40
186,32,12,False,eps_0.30
187,32,14,False,plan_0
188,211,10,False,gamma_0.70
189,211,17,False,alpha_0.40
190,211,13,False,eps_0.30
191,211,16,False,plan_0
192,402,14,False,gamma_0.70
193,402,14,False,alpha_0.40
194,402,14,False,eps_0.30
195,402,11,False,plan_0
196,341,15,False,gamma_0.70
197,341,8,False,alpha_0.40
198,341,16,False,eps_0.30
199,341,14,False,plan_0
200,94,8,False,gamma_0.70
201,94,6,False,alpha_0.40
202,94,12,False,eps_0.30
203,94,12,False,plan_0
204,346,16,False,gamma_0.70
205,346,15,False,alpha_0.40
206,346,14,False,eps_0.30
207,346,12,False,plan_0
208,87,7,False,gamma_0.70
209,87,11,False,alpha_0.40
210,87,12,False,eps_0.30
211,87,14,False,plan_0
212,148,12,False,gamma_0.70
213,148,18,False,alpha_0.40
214,148,14,False,eps_0.30
215,148,13,False,plan_0
216,443,18,False,gamma_0.70
217,443,15,False,alpha_0.40
218,443,14,False,eps_0.30
219,443,11,False,plan_0
220,33,12,False,gamma_0.70
221,33,10,False,alpha_0.40
222,33,15,False,eps_0.30
223,33,11,False,plan_0
224,74,17,False,gamma_0.70
225,74,15,False,alpha_0.40
226,74,14,False,eps_0.30
227,74,16,False,plan_0
228,152,11,False,gamma_0.70
229,152,15,False,alpha_0.40
230,152,14,False,eps_0.30
231,152,14,False,plan_0
232,226,14,False,gamma_0.70
233,226,15,False,alpha_0.40
234,226,15,False,eps_0.30
235,226,18,False,plan_0
236,54,15,False,gamma_0.70
237,54,13,False,alpha_0.40
238,54,13,False,eps_0.30
239,54,14,False,plan_0
240,22,15,False,gamma_0.70
241,22,14,False,alpha_0.40
242,22,12,False,eps_0.30
243,22,11,False,plan_0
244,383,12,False,gamma_0.70
245,383,8,False,alpha_0.40
246,383,18,False,eps_0.30
247,383,16,False,plan_0
248,1,15,False,gamma_0.70
249,1,14,False,alpha_0.40
250,1,14,False,eps_0.30
251,1,13,False,plan_0
252,154,14,False,gamma_0.70
253,154,17,False,alpha_0.40
254,154,14,False,eps_0.30
255,154,11,False,plan_0
256,486,14,False,gamma_0.70
257,486,15,False,alpha_0.40
258,486,7,False,eps_0.30
259,486,12,False,plan_0
260,387,10,False,gamma_0.70
261,387,13,False,alpha_0.40
262,387,11,False,eps_0.30
263,387,11,False,plan_0
264,88,12,False,gamma_0.70
265,88,17,False,alpha_0.40
266,88,14,False,eps_0.30
267,88,15,False,plan_0
268,369,14,False,gamma_0.70
269,369,16,False,alpha_0.40
270,369,7,False,eps_0.30
271,369,14,False,plan_0
272,43,11,False,gamma_0.70
273,43,12,False,alpha_0.40
274,43,17,False,eps_0.30
275,43,17,False,plan_0
276,268,16,False,gamma_0.70
277,268,9,False,alpha_0.40
278,268,14,False,eps_0.30
279,268,12,False,plan_0
280,269,16,False,gamma_0.70
281,269,16,False,alpha_0.40
282,269,12,False,eps_0.30
283,269,120,True,plan_0
284,314,10,False,gamma_0.70
285,314,10,False,alpha_0.40
286,314,13,False,eps_0.30
287,314,6,False,plan_0
288,272,6,False,gamma_0.70
289,272,17,False,alpha_0.40
290,272,10,False,eps_0.30
291,272,16,False,plan_0
292,371,12,False,gamma_0.70
293,371,11,False,alpha_0.40
294,371,14,False,eps_0.30
295,371,14,False,plan_0
296,27,12,False,gamma_0.70
297,27,12,False,alpha_0.40
298,27,12,False,eps_0.30
299,27,10,False,plan_0
300,327,12,False,gamma_0.70
301,327,10,False,alpha_0.40
302,327,15,False,eps_0.30
303,327,17,False,plan_0
304,183,11,False,gamma_0.70
305,183,12,False,alpha_0.40
306,183,10,False,eps_0.30
307,183,11,False,plan_0
308,382,12,False,gamma_0.70
309,382,13,False,alpha_0.40
310,382,14,False,eps_0.30
311,382,16,False,plan_0
312,126,12,False,gamma_0.70
313,126,17,False,alpha_0.40
314,126,13,False,eps_0.30
315,126,15,False,plan_0
316,123,11,False,gamma_0.70
317,123,17,False,alpha_0.40
318,123,14,False,eps_0.30
319,123,13,False,plan_0
320,427,16,False,gamma_0.70
321,427,13,False,alpha_0.40
322,427,16,False,eps_0.30
323,427,15,False,plan_0
324,484,9,False,gamma_0.70
325,484,13,False,alpha_0.40
326,484,10,False,eps_0.30
327,484,13,False,plan_0
328,102,10,False,gamma_0.70
329,102,15,False,alpha_0.40
330,102,15,False,eps_0.30
331,102,14,False,plan_0
332,29,17,False,gamma_0.70
333,29,12,False,alpha_0.40
334,29,17,False,eps_0.30
335,29,13,False,plan_0
336,409,14,False,gamma_0.70
337,409,12,False,alpha_0.40
338,409,11,False,eps_0.30
339,409,15,False,plan_0
340,262,11,False,gamma_0.70
341,262,13,False,alpha_0.40
342,262,15,False,eps_0.30
343,262,15,False,plan_0
344,363,13,False,gamma_0.70
345,363,6,False,alpha_0.40
346,363,14,False,eps_0.30
347,363,120,True,plan_0
348,12,11,False,gamma_0.70
349,12,13,False,alpha_0.40
350,12,9,False,eps_0.30
351,12,14,False,plan_0
352,244,11,False,gamma_0.70
353,244,13,False,alpha_0.40
354,244,17,False,eps_0.30
355,244,13,False,plan_0
356,201,13,False,gamma_0.70
357,201,11,False,alpha_0.40
358,201,12,False,eps_0.30
359,201,15,False,plan_0
360,474,15,False,gamma_0.70
361,474,17,False,alpha_0.40
362,474,12,False,eps_0.30
363,474,17,False,plan_0
364,89,12,False,gamma_0.70
365,89,8,False,alpha_0.40
366,89,17,False,eps_0.30
367,89,14,False,plan_0
368,52,16,False,gamma_0.70
369,52,13,False,alpha_0.40
370,52,14,False,eps_0.30
371,52,13,False,plan_0
372,203,9,False,gamma_0.70
373,203,16,False,alpha_0.40
