idx,state,steps,failure,mutant
0,294,14,False,plan_0
1,391,11,False,plan_0
2,347,11,False,plan_0
3,323,14,False,plan_0
4,114,9,False,plan_0
5,141,17,False,plan_0
6,104,7,False,plan_0
7,174,13,False,plan_0
8,447,12,False,plan_0
9,322,7,False,plan_0
10,134,14,False,plan_0
11,307,13,False,plan_0
12,103,13,False,plan_0
13,303,16,False,plan_0
14,222,13,False,plan_0
15,462,14,False,plan_0
16,188,12,False,plan_0
17,68,14,False,plan_0
18,472,11,False,plan_0
19,26,13,False,plan_0
20,374,15,False,plan_0
21,186,10,False,plan_0
22,162,15,False,plan_0
23,394,15,False,plan_0
24,412,10,False,plan_0
25,348,14,False,plan_0
26,468,12,False,plan_0
27,61,16,False,plan_0
28,464,13,False,plan_0
29,233,14,False,plan_0
30,153,11,False,plan_0
31,282,12,False,plan_0
32,107,9,False,plan_0
33,403,11,False,plan_0
34,129,10,False,plan_0
35,14,13,False,plan_0
36,223,13,False,plan_0
37,161,13,False,plan_0
38,112,12,False,plan_0
39,173,14,False,plan_0
40,92,9,False,plan_0
41,3,12,False,plan_0
42,313,15,False,plan_0
43,2,18,False,plan_0
44,124,16,False,plan_0
45,393,15,False,plan_0
46,32,14,False,plan_0
47,211,16,False,plan_0
48,402,11,False,plan_0
49,341,14,False,plan_0
50,94,12,False,plan_0
51,346,12,False,plan_0
52,87,14,False,plan_0
53,148,13,False,plan_0
54,443,11,False,plan_0
55,33,11,False,plan_0
56,74,16,False,plan_0
57,152,14,False,plan_0
58,226,18,False,plan_0
59,54,14,False,plan_0
60,22,11,False,plan_0
61,383,16,False,plan_0
62,1,13,False,plan_0
63,154,11,False,plan_0
64,486,12,False,plan_0
65,387,11,False,plan_0
66,88,15,False,plan_0
67,369,14,False,plan_0
68,43,17,False,plan_0
69,268,12,False,plan_0
70,269,120,True,plan_0
71,314,6,False,plan_0
72,272,16,False,plan_0
73,371,14,False,plan_0
74,27,10,False,plan_0
75,327,17,False,plan_0
76,183,11,False,plan_0
77,382,16,False,plan_0
78,126,15,False,plan_0
79,123,13,False,plan_0
80,427,15,False,plan_0
81,484,13,False,plan_0
82,102,14,False,plan_0
83,29,13,False,plan_0
84,409,15,False,plan_0
85,262,15,False,plan_0
86,363,120,True,plan_0
87,12,14,False,plan_0
88,244,13,False,plan_0
89,201,15,False,plan_0
90,474,17,False,plan_0
91,89,14,False,plan_0
92,52,13,False,plan_0
93,203,16,False,plan_0
94,231,15,False,plan_0
95,306,17,False,plan_0
96,432,12,False,plan_0
97,7,12,False,plan_0
98,423,14,False,plan_0
99,434,18,False,plan_0
100,452,9,False,plan_0
101,444,8,False,plan_0
102,263,13,False,plan_0
103,249,14,False,plan_0
104,228,13,False,plan_0
105,194,11,False,plan_0
106,267,13,False,plan_0
107,384,13,False,plan_0
108,414,16,False,plan_0
109,221,15,False,plan_0
110,127,10,False,plan_0
111,368,13,False,plan_0
112,429,16,False,plan_0
113,362,17,False,plan_0
114,51,14,False,plan_0
115,401,12,False,plan_0
116,254,15,False,plan_0
117,4,14,False,plan_0
118,312,15,False,plan_0
119,146,13,False,plan_0
120,291,11,False,plan_0
121,446,16,False,plan_0
122,229,12,False,plan_0
123,283,14,False,plan_0
124,493,12,False,plan_0
125,67,13,False,plan_0
126,204,17,False,plan_0
127,424,12,False,plan_0
128,131,12,False,plan_0
129,422,14,False,plan_0
130,187,12,False,plan_0
131,284,14,False,plan_0
132,469,11,False,plan_0
133,334,11,False,plan_0
134,34,12,False,plan_0
135,388,17,False,plan_0
136,106,8,False,plan_0
137,81,17,False,plan_0
138,133,14,False,plan_0
139,392,11,False,plan_0
140,48,15,False,plan_0
141,167,11,False,plan_0
142,252,12,False,plan_0
143,441,15,False,plan_0
144,311,15,False,plan_0
145,413,9,False,plan_0
146,82,12,False,plan_0
147,242,10,False,plan_0
148,489,14,False,plan_0
149,366,11,False,plan_0
150,487,17,False,plan_0
151,163,10,False,plan_0
152,101,12,False,plan_0
153,13,11,False,plan_0
154,482,12,False,plan_0
155,351,16,False,plan_0
156,492,15,False,plan_0
157,364,16,False,plan_0
158,407,15,False,plan_0
159,324,12,False,plan_0
160,411,12,False,plan_0
161,328,9,False,plan_0
162,372,14,False,plan_0
163,361,15,False,plan_0
164,302,10,False,plan_0
165,42,15,False,plan_0
166,404,8,False,plan_0
167,182,14,False,plan_0
168,281,13,False,plan_0
169,122,12,False,plan_0
170,494,13,False,plan_0
171,332,16,False,plan_0
172,321,14,False,plan_0
173,373,9,False,plan_0
174,488,15,False,plan_0
175,349,10,False,plan_0
176,132,16,False,plan_0
177,386,15,False,plan_0
178,253,11,False,plan_0
179,171,10,False,plan_0
180,353,11,False,plan_0
181,6,7,False,plan_0
182,266,11,False,plan_0
183,454,13,False,plan_0
184,72,10,False,plan_0
185,41,9,False,plan_0
186,463,12,False,plan_0
187,442,14,False,plan_0
188,191,17,False,plan_0
189,149,13,False,plan_0
190,286,6,False,plan_0
191,273,15,False,plan_0
192,8,14,False,plan_0
193,209,16,False,plan_0
194,274,13,False,plan_0
195,329,15,False,plan_0
196,241,12,False,plan_0
197,342,11,False,plan_0
198,189,12,False,plan_0
199,66,16,False,plan_0
200,23,10,False,plan_0
201,227,14,False,plan_0
202,31,7,False,plan_0
203,214,14,False,plan_0
204,169,120,True,plan_0
205,11,11,False,plan_0
206,246,15,False,plan_0
207,172,10,False,plan_0
208,208,13,False,plan_0
209,308,11,False,plan_0
210,289,15,False,plan_0
211,248,16,False,plan_0
212,62,13,False,plan_0
213,467,13,False,plan_0
214,453,16,False,plan_0
215,271,13,False,plan_0
216,326,9,False,plan_0
217,461,9,False,plan_0
218,184,11,False,plan_0
219,181,14,False,plan_0
220,421,10,False,plan_0
221,232,15,False,plan_0
222,128,17,False,plan_0
223,44,15,False,plan_0
224,166,16,False,plan_0
225,449,11,False,plan_0
226,113,10,False,plan_0
227,24,16,False,plan_0
228,73,16,False,plan_0
229,451,10,False,plan_0
230,473,10,False,plan_0
231,466,13,False,plan_0
232,304,16,False,plan_0
233,193,11,False,plan_0
234,109,16,False,plan_0
235,213,16,False,plan_0
236,168,16,False,plan_0
237,288,11,False,plan_0
238,352,10,False,plan_0
239,448,12,False,plan_0
240,93,10,False,plan_0
241,426,12,False,plan_0
242,483,10,False,plan_0
243,261,13,False,plan_0
244,491,13,False,plan_0
245,84,15,False,plan_0
246,301,13,False,plan_0
247,192,9,False,plan_0
248,47,14,False,plan_0
249,292,14,False,plan_0
250,309,14,False,plan_0
251,406,12,False,plan_0
252,63,10,False,plan_0
253,143,11,False,plan_0
254,331,9,False,plan_0
255,121,14,False,plan_0
256,86,10,False,plan_0
257,207,17,False,plan_0
258,151,11,False,plan_0
259,247,15,False,plan_0
260,202,13,False,plan_0
261,164,11,False,plan_0
262,471,16,False,plan_0
263,287,12,False,plan_0
264,46,13,False,plan_0
265,91,12,False,plan_0
266,83,12,False,plan_0
267,142,13,False,plan_0
268,111,15,False,plan_0
269,293,16,False,plan_0
270,408,13,False,plan_0
271,344,15,False,plan_0
272,431,14,False,plan_0
273,9,11,False,plan_0
274,224,120,True,plan_0
275,481,14,False,plan_0
276,206,10,False,plan_0
277,389,12,False,plan_0
278,212,13,False,plan_0
279,243,9,False,plan_0
280,354,13,False,plan_0
281,108,10,False,plan_0
282,64,15,False,plan_0
283,147,12,False,plan_0
284,428,12,False,plan_0
285,28,12,False,plan_0
286,21,8,False,plan_0
287,333,14,False,plan_0
288,251,9,False,plan_0
289,367,12,False,plan_0
290,71,14,False,plan_0
291,433,10,False,plan_0
292,69,14,False,plan_0
293,343,15,False,plan_0
294,144,16,False,plan_0
295,234,15,False,plan_0
296,49,14,False,plan_0
297,53,13,False,plan_0
298,381,14,False,plan_0
299,264,14,False,plan_0
